date,RH2M,T2M,PRECTOT
2023-01-01,22.09,64.43,0.0
2023-01-02,22.47,62.32,0.0
2023-01-03,22.44,68.16,0.0
2023-01-04,22.99,69.82,0.0
2023-01-05,24.43,67.84,0.0
2023-01-06,24.93,76.61,0.0
2023-01-07,25.71,77.11,0.0
2023-01-08,25.48,68.82,0.0
2023-01-09,24.91,66.14,0.0
2023-01-10,24.72,66.39,0.01
2023-01-11,24.91,65.69,0.01
2023-01-12,24.58,61.71,0.0
2023-01-13,23.93,72.27,0.0
2023-01-14,23.91,58.86,0.0
2023-01-15,25.67,55.37,0.01
2023-01-16,25.5,64.19,0.0
2023-01-17,25.58,66.06,0.01
2023-01-18,25.56,58.11,0.0
2023-01-19,26.06,65.12,0.01
2023-01-20,24.99,77.62,0.02
2023-01-21,26.14,78.37,1.06
2023-01-22,26.8,76.77,1.79
2023-01-23,25.75,83.89,1.98
2023-01-24,25.9,82.63,3.24
2023-01-25,26.48,78.23,1.04
2023-01-26,26.17,79.57,0.18
2023-01-27,26.82,76.66,0.54
2023-01-28,25.74,80.7,0.85
2023-01-29,25.89,76.27,0.45
2023-01-30,26.39,74.04,0.1
2023-01-31,25.89,76.74,0.76
2023-02-01,27.23,70.32,0.1
2023-02-02,27.17,75.19,0.55
2023-02-03,27.85,72.21,0.36
2023-02-04,27.35,73.98,1.27
2023-02-05,25.18,85.48,13.09
2023-02-06,26.11,74.76,0.11
2023-02-07,27.04,73.69,0.4
2023-02-08,26.62,75.37,1.17
2023-02-09,27.71,73.84,0.48
2023-02-10,28.44,71.3,0.12
2023-02-11,28.53,71.16,0.07
2023-02-12,28.47,71.75,0.15
2023-02-13,28.48,71.62,0.2
2023-02-14,28.38,69.92,0.12
2023-02-15,27.72,70.13,0.0
2023-02-16,27.04,56.1,0.0
2023-02-17,26.03,62.81,0.0
2023-02-18,26.42,53.51,0.0
2023-02-19,27.79,54.16,0.0
2023-02-20,27.66,58.05,0.0
2023-02-21,27.94,55.0,0.01
2023-02-22,28.45,69.23,0.02
2023-02-23,28.23,70.94,0.06
2023-02-24,27.7,73.44,0.04
2023-02-25,26.7,77.5,3.09
2023-02-26,27.83,72.41,2.64
2023-02-27,27.59,75.29,2.71
2023-02-28,27.19,76.64,2.96
2023-03-01,28.08,67.99,3.74
2023-03-02,28.15,70.26,3.22
2023-03-03,28.43,71.33,2.64
2023-03-04,27.75,74.03,2.73
2023-03-05,28.17,69.1,1.86
2023-03-06,28.41,72.21,1.81
2023-03-07,26.7,81.54,15.58
2023-03-08,28.03,74.55,2.61
2023-03-09,27.34,80.26,11.53
2023-03-10,28.06,74.22,3.16
2023-03-11,26.07,85.3,14.68
