date,RH2M,T2M,PRECTOT
2023-01-01,68.66,23.64,0.0
2023-01-02,69.0,24.04,0.0
2023-01-03,70.75,23.65,0.0
2023-01-04,66.82,24.44,0.0
2023-01-05,75.33,24.99,0.0
2023-01-06,83.77,25.4,0.0
2023-01-07,82.56,26.26,0.0
2023-01-08,82.99,26.22,0.0
2023-01-09,89.77,24.95,0.0
2023-01-10,88.68,25.37,0.01
2023-01-11,84.89,26.02,0.32
2023-01-12,82.85,26.26,0.42
2023-01-13,81.72,25.78,0.41
2023-01-14,84.77,25.44,0.27
2023-01-15,86.0,25.46,0.22
2023-01-16,79.32,26.67,0.07
2023-01-17,81.61,26.14,0.08
2023-01-18,85.82,25.64,0.26
2023-01-19,85.69,26.29,0.23
2023-01-20,89.17,25.6,0.33
2023-01-21,88.62,25.46,0.37
2023-01-22,88.32,25.56,0.4
2023-01-23,87.97,25.61,0.48
2023-01-24,87.84,25.62,0.18
2023-01-25,88.53,25.03,0.44
2023-01-26,90.7,24.62,0.6
2023-01-27,87.45,25.11,0.32
2023-01-28,86.61,25.55,0.58
2023-01-29,87.74,25.16,0.93
2023-01-30,86.95,24.57,0.15
2023-01-31,84.52,26.11,11.16
2023-02-01,84.58,26.05,1.02
2023-02-02,87.5,26.1,3.36
2023-02-03,82.47,26.89,3.17
2023-02-04,89.09,25.94,15.34
2023-02-05,89.05,23.88,18.8
2023-02-06,83.84,24.26,0.3
2023-02-07,87.18,25.31,1.13
2023-02-08,87.26,25.69,0.61
2023-02-09,86.42,25.92,1.12
2023-02-10,84.29,26.48,0.54
2023-02-11,84.84,26.66,0.47
2023-02-12,87.9,26.55,1.37
2023-02-13,87.69,26.65,2.11
2023-02-14,86.96,26.59,3.0
2023-02-15,82.47,26.69,2.18
2023-02-16,82.53,26.77,2.92
2023-02-17,84.86,26.77,0.8
2023-02-18,82.94,27.04,0.87
2023-02-19,83.64,27.04,0.81
2023-02-20,83.01,27.25,1.94
2023-02-21,84.95,27.29,3.91
2023-02-22,89.22,26.75,12.53
2023-02-23,90.27,26.04,16.18
2023-02-24,88.74,26.19,11.9
2023-02-25,90.82,25.34,0.95
2023-02-26,88.77,25.21,0.67
2023-02-27,88.04,25.91,0.39
2023-02-28,89.21,26.07,1.58
2023-03-01,85.7,26.31,1.94
2023-03-02,89.25,26.19,8.51
2023-03-03,88.38,26.29,6.98
2023-03-04,89.56,26.03,6.41
2023-03-05,85.26,26.35,2.18
2023-03-06,90.04,25.97,6.76
2023-03-07,87.63,25.97,7.0
2023-03-08,84.63,26.93,2.36
2023-03-09,86.82,26.99,7.5
2023-03-10,88.49,26.41,8.3
2023-03-11,87.95,26.32,6.7
2023-03-12,86.17,26.26,1.41
2023-03-13,84.09,26.35,0.13
2023-03-14,85.26,26.42,1.06
2023-03-15,87.69,26.2,2.31
2023-03-16,86.74,26.29,0.88
2023-03-17,89.94,25.95,4.42
2023-03-18,89.83,25.68,3.46
2023-03-19,88.02,25.37,2.51
2023-03-20,88.3,25.77,2.31
2023-03-21,86.86,26.13,3.4
2023-03-22,87.67,26.07,6.9
2023-03-23,88.14,25.65,5.67
2023-03-24,87.31,26.2,7.96
2023-03-25,87.21,26.02,4.69
2023-03-26,88.52,26.1,4.69
2023-03-27,87.89,26.09,2.62
2023-03-28,87.77,25.96,1.31
2023-03-29,85.94,26.68,0.97
2023-03-30,86.37,25.65,2.09
2023-03-31,78.62,26.33,1.57
2023-04-01,87.97,25.92,0.27
2023-04-02,81.35,26.62,0.17
2023-04-03,84.62,26.54,0.45
2023-04-04,86.59,26.29,0.38
2023-04-05,87.88,26.07,0.38
2023-04-06,85.77,26.43,0.52
2023-04-07,85.35,26.59,0.59
2023-04-08,88.06,26.33,0.83
2023-04-09,87.36,26.49,1.39
2023-04-10,82.54,26.56,0.43
2023-04-11,82.53,27.1,1.49
2023-04-12,88.07,26.59,2.78
2023-04-13,86.23,26.43,1.82
2023-04-14,87.79,26.29,1.49
2023-04-15,89.2,26.56,2.56
2023-04-16,83.46,27.33,5.89
2023-04-17,86.36,26.77,9.13
2023-04-18,86.41,26.77,6.43
2023-04-19,89.62,26.13,7.53
2023-04-20,89.86,25.47,6.18
2023-04-21,88.27,25.91,1.44
2023-04-22,86.19,26.7,2.31
2023-04-23,89.55,26.8,3.62
2023-04-24,88.96,26.02,4.46
2023-04-25,83.68,26.62,1.39
2023-04-26,90.05,25.94,5.8
2023-04-27,85.48,26.24,6.72
2023-04-28,88.62,26.19,10.34
2023-04-29,85.41,26.42,1.99
2023-04-30,89.01,26.16,9.31
2023-05-01,88.06,25.86,3.76
2023-05-02,84.01,26.56,0.22
