date,RH2M,T2M,PRECTOT
2023-01-01,21.07,58.95,0.0
2023-01-02,21.36,59.46,0.0
2023-01-03,21.38,63.82,0.0
2023-01-04,22.22,64.83,0.0
2023-01-05,23.58,69.44,0.0
2023-01-06,25.21,66.89,0.0
2023-01-07,25.06,69.61,0.0
2023-01-08,23.96,67.67,0.0
2023-01-09,23.08,62.98,0.0
2023-01-10,23.17,60.94,0.0
2023-01-11,24.34,57.58,0.0
2023-01-12,23.71,60.29,0.0
2023-01-13,23.43,65.22,0.0
2023-01-14,22.87,55.85,0.0
2023-01-15,24.14,53.77,0.0
2023-01-16,24.03,62.26,0.0
2023-01-17,23.91,61.11,0.0
2023-01-18,24.14,56.57,0.0
2023-01-19,25.43,50.29,0.0
2023-01-20,25.61,55.67,0.0
2023-01-21,26.58,69.67,0.1
2023-01-22,27.23,67.29,0.28
2023-01-23,26.77,74.24,0.42
2023-01-24,26.54,76.9,1.88
2023-01-25,26.87,71.33,0.23
2023-01-26,27.08,69.92,0.01
2023-01-27,27.7,70.59,0.13
2023-01-28,27.14,71.79,0.37
2023-01-29,26.68,63.17,0.31
2023-01-30,25.54,62.28,0.03
2023-01-31,25.95,48.18,0.03
2023-02-01,26.9,53.03,0.01
2023-02-02,27.18,70.84,0.86
2023-02-03,28.02,68.12,0.5
2023-02-04,28.12,65.7,0.91
2023-02-05,25.57,79.87,2.77
2023-02-06,26.5,68.91,0.2
2023-02-07,26.16,76.23,1.03
2023-02-08,27.26,68.44,1.22
2023-02-09,27.86,68.85,0.24
2023-02-10,28.55,66.61,0.04
2023-02-11,28.98,63.84,0.03
2023-02-12,28.95,64.79,0.04
2023-02-13,28.32,65.87,0.17
2023-02-14,28.0,59.65,0.02
2023-02-15,26.36,55.8,0.0
2023-02-16,25.06,44.77,0.0
2023-02-17,24.33,50.27,0.0
2023-02-18,25.4,49.07,0.0
2023-02-19,26.27,48.21,0.0
2023-02-20,26.13,49.35,0.0
2023-02-21,26.15,46.95,0.0
2023-02-22,27.16,53.69,0.08
2023-02-23,28.17,60.09,0.19
2023-02-24,28.77,66.34,0.1
2023-02-25,28.1,69.31,1.46
2023-02-26,28.1,68.7,1.24
2023-02-27,28.28,67.26,2.49
2023-02-28,27.58,71.58,1.72
2023-03-01,27.51,68.64,2.69
2023-03-02,29.42,58.62,0.71
2023-03-03,29.14,66.29,2.8
2023-03-04,28.22,70.53,8.2
2023-03-05,28.01,69.55,3.64
2023-03-06,28.36,70.09,2.93
2023-03-07,27.46,74.81,3.0
2023-03-08,28.89,67.92,0.48
2023-03-09,28.43,72.93,6.94
2023-03-10,28.57,69.23,2.16
2023-03-11,27.09,75.05,7.98
2023-03-12,26.38,66.65,0.6
2023-03-13,28.41,67.05,0.08
2023-03-14,28.87,64.39,0.07
2023-03-15,29.25,64.65,0.3
2023-03-16,29.48,62.93,0.27
2023-03-17,27.5,72.89,8.97
2023-03-18,25.78,80.43,30.45
2023-03-19,26.56,73.52,1.02
2023-03-20,26.78,76.48,5.38
2023-03-21,26.96,78.28,19.73
2023-03-22,26.36,79.36,7.29
2023-03-23,25.26,82.92,9.73
2023-03-24,26.22,78.18,5.39
2023-03-25,26.81,77.16,0.3
2023-03-26,27.32,75.0,2.94
2023-03-27,26.89,77.35,11.08
2023-03-28,26.6,79.47,25.57
2023-03-29,27.83,73.08,0.33
2023-03-30,25.87,84.85,0.99
2023-03-31,26.82,76.96,2.7
2023-04-01,26.81,77.98,0.46
2023-04-02,27.09,76.34,4.12
2023-04-03,25.88,82.33,5.48
2023-04-04,27.03,75.63,0.31
2023-04-05,27.14,78.38,5.23
2023-04-06,27.36,79.43,2.1
2023-04-07,26.82,82.66,3.48
2023-04-08,26.8,81.64,3.05
2023-04-09,26.45,80.44,1.2
2023-04-10,27.54,74.23,0.12
2023-04-11,27.95,71.84,0.12
2023-04-12,27.51,76.36,1.24
2023-04-13,27.66,77.9,7.5
2023-04-14,28.42,75.7,7.69
2023-04-15,26.77,83.45,7.54
2023-04-16,26.59,84.19,5.69
2023-04-17,27.14,80.21,6.62
2023-04-18,27.64,78.44,5.21
2023-04-19,27.76,78.2,1.85
2023-04-20,26.53,82.51,2.32
2023-04-21,26.79,78.05,0.67
2023-04-22,27.11,80.34,0.88
2023-04-23,26.88,82.9,6.52
2023-04-24,27.08,82.04,11.09
2023-04-25,27.07,79.24,3.87
2023-04-26,26.17,83.95,6.73
2023-04-27,26.79,75.56,0.24
2023-04-28,27.28,75.75,0.43
2023-04-29,26.34,80.85,3.35
2023-04-30,26.05,80.41,9.26
2023-05-01,26.44,80.37,8.11
2023-05-02,27.05,76.23,0.89
2023-05-03,27.39,76.25,3.61
2023-05-04,27.69,77.93,6.64
2023-05-05,26.89,80.4,7.83
2023-05-06,26.38,83.25,5.92
2023-05-07,27.37,76.64,3.03
2023-05-08,27.57,72.78,1.84
2023-05-09,27.06,78.4,2.7
2023-05-10,26.8,83.38,4.66
2023-05-11,27.41,78.67,1.77
2023-05-12,27.76,75.89,2.31
2023-05-13,27.53,81.83,5.74
2023-05-14,27.96,81.27,6.37
2023-05-15,26.19,89.1,16.1
2023-05-16,26.59,82.5,3.36
2023-05-17,26.9,82.9,1.83
2023-05-18,26.62,84.64,9.12
2023-05-19,26.37,86.37,3.81
2023-05-20,26.26,87.45,7.38
2023-05-21,26.23,84.44,6.49
2023-05-22,26.63,82.75,1.37
2023-05-23,26.46,84.74,2.09
2023-05-24,26.99,83.05,6.42
