date,RH2M,T2M,PRECTOT
2023-01-01,63.3,23.76,0.0
2023-01-02,66.24,24.2,0.0
2023-01-03,68.42,23.72,0.0
2023-01-04,64.28,23.63,0.0
2023-01-05,66.04,23.54,0.0
2023-01-06,67.5,24.28,0.0
2023-01-07,67.1,24.44,0.0
2023-01-08,64.31,23.61,0.0
2023-01-09,60.51,22.68,0.0
2023-01-10,54.07,22.84,0.0
2023-01-11,53.04,23.14,0.0
2023-01-12,57.15,22.61,0.0
2023-01-13,60.07,22.49,0.0
2023-01-14,57.72,23.01,0.0
2023-01-15,58.44,23.77,0.0
2023-01-16,59.38,24.28,0.0
2023-01-17,58.99,23.85,0.0
2023-01-18,61.46,24.5,0.0
2023-01-19,60.21,24.14,0.0
2023-01-20,57.11,24.31,0.0
2023-01-21,59.98,24.08,0.0
2023-01-22,61.56,24.79,0.0
2023-01-23,60.42,24.54,0.0
2023-01-24,58.9,25.16,0.0
2023-01-25,63.82,25.67,0.0
2023-01-26,63.12,25.2,0.02
2023-01-27,73.87,24.28,0.04
2023-01-28,75.59,25.1,0.1
2023-01-29,73.08,25.24,0.08
2023-01-30,73.88,25.79,0.13
2023-01-31,73.67,25.83,0.27
2023-02-01,71.47,26.13,0.31
2023-02-02,71.49,25.54,0.09
2023-02-03,65.19,25.8,0.02
2023-02-04,61.7,26.16,0.04
2023-02-05,59.47,25.29,0.26
2023-02-06,57.06,24.8,0.52
2023-02-07,58.34,25.23,1.5
2023-02-08,55.04,24.69,0.05
2023-02-09,61.52,25.78,0.26
2023-02-10,56.24,26.01,0.02
2023-02-11,50.41,25.12,0.0
2023-02-12,45.77,25.05,0.0
2023-02-13,46.77,24.85,0.0
2023-02-14,49.62,23.74,0.0
2023-02-15,53.03,24.09,0.0
2023-02-16,52.99,24.23,0.0
2023-02-17,50.86,24.22,0.0
2023-02-18,49.59,24.35,0.0
2023-02-19,48.56,25.13,0.0
2023-02-20,51.97,25.77,0.0
2023-02-21,53.82,25.66,0.0
2023-02-22,62.64,26.52,0.0
2023-02-23,61.77,26.68,0.0
2023-02-24,61.18,27.11,0.0
2023-02-25,59.83,27.13,0.37
2023-02-26,60.6,26.64,0.23
2023-02-27,62.2,26.99,0.45
2023-02-28,77.45,24.85,1.14
