date,RH2M,T2M,PRECTOT
2023-01-01,70.97,25.01,0.01
2023-01-02,64.26,24.58,0.01
2023-01-03,66.41,24.51,0.01
2023-01-04,70.28,24.72,0.03
2023-01-05,74.19,24.75,0.02
2023-01-06,85.46,25.54,0.04
2023-01-07,83.54,26.33,0.08
2023-01-08,82.65,26.17,0.1
2023-01-09,86.98,25.51,0.06
2023-01-10,86.89,25.72,0.1
2023-01-11,85.45,25.54,0.1
2023-01-12,83.98,25.18,0.12
2023-01-13,81.21,25.96,0.08
2023-01-14,68.19,25.45,0.04
2023-01-15,78.93,26.02,0.09
2023-01-16,80.62,26.4,0.14
2023-01-17,75.44,26.64,0.16
2023-01-18,78.77,26.09,0.17
2023-01-19,83.76,26.4,0.27
2023-01-20,88.11,25.92,0.17
2023-01-21,86.84,26.2,3.53
2023-01-22,86.53,26.41,5.03
2023-01-23,89.97,25.76,5.58
2023-01-24,87.17,26.23,3.41
2023-01-25,85.38,26.46,2.15
2023-01-26,87.02,26.19,0.76
2023-01-27,81.2,26.57,0.59
2023-01-28,84.11,26.18,0.89
2023-01-29,86.72,25.43,0.63
2023-01-30,85.2,25.72,0.47
2023-01-31,84.27,26.23,1.95
2023-02-01,82.61,26.68,0.35
2023-02-02,82.73,26.83,1.01
2023-02-03,79.77,27.21,0.95
2023-02-04,82.69,27.04,3.25
2023-02-05,88.53,25.55,15.9
2023-02-06,82.41,26.13,0.4
2023-02-07,78.58,26.7,0.61
2023-02-08,84.4,26.03,0.72
2023-02-09,82.54,27.01,1.04
2023-02-10,80.55,27.69,0.22
2023-02-11,80.92,27.78,0.15
2023-02-12,81.89,27.71,0.41
2023-02-13,82.4,27.6,0.36
2023-02-14,83.3,27.34,0.5
2023-02-15,80.81,27.38,0.28
2023-02-16,74.05,27.61,0.18
2023-02-17,77.9,27.37,0.09
2023-02-18,72.51,27.21,0.0
2023-02-19,77.09,27.4,0.01
2023-02-20,77.99,28.09,0.04
2023-02-21,78.78,27.74,0.09
2023-02-22,80.25,28.01,0.19
2023-02-23,81.4,27.42,0.24
2023-02-24,81.41,27.32,0.19
2023-02-25,83.15,26.98,4.41
2023-02-26,79.13,27.64,3.5
2023-02-27,84.41,27.12,2.73
2023-02-28,84.2,26.99,4.5
2023-03-01,74.53,27.84,6.7
2023-03-02,83.48,27.27,6.88
2023-03-03,83.58,27.34,5.12
2023-03-04,87.6,26.58,3.98
2023-03-05,76.65,27.37,1.4
2023-03-06,85.22,26.91,4.14
2023-03-07,87.47,26.32,30.13
2023-03-08,85.39,27.09,4.65
2023-03-09,88.4,26.74,14.27
2023-03-10,84.45,27.3,4.44
2023-03-11,92.45,26.27,20.77
2023-03-12,83.17,26.16,0.98
2023-03-13,77.39,27.03,0.34
2023-03-14,83.86,27.14,0.95
2023-03-15,85.32,26.83,1.43
2023-03-16,87.78,26.48,1.56
2023-03-17,89.92,25.86,6.56
2023-03-18,89.3,25.71,6.23
2023-03-19,85.1,26.05,1.21
2023-03-20,86.46,26.29,3.45
2023-03-21,85.41,26.53,4.49
2023-03-22,86.29,26.21,4.82
2023-03-23,85.1,25.78,2.68
2023-03-24,90.0,25.22,13.31
2023-03-25,85.16,26.32,1.37
2023-03-26,86.88,25.9,3.18
2023-03-27,84.18,26.52,4.98
2023-03-28,84.3,26.53,1.34
2023-03-29,84.57,26.94,3.48
2023-03-30,87.96,26.56,4.23
2023-03-31,85.64,26.63,4.49
2023-04-01,82.53,26.58,1.67
2023-04-02,86.91,26.41,1.98
2023-04-03,89.17,26.07,2.93
2023-04-04,85.62,26.58,2.95
2023-04-05,85.66,26.88,1.68
2023-04-06,87.94,26.65,2.87
2023-04-07,87.67,26.65,6.35
2023-04-08,88.73,26.5,8.28
2023-04-09,89.12,25.93,4.92
2023-04-10,83.55,27.08,1.21
2023-04-11,85.72,27.03,3.27
2023-04-12,88.31,26.08,6.96
2023-04-13,88.33,26.38,7.56
2023-04-14,89.51,26.68,8.37
2023-04-15,91.2,26.74,14.03
2023-04-16,84.89,27.21,7.37
2023-04-17,87.52,26.65,6.09
2023-04-18,87.55,26.93,6.4
2023-04-19,89.51,26.63,15.83
2023-04-20,89.06,25.93,2.0
2023-04-21,88.7,26.26,1.54
2023-04-22,89.92,26.47,4.13
2023-04-23,92.36,26.5,5.92
2023-04-24,87.38,26.53,10.79
2023-04-25,86.3,26.62,7.73
2023-04-26,90.44,26.22,2.99
2023-04-27,89.21,25.78,3.72
2023-04-28,87.49,25.71,0.84
2023-04-29,89.13,25.82,21.54
2023-04-30,86.54,25.94,6.61
2023-05-01,86.5,26.28,2.9
2023-05-02,88.27,26.04,1.12
2023-05-03,87.01,26.56,5.74
2023-05-04,88.1,26.48,3.62
2023-05-05,87.91,26.51,2.86
2023-05-06,91.08,26.03,9.63
2023-05-07,85.32,26.11,4.88
2023-05-08,86.59,26.33,3.32
2023-05-09,88.01,26.76,9.92
2023-05-10,91.42,26.67,15.66
2023-05-11,89.21,26.74,4.78
2023-05-12,88.38,27.07,9.72
2023-05-13,88.61,27.36,5.12
2023-05-14,90.27,27.21,7.71
2023-05-15,91.16,26.52,13.36
2023-05-16,88.89,26.51,10.53
2023-05-17,89.11,26.79,6.13
2023-05-18,90.34,26.68,18.72
2023-05-19,91.63,26.17,4.98
2023-05-20,91.15,26.34,8.32
2023-05-21,90.36,26.09,5.58
2023-05-22,90.0,25.97,9.86
2023-05-23,90.13,26.38,9.03
2023-05-24,89.92,26.77,7.46
2023-05-25,90.2,26.67,7.4
2023-05-26,90.0,26.58,1.79
2023-05-27,91.9,26.13,3.55
2023-05-28,90.33,25.92,2.83
2023-05-29,90.82,26.0,4.29
2023-05-30,87.6,26.64,1.38
2023-05-31,90.94,26.52,5.58
2023-06-01,93.41,26.23,9.56
2023-06-02,93.96,25.35,37.61
2023-06-03,91.51,25.13,8.72
2023-06-04,89.87,25.59,2.39
2023-06-05,90.91,25.63,1.98
2023-06-06,92.18,25.36,4.99
2023-06-07,94.3,24.72,16.89
2023-06-08,91.08,24.76,8.89
2023-06-09,89.75,25.85,5.34
2023-06-10,93.62,25.42,34.75
2023-06-11,90.76,24.97,6.78
2023-06-12,87.06,25.4,0.83
2023-06-13,85.5,25.34,0.19
2023-06-14,87.73,25.18,1.51
2023-06-15,89.13,25.06,3.72
2023-06-16,87.8,25.62,0.77
2023-06-17,86.43,25.63,0.49
2023-06-18,90.18,25.8,7.32
2023-06-19,93.6,25.16,5.77
2023-06-20,92.61,25.41,18.83
2023-06-21,93.53,24.73,77.93
2023-06-22,91.38,25.02,18.5
2023-06-23,91.86,25.12,37.52
2023-06-24,91.25,24.94,38.74
2023-06-25,89.64,24.52,2.26
2023-06-26,87.59,24.0,0.69
2023-06-27,88.77,23.97,1.12
2023-06-28,89.62,24.66,2.18
2023-06-29,91.2,24.69,3.09
2023-06-30,90.15,24.98,6.19
2023-07-01,90.07,25.39,14.53
2023-07-02,91.18,25.36,21.14
2023-07-03,90.88,25.32,14.87
2023-07-04,90.75,25.63,17.01
2023-07-05,91.78,25.35,10.96
2023-07-06,91.69,25.24,6.77
2023-07-07,90.32,25.47,8.22
2023-07-08,94.92,24.58,26.51
2023-07-09,92.65,24.83,8.31
2023-07-10,90.34,25.1,5.43
2023-07-11,90.75,25.14,5.17
2023-07-12,92.26,24.87,9.63
2023-07-13,92.21,24.84,5.28
2023-07-14,90.03,25.3,3.03
2023-07-15,89.88,25.77,6.55
2023-07-16,94.37,24.89,41.01
2023-07-17,91.38,25.47,13.91
2023-07-18,92.27,25.28,5.98
2023-07-19,92.79,24.88,3.81
2023-07-20,92.36,25.22,4.3
2023-07-21,90.86,25.32,3.73
2023-07-22,91.99,24.71,5.17
2023-07-23,92.11,24.6,4.57
2023-07-24,92.09,24.69,2.19
2023-07-25,91.37,25.0,1.91
2023-07-26,91.14,25.16,2.08
2023-07-27,92.39,24.83,7.45
2023-07-28,94.96,24.15,8.21
2023-07-29,91.37,24.84,2.02
2023-07-30,89.97,25.19,3.04
2023-07-31,90.71,25.3,5.46
2023-08-01,91.58,24.86,5.44
2023-08-02,90.04,24.64,1.44
2023-08-03,89.54,24.48,1.28
2023-08-04,89.74,24.58,1.08
2023-08-05,90.48,24.53,1.91
2023-08-06,90.78,24.62,1.71
2023-08-07,90.0,25.01,1.03
2023-08-08,91.17,24.81,2.65
2023-08-09,91.34,24.23,1.99
2023-08-10,89.48,24.24,0.6
2023-08-11,88.92,24.23,0.28
2023-08-12,89.25,24.44,0.44
2023-08-13,91.83,23.9,1.39
2023-08-14,90.71,24.28,2.01
2023-08-15,91.14,24.42,2.77
2023-08-16,88.4,25.3,3.83
2023-08-17,92.84,24.89,21.17
2023-08-18,92.37,24.46,43.64
2023-08-19,91.4,24.65,8.93
2023-08-20,89.52,25.51,10.42
2023-08-21,91.5,25.15,3.43
2023-08-22,90.38,25.13,2.02
2023-08-23,90.6,25.27,3.74
2023-08-24,90.5,25.29,5.56
2023-08-25,91.51,25.02,1.56
2023-08-26,91.2,25.2,1.64
2023-08-27,90.1,25.31,0.98
2023-08-28,91.24,24.98,1.84
2023-08-29,89.7,25.48,1.11
2023-08-30,91.95,25.1,3.13
2023-08-31,92.44,24.99,2.21
2023-09-01,90.15,25.36,1.75
2023-09-02,93.17,24.61,4.74
2023-09-03,93.15,24.47,3.04
2023-09-04,90.49,24.83,0.41
2023-09-05,91.02,24.94,1.63
2023-09-06,89.09,25.46,1.82
2023-09-07,89.85,25.42,1.98
2023-09-08,90.19,25.59,4.19
2023-09-09,93.84,24.7,14.44
2023-09-10,88.51,25.68,1.39
2023-09-11,90.6,25.57,5.19
2023-09-12,91.29,25.32,17.05
2023-09-13,92.53,24.76,2.22
2023-09-14,90.2,25.16,1.65
2023-09-15,92.0,24.79,2.62
2023-09-16,92.35,25.0,4.1
2023-09-17,90.53,25.13,2.33
2023-09-18,93.15,24.54,7.39
2023-09-19,89.78,25.38,7.41
2023-09-20,90.6,25.65,8.11
2023-09-21,90.72,25.74,5.57
2023-09-22,91.21,25.61,10.82
2023-09-23,91.96,25.14,8.97
2023-09-24,90.79,25.24,2.32
2023-09-25,89.82,25.53,1.62
2023-09-26,88.1,25.86,0.65
2023-09-27,89.15,26.1,1.68
2023-09-28,89.82,26.35,2.71
2023-09-29,91.27,26.0,4.01
2023-09-30,91.25,26.21,17.69
2023-10-01,91.32,25.82,18.21
2023-10-02,88.41,25.94,1.32
2023-10-03,88.88,25.9,2.73
2023-10-04,88.95,26.08,4.46
2023-10-05,89.51,26.08,41.07
2023-10-06,91.97,25.45,9.54
2023-10-07,89.44,25.81,3.82
2023-10-08,91.69,25.26,17.21
2023-10-09,89.58,25.85,6.78
2023-10-10,89.43,26.18,6.2
2023-10-11,87.76,26.1,8.2
2023-10-12,90.59,25.7,16.31
2023-10-13,88.22,25.98,6.0
2023-10-14,90.66,26.07,8.1
2023-10-15,92.07,25.62,15.18
2023-10-16,93.54,24.86,16.9
2023-10-17,89.45,25.18,9.16
2023-10-18,88.71,26.3,2.43
2023-10-19,92.35,25.88,5.95
2023-10-20,90.98,26.03,8.68
2023-10-21,90.3,26.34,9.83
2023-10-22,89.6,26.49,4.89
2023-10-23,90.92,26.01,9.73
2023-10-24,89.37,25.77,6.2
2023-10-25,90.69,25.71,2.25
2023-10-26,91.16,25.9,3.94
2023-10-27,89.55,26.17,2.01
2023-10-28,87.63,26.31,2.64
2023-10-29,88.2,26.63,10.27
2023-10-30,89.87,26.54,9.18
2023-10-31,92.61,25.73,9.93
2023-11-01,90.23,25.89,10.65
2023-11-02,86.67,26.41,2.56
2023-11-03,90.13,26.48,5.2
2023-11-04,89.41,26.49,6.58
2023-11-05,87.7,26.85,2.99
2023-11-06,89.37,26.98,13.25
2023-11-07,90.56,26.33,11.6
2023-11-08,92.27,25.54,14.84
2023-11-09,91.35,25.58,10.41
2023-11-10,89.37,26.29,6.29
2023-11-11,90.19,26.48,9.83
2023-11-12,88.75,26.74,2.34
2023-11-13,88.44,26.86,2.24
2023-11-14,87.07,27.23,4.25
2023-11-15,89.39,26.75,3.95
2023-11-16,87.7,26.37,2.99
2023-11-17,89.41,26.37,2.66
2023-11-18,89.55,26.44,3.45
2023-11-19,92.23,25.68,3.43
2023-11-20,88.34,26.66,3.13
2023-11-21,92.98,25.96,3.86
2023-11-22,90.66,26.21,11.34
2023-11-23,88.83,26.45,8.74
2023-11-24,92.94,25.99,14.23
2023-11-25,92.29,25.95,29.48
2023-11-26,89.18,25.37,14.43
2023-11-27,86.16,25.65,0.68
2023-11-28,89.71,25.72,7.68
2023-11-29,90.11,25.5,9.76
2023-11-30,86.73,26.41,3.87
2023-12-01,91.65,26.04,9.14
2023-12-02,88.38,26.61,0.85
2023-12-03,89.43,26.38,0.78
2023-12-04,86.43,26.98,0.59
2023-12-05,85.72,26.93,0.62
2023-12-06,85.72,26.75,0.44
2023-12-07,89.52,26.25,2.46
2023-12-08,82.56,26.74,1.83
2023-12-09,81.71,27.25,0.15
2023-12-10,86.42,27.1,0.52
2023-12-11,84.09,27.18,0.35
2023-12-12,83.57,26.89,0.5
2023-12-13,73.71,26.09,0.29
2023-12-14,66.26,26.38,0.1
2023-12-15,70.69,26.93,0.0
2023-12-16,72.17,27.1,0.0
2023-12-17,75.84,26.48,0.01
2023-12-18,76.19,26.35,0.04
2023-12-19,74.36,25.59,0.03
2023-12-20,71.33,24.14,0.04
2023-12-21,67.88,24.3,0.0
2023-12-22,69.26,25.34,0.0
2023-12-23,72.5,25.89,0.01
2023-12-24,79.4,27.32,0.04
2023-12-25,81.04,26.7,0.04
2023-12-26,76.15,26.53,0.03
2023-12-27,73.69,26.35,0.21
2023-12-28,82.2,26.72,0.71
2023-12-29,82.0,27.6,0.11
2023-12-30,83.72,27.05,0.3
2023-12-31,81.22,27.31,0.28
2024-01-01,83.04,27.2,0.65
2024-01-02,85.01,27.15,1.68
2024-01-03,86.76,26.97,1.63
2024-01-04,84.97,27.09,1.08
2024-01-05,88.77,26.43,1.17
2024-01-06,89.43,26.53,6.54
2024-01-07,87.74,26.77,4.75
2024-01-08,87.41,27.12,7.55
2024-01-09,88.28,27.23,24.26
2024-01-10,86.78,26.9,14.15
2024-01-11,83.31,27.34,0.6
2024-01-12,83.28,27.24,0.31
2024-01-13,85.39,27.16,0.46
2024-01-14,84.56,27.29,0.34
2024-01-15,85.32,27.18,1.22
2024-01-16,84.24,26.86,0.23
2024-01-17,76.84,25.64,0.05
2024-01-18,82.94,26.22,0.03
2024-01-19,80.3,26.97,0.02
2024-01-20,79.53,27.3,0.12
2024-01-21,81.26,27.37,1.21
2024-01-22,80.94,26.71,1.61
2024-01-23,87.27,26.74,3.93
2024-01-24,85.82,26.97,2.47
2024-01-25,84.38,27.35,2.32
2024-01-26,75.34,26.9,0.12
2024-01-27,66.09,25.93,0.02
2024-01-28,67.7,26.12,0.0
2024-01-29,69.49,25.79,0.01
2024-01-30,75.36,26.17,0.01
2024-01-31,83.85,26.78,0.05
2024-02-01,86.42,26.84,0.28
2024-02-02,78.51,27.76,0.08
2024-02-03,82.82,25.86,0.14
2024-02-04,84.33,26.03,0.08
2024-02-05,86.42,26.31,0.04
2024-02-06,79.95,26.91,0.01
2024-02-07,75.19,26.56,0.01
2024-02-08,83.62,26.61,0.01
2024-02-09,83.5,27.22,0.01
2024-02-10,86.38,27.18,0.77
2024-02-11,86.47,27.31,2.18
2024-02-12,90.6,27.01,4.6
2024-02-13,87.26,27.92,4.24
2024-02-14,84.91,28.44,3.19
2024-02-15,85.92,28.38,8.36
2024-02-16,86.42,27.72,2.41
2024-02-17,83.87,27.79,4.53
2024-02-18,84.6,27.67,3.27
2024-02-19,85.46,27.81,6.42
2024-02-20,87.41,27.32,3.34
2024-02-21,89.44,27.12,4.84
2024-02-22,85.87,27.62,4.76
