date,RH2M,T2M,PRECTOT
2023-01-01,23.22,51.52,0.0
2023-01-02,23.61,49.68,0.0
2023-01-03,23.71,52.24,0.0
2023-01-04,24.65,52.84,0.0
2023-01-05,25.78,55.39,0.0
2023-01-06,26.3,64.84,0.04
2023-01-07,26.73,65.08,0.07
2023-01-08,26.84,55.29,0.0
2023-01-09,26.12,51.1,0.02
2023-01-10,25.05,57.25,0.05
2023-01-11,26.85,60.76,0.1
2023-01-12,26.57,55.62,0.06
2023-01-13,26.48,55.53,0.03
2023-01-14,25.83,49.93,0.0
2023-01-15,25.56,55.15,0.08
2023-01-16,26.8,52.03,0.0
2023-01-17,27.16,50.8,0.0
2023-01-18,27.27,47.58,0.0
2023-01-19,27.66,59.53,0.0
2023-01-20,28.06,62.26,0.0
2023-01-21,28.7,62.95,0.23
2023-01-22,28.91,63.36,0.88
2023-01-23,27.99,68.19,1.22
2023-01-24,28.05,69.23,1.06
2023-01-25,28.61,64.76,0.71
2023-01-26,28.5,64.35,0.08
2023-01-27,29.46,60.7,0.71
2023-01-28,29.26,60.32,0.92
2023-01-29,27.85,63.05,0.86
2023-01-30,28.71,55.66,0.24
2023-01-31,28.13,54.02,0.47
2023-02-01,29.09,53.93,0.2
2023-02-02,29.47,62.79,1.08
2023-02-03,30.28,58.27,0.64
2023-02-04,29.81,59.46,2.24
2023-02-05,26.77,75.8,3.18
2023-02-06,26.94,63.37,0.04
2023-02-07,27.25,69.01,0.37
2023-02-08,28.45,64.01,0.33
2023-02-09,29.72,60.97,0.21
2023-02-10,30.75,57.44,0.1
2023-02-11,31.38,55.8,0.08
2023-02-12,31.09,56.33,0.14
2023-02-13,31.06,57.03,0.56
2023-02-14,31.13,51.08,0.16
2023-02-15,30.22,49.67,0.0
2023-02-16,29.97,35.39,0.0
2023-02-17,28.83,29.58,0.0
2023-02-18,28.98,29.0,0.0
2023-02-19,29.54,35.07,0.0
2023-02-20,29.52,39.74,0.01
2023-02-21,29.91,30.97,0.0
2023-02-22,30.01,54.37,0.15
2023-02-23,30.74,57.48,0.27
2023-02-24,31.23,55.72,0.24
2023-02-25,28.83,66.18,3.0
2023-02-26,28.47,66.02,3.12
2023-02-27,29.0,65.71,2.7
2023-02-28,28.48,68.39,1.58
2023-03-01,28.23,69.75,5.39
2023-03-02,29.3,63.78,2.63
2023-03-03,29.23,68.07,4.25
2023-03-04,28.76,69.83,8.01
2023-03-05,28.41,71.19,4.93
2023-03-06,28.62,72.58,5.86
2023-03-07,27.55,75.61,4.51
2023-03-08,29.75,65.32,0.46
2023-03-09,28.91,73.58,11.86
2023-03-10,28.59,72.82,3.21
2023-03-11,27.98,74.17,6.95
2023-03-12,28.24,65.71,0.26
2023-03-13,29.27,63.63,0.07
2023-03-14,29.67,64.16,0.1
2023-03-15,29.48,65.38,0.39
2023-03-16,30.03,62.91,0.41
2023-03-17,26.94,80.27,30.18
2023-03-18,26.08,83.44,24.12
2023-03-19,26.93,76.28,5.75
2023-03-20,26.42,81.86,10.47
2023-03-21,26.98,80.4,30.86
2023-03-22,26.03,84.48,6.28
2023-03-23,26.15,82.64,2.54
2023-03-24,26.75,79.07,3.22
2023-03-25,26.84,80.19,2.91
2023-03-26,26.89,81.45,7.13
2023-03-27,26.49,82.92,11.56
2023-03-28,26.4,85.93,30.93
2023-03-29,25.99,88.0,1.6
2023-03-30,26.48,84.94,2.78
2023-03-31,26.54,83.07,5.43
2023-04-01,26.26,83.88,1.48
2023-04-02,26.33,81.5,2.67
2023-04-03,26.5,84.05,5.55
2023-04-04,26.52,82.96,0.95
2023-04-05,26.61,83.94,4.05
2023-04-06,27.04,83.07,3.29
2023-04-07,26.57,86.16,6.14
2023-04-08,27.0,83.82,5.25
2023-04-09,26.19,88.21,2.93
2023-04-10,26.24,85.22,1.03
2023-04-11,27.18,77.96,0.27
2023-04-12,26.71,84.3,2.34
2023-04-13,27.02,83.54,5.06
2023-04-14,26.8,86.44,4.24
2023-04-15,26.02,89.55,5.0
2023-04-16,27.05,83.67,5.93
2023-04-17,26.87,85.17,6.58
