date,RH2M,T2M,PRECTOT
2023-01-01,64.31,26.44,0.0
2023-01-02,69.07,26.61,0.0
2023-01-03,70.61,26.41,0.0
2023-01-04,71.03,25.73,0.0
2023-01-05,81.01,25.98,0.18
2023-01-06,75.49,25.54,0.01
2023-01-07,68.8,25.35,0.0
2023-01-08,69.19,25.24,0.0
2023-01-09,65.87,25.0,0.0
2023-01-10,68.4,25.49,0.0
2023-01-11,68.57,25.43,0.02
2023-01-12,65.51,24.96,0.01
2023-01-13,75.5,25.69,0.03
2023-01-14,71.22,25.03,0.08
2023-01-15,74.47,26.49,0.03
2023-01-16,64.3,26.0,0.0
2023-01-17,74.96,26.1,0.0
2023-01-18,74.44,26.44,0.0
2023-01-19,72.21,26.62,0.0
2023-01-20,75.01,26.77,0.01
2023-01-21,77.38,27.07,0.0
2023-01-22,78.98,26.94,0.0
2023-01-23,76.4,27.18,0.0
2023-01-24,75.99,27.62,0.0
2023-01-25,78.37,27.41,0.0
2023-01-26,77.81,27.63,0.18
2023-01-27,80.43,27.22,0.44
2023-01-28,84.04,26.56,0.62
2023-01-29,79.98,27.23,0.61
2023-01-30,87.63,25.8,0.21
2023-01-31,85.17,26.08,0.0
2023-02-01,84.62,26.3,0.0
2023-02-02,79.6,27.29,0.0
2023-02-03,74.81,28.05,0.0
2023-02-04,79.83,27.32,0.0
2023-02-05,76.97,27.82,1.91
2023-02-06,81.85,26.93,1.2
2023-02-07,77.2,27.69,1.92
2023-02-08,77.67,27.49,1.12
2023-02-09,73.53,27.82,0.34
2023-02-10,70.48,28.32,0.04
2023-02-11,70.57,27.94,0.0
2023-02-12,64.26,28.18,0.0
2023-02-13,62.37,26.99,0.0
2023-02-14,59.06,26.49,0.0
2023-02-15,55.31,27.27,0.0
2023-02-16,51.27,26.36,0.0
2023-02-17,50.12,27.06,0.0
2023-02-18,51.18,27.85,0.0
2023-02-19,62.19,26.85,0.0
2023-02-20,59.5,26.87,0.0
2023-02-21,68.11,27.23,0.0
2023-02-22,71.87,28.1,0.05
2023-02-23,73.72,28.32,0.1
2023-02-24,76.43,28.15,0.06
2023-02-25,75.72,28.62,1.72
2023-02-26,72.46,28.99,0.76
2023-02-27,79.06,27.69,1.36
2023-02-28,78.49,27.67,0.3
2023-03-01,77.08,27.85,0.63
2023-03-02,85.36,26.59,1.64
2023-03-03,80.77,27.13,1.13
2023-03-04,82.63,27.03,2.94
2023-03-05,80.51,28.06,2.56
2023-03-06,83.16,27.13,1.58
2023-03-07,79.24,27.75,2.44
2023-03-08,82.47,27.39,4.66
2023-03-09,82.73,27.23,1.87
2023-03-10,80.88,27.7,2.43
2023-03-11,80.46,27.28,1.25
2023-03-12,78.59,27.09,0.09
2023-03-13,78.19,27.4,0.21
2023-03-14,80.65,27.1,0.4
2023-03-15,84.2,26.66,1.48
2023-03-16,79.83,26.33,0.33
2023-03-17,70.38,27.99,0.29
2023-03-18,84.41,25.91,1.99
2023-03-19,77.79,26.23,0.42
2023-03-20,73.15,26.88,0.69
2023-03-21,84.11,25.85,12.29
2023-03-22,77.28,26.74,0.28
2023-03-23,82.72,26.42,0.3
2023-03-24,86.07,24.79,2.78
2023-03-25,82.13,26.67,1.06
2023-03-26,75.34,26.54,0.38
2023-03-27,80.38,26.63,2.9
2023-03-28,74.92,27.98,1.41
2023-03-29,75.34,27.3,0.55
2023-03-30,79.47,27.7,2.12
2023-03-31,83.78,26.74,0.27
2023-04-01,77.52,27.19,0.2
2023-04-02,80.34,27.27,0.86
2023-04-03,83.77,27.01,1.75
2023-04-04,79.33,26.77,0.24
2023-04-05,79.58,27.38,0.29
2023-04-06,84.14,27.43,5.65
2023-04-07,82.64,27.78,3.85
2023-04-08,84.53,27.5,4.71
