date,RH2M,T2M,PRECTOT
2023-01-01,7.65,82.79,1.28
2023-01-02,9.02,78.64,2.73
2023-01-03,9.45,84.62,1.89
2023-01-04,6.49,87.63,3.39
2023-01-05,7.88,82.79,3.94
2023-01-06,8.23,74.66,0.28
2023-01-07,9.58,71.19,0.0
2023-01-08,9.01,75.35,0.35
2023-01-09,9.0,74.31,0.42
2023-01-10,8.6,76.14,3.65
2023-01-11,8.7,79.55,1.4
2023-01-12,8.94,75.07,0.0
2023-01-13,10.3,72.22,0.0
2023-01-14,10.4,73.72,0.03
2023-01-15,8.67,79.63,0.92
2023-01-16,9.4,75.06,0.09
2023-01-17,8.94,72.73,1.72
2023-01-18,6.62,77.91,4.73
2023-01-19,7.55,79.23,1.69
2023-01-20,8.58,75.77,0.04
2023-01-21,10.41,70.23,0.0
2023-01-22,9.36,71.01,0.0
2023-01-23,10.31,69.63,0.0
2023-01-24,10.16,78.26,2.56
2023-01-25,7.78,79.2,1.87
2023-01-26,7.41,82.29,2.46
2023-01-27,10.19,76.56,0.48
2023-01-28,9.91,78.79,0.32
2023-01-29,8.55,81.63,2.9
2023-01-30,8.49,75.79,0.61
2023-01-31,8.08,79.13,2.04
2023-02-01,8.33,79.42,0.94
2023-02-02,7.4,84.47,5.16
2023-02-03,8.58,78.23,3.62
2023-02-04,8.21,80.04,5.43
2023-02-05,8.94,77.76,1.3
2023-02-06,8.81,82.24,1.88
2023-02-07,9.51,80.34,1.96
2023-02-08,7.82,87.75,9.03
2023-02-09,5.81,85.31,2.01
2023-02-10,9.18,78.07,0.58
2023-02-11,7.86,80.12,0.45
2023-02-12,9.79,78.57,1.35
2023-02-13,9.36,82.71,3.21
2023-02-14,9.01,82.14,2.05
2023-02-15,10.37,77.25,8.86
2023-02-16,9.93,78.02,4.92
2023-02-17,8.05,81.06,4.23
2023-02-18,7.37,85.57,3.07
2023-02-19,8.13,77.72,0.1
2023-02-20,9.49,78.06,0.16
2023-02-21,9.6,77.56,0.05
2023-02-22,9.04,76.99,0.01
2023-02-23,9.2,74.16,0.09
2023-02-24,10.12,78.02,0.03
2023-02-25,10.4,75.1,0.33
2023-02-26,10.69,73.87,0.74
2023-02-27,8.18,83.31,0.97
2023-02-28,9.62,77.86,0.58
2023-03-01,10.19,77.35,0.05
2023-03-02,10.76,76.48,0.0
2023-03-03,8.97,81.29,0.0
2023-03-04,7.78,78.22,0.15
2023-03-05,7.96,84.2,0.16
2023-03-06,9.12,76.35,0.0
2023-03-07,11.08,75.78,0.0
2023-03-08,11.27,76.41,1.37
2023-03-09,9.08,81.42,3.59
2023-03-10,9.51,76.69,0.48
2023-03-11,9.45,77.06,0.03
2023-03-12,10.58,72.44,0.09
2023-03-13,9.05,79.36,5.79
2023-03-14,5.8,92.84,6.21
2023-03-15,7.18,83.77,2.64
2023-03-16,6.63,83.03,0.65
2023-03-17,8.14,82.98,0.83
2023-03-18,7.85,80.28,2.21
2023-03-19,8.11,79.94,3.25
2023-03-20,7.64,84.62,3.67
2023-03-21,6.44,83.85,2.68
