date,RH2M,T2M,PRECTOT
2023-01-01,22.61,65.98,0.0
2023-01-02,22.57,63.65,0.0
2023-01-03,23.01,68.28,0.0
2023-01-04,23.52,70.74,0.0
2023-01-05,24.74,67.16,0.0
2023-01-06,25.13,75.47,0.0
2023-01-07,25.86,76.37,0.0
2023-01-08,25.85,68.4,0.0
2023-01-09,25.19,66.45,0.0
2023-01-10,25.2,67.31,0.01
2023-01-11,24.99,65.4,0.01
2023-01-12,24.76,59.24,0.0
2023-01-13,24.12,69.28,0.01
2023-01-14,24.02,60.09,0.0
2023-01-15,25.72,55.86,0.02
2023-01-16,25.8,67.85,0.01
2023-01-17,26.02,67.52,0.0
2023-01-18,26.11,56.81,0.0
2023-01-19,26.23,63.76,0.01
2023-01-20,25.43,77.37,0.02
2023-01-21,26.31,77.53,0.95
2023-01-22,26.95,75.81,1.4
2023-01-23,26.01,82.83,1.81
2023-01-24,26.17,80.75,2.56
2023-01-25,26.99,75.45,0.57
2023-01-26,26.49,78.08,0.37
2023-01-27,27.12,75.74,0.71
2023-01-28,25.66,81.59,1.17
2023-01-29,25.88,74.94,0.38
2023-01-30,26.29,75.28,0.22
2023-01-31,26.48,75.61,0.78
2023-02-01,27.47,70.4,0.11
2023-02-02,27.49,74.08,0.42
2023-02-03,28.19,71.04,0.39
2023-02-04,27.66,72.26,1.11
2023-02-05,25.38,84.34,11.15
2023-02-06,26.47,74.31,0.08
2023-02-07,27.67,70.06,0.27
2023-02-08,27.21,73.65,0.93
2023-02-09,28.03,72.6,0.38
2023-02-10,28.74,70.12,0.1
2023-02-11,28.9,70.33,0.07
2023-02-12,28.89,70.35,0.13
2023-02-13,28.64,70.92,0.12
2023-02-14,28.37,69.86,0.1
2023-02-15,27.85,69.58,0.0
2023-02-16,27.35,60.73,0.0
2023-02-17,26.31,67.48,0.0
2023-02-18,26.67,54.94,0.0
2023-02-19,27.64,58.08,0.0
2023-02-20,27.84,61.75,0.0
2023-02-21,28.39,61.03,0.02
2023-02-22,28.66,69.94,0.03
2023-02-23,28.58,70.24,0.05
2023-02-24,27.47,74.77,0.04
2023-02-25,27.09,75.34,2.06
2023-02-26,28.16,70.95,1.89
2023-02-27,27.68,75.25,1.74
2023-02-28,27.37,76.24,2.73
2023-03-01,28.63,65.38,3.07
2023-03-02,28.33,68.85,3.37
2023-03-03,28.63,70.7,2.59
2023-03-04,28.04,72.43,2.36
2023-03-05,28.82,66.2,1.32
2023-03-06,28.81,69.84,2.19
2023-03-07,27.03,79.93,12.5
2023-03-08,28.43,73.89,2.72
2023-03-09,27.22,80.25,8.07
2023-03-10,28.42,71.67,2.28
2023-03-11,26.48,83.6,13.06
2023-03-12,26.48,76.12,0.89
2023-03-13,28.18,68.09,0.15
2023-03-14,28.28,70.84,0.26
2023-03-15,27.91,72.68,0.51
2023-03-16,27.6,74.91,0.75
2023-03-17,26.64,76.11,3.67
2023-03-18,25.56,81.05,5.13
2023-03-19,26.86,71.72,0.14
2023-03-20,27.34,74.14,1.41
2023-03-21,27.78,73.23,2.54
2023-03-22,26.7,77.06,3.85
2023-03-23,26.05,77.76,2.24
2023-03-24,25.62,81.57,10.83
2023-03-25,27.39,74.0,0.34
2023-03-26,26.17,79.44,2.89
2023-03-27,26.96,76.45,6.27
2023-03-28,27.28,74.67,0.85
2023-03-29,27.86,73.43,1.28
2023-03-30,27.27,75.53,2.49
2023-03-31,27.39,75.63,3.48
2023-04-01,27.73,71.92,0.5
2023-04-02,26.74,75.73,0.67
2023-04-03,26.88,75.92,1.97
2023-04-04,27.47,74.54,1.16
2023-04-05,27.9,74.36,1.3
2023-04-06,27.36,78.21,2.19
2023-04-07,27.16,79.63,5.35
2023-04-08,26.83,82.23,6.59
2023-04-09,26.3,81.18,3.05
2023-04-10,28.09,72.85,0.53
2023-04-11,27.78,76.04,1.92
2023-04-12,26.49,80.47,3.89
2023-04-13,27.41,77.43,4.13
2023-04-14,28.3,75.77,5.24
2023-04-15,27.35,81.58,8.62
2023-04-16,27.68,78.24,5.15
2023-04-17,27.75,76.67,4.25
2023-04-18,27.92,76.66,3.36
2023-04-19,27.98,76.88,3.78
2023-04-20,27.24,77.5,1.5
2023-04-21,26.57,80.05,0.7
2023-04-22,27.14,79.71,1.99
2023-04-23,26.85,82.17,3.54
2023-04-24,26.86,80.65,5.66
2023-04-25,27.71,74.47,4.55
2023-04-26,26.68,81.26,1.07
2023-04-27,26.61,78.87,1.5
2023-04-28,27.5,73.2,0.33
2023-04-29,26.34,81.08,23.32
2023-04-30,26.26,78.63,3.51
2023-05-01,26.57,79.0,1.56
2023-05-02,26.98,76.74,0.72
2023-05-03,27.24,77.37,3.74
2023-05-04,27.21,77.92,2.16
2023-05-05,27.15,78.25,0.91
2023-05-06,26.57,81.14,2.34
2023-05-07,27.24,74.31,1.94
2023-05-08,27.42,74.82,1.82
2023-05-09,27.6,79.23,7.28
2023-05-10,26.94,85.03,9.01
2023-05-11,27.23,81.36,2.36
2023-05-12,27.58,80.73,6.51
2023-05-13,27.61,82.75,3.83
2023-05-14,27.98,81.45,6.22
2023-05-15,26.92,85.5,11.19
2023-05-16,26.53,83.95,5.55
2023-05-17,27.2,81.51,2.43
2023-05-18,26.97,82.91,7.86
2023-05-19,26.32,85.47,2.58
2023-05-20,27.01,83.33,2.79
2023-05-21,26.15,85.1,2.99
2023-05-22,26.53,82.05,3.66
2023-05-23,26.45,84.78,5.35
2023-05-24,27.21,82.35,5.34
2023-05-25,27.08,83.98,5.24
2023-05-26,26.9,83.76,0.86
2023-05-27,26.4,85.08,2.35
2023-05-28,26.61,82.34,0.62
2023-05-29,25.97,86.9,2.0
2023-05-30,26.61,81.6,0.44
2023-05-31,26.74,83.71,3.97
2023-06-01,26.05,89.65,5.02
2023-06-02,25.13,92.31,23.69
2023-06-03,24.71,89.28,4.21
2023-06-04,26.07,82.35,0.98
2023-06-05,25.84,85.42,1.5
2023-06-06,25.11,88.8,3.08
2023-06-07,24.93,88.3,3.78
2023-06-08,24.96,85.99,2.23
2023-06-09,26.06,82.96,3.14
2023-06-10,26.28,84.72,10.04
2023-06-11,25.14,86.95,4.51
2023-06-12,25.29,82.55,0.17
2023-06-13,25.72,80.84,0.17
2023-06-14,25.85,82.88,6.99
2023-06-15,25.47,86.36,8.1
2023-06-16,25.63,84.7,4.28
2023-06-17,26.09,82.62,2.05
2023-06-18,26.35,83.6,5.46
2023-06-19,25.16,89.6,3.47
2023-06-20,25.17,89.16,8.92
2023-06-21,24.76,87.44,25.61
2023-06-22,24.99,87.02,3.87
2023-06-23,25.27,88.51,31.66
2023-06-24,24.93,89.34,94.69
2023-06-25,24.52,88.85,11.01
2023-06-26,24.01,88.09,1.58
2023-06-27,23.97,88.58,2.27
2023-06-28,24.25,89.35,2.81
2023-06-29,25.01,87.45,2.08
2023-06-30,25.39,84.67,2.87
2023-07-01,25.78,86.02,6.84
2023-07-02,25.25,87.35,14.93
2023-07-03,25.28,87.87,10.08
2023-07-04,25.53,88.64,16.46
2023-07-05,24.87,89.89,12.16
2023-07-06,25.13,87.64,3.88
2023-07-07,25.64,86.05,7.55
2023-07-08,24.66,93.45,42.27
2023-07-09,24.88,90.41,12.99
2023-07-10,24.78,88.35,11.58
2023-07-11,25.35,88.54,8.57
2023-07-12,24.92,91.28,11.04
2023-07-13,24.42,92.67,8.24
2023-07-14,25.49,87.33,3.67
2023-07-15,25.66,89.59,10.0
2023-07-16,24.72,91.61,31.05
2023-07-17,25.36,88.3,5.46
2023-07-18,25.77,89.38,4.06
2023-07-19,24.78,92.8,5.82
2023-07-20,25.6,89.33,2.19
2023-07-21,25.55,87.9,3.4
2023-07-22,24.59,91.29,9.34
2023-07-23,23.86,92.9,11.86
2023-07-24,24.47,90.48,2.39
2023-07-25,24.88,89.03,0.54
2023-07-26,25.55,88.3,1.97
2023-07-27,25.25,89.39,3.76
2023-07-28,24.27,91.84,2.29
2023-07-29,25.08,89.32,3.37
2023-07-30,24.67,90.38,8.72
2023-07-31,25.28,88.96,8.2
2023-08-01,24.42,92.75,8.24
2023-08-02,24.81,89.06,2.92
2023-08-03,24.67,88.3,3.15
2023-08-04,25.16,87.57,1.92
2023-08-05,25.1,88.24,2.25
2023-08-06,25.08,88.45,2.84
2023-08-07,24.93,88.93,1.54
2023-08-08,25.2,88.59,3.0
2023-08-09,24.18,90.82,2.43
2023-08-10,24.51,87.94,0.94
2023-08-11,24.53,86.82,0.31
2023-08-12,25.04,87.36,0.76
2023-08-13,24.41,88.93,2.67
2023-08-14,24.22,89.61,4.74
2023-08-15,24.85,87.89,3.36
2023-08-16,25.71,84.12,3.57
2023-08-17,25.31,89.79,7.72
2023-08-18,24.44,91.35,17.87
2023-08-19,23.82,91.23,16.07
2023-08-20,25.95,84.12,9.01
2023-08-21,25.75,87.61,2.69
2023-08-22,25.9,86.5,1.26
2023-08-23,25.75,86.94,5.67
2023-08-24,24.98,90.01,3.04
