date,RH2M,T2M,PRECTOT
2023-01-01,64.54,21.96,0.0
2023-01-02,63.86,22.42,0.0
2023-01-03,66.2,22.19,0.0
2023-01-04,66.93,23.07,0.0
2023-01-05,66.99,23.68,0.0
2023-01-06,63.6,24.05,0.0
2023-01-07,64.74,23.51,0.0
2023-01-08,58.91,23.31,0.0
2023-01-09,60.65,21.46,0.0
2023-01-10,59.03,21.5,0.0
2023-01-11,57.24,21.58,0.0
2023-01-12,57.31,22.02,0.0
2023-01-13,61.23,22.26,0.0
2023-01-14,56.63,22.97,0.0
2023-01-15,61.71,22.96,0.03
2023-01-16,60.95,22.85,0.0
2023-01-17,60.85,23.1,0.0
2023-01-18,61.13,23.74,0.0
2023-01-19,69.04,23.99,0.01
2023-01-20,75.05,24.66,0.03
2023-01-21,79.13,25.12,0.33
2023-01-22,79.75,24.97,0.45
2023-01-23,80.0,25.01,0.36
2023-01-24,78.42,25.42,0.21
2023-01-25,75.74,25.81,0.69
2023-01-26,84.22,25.3,0.13
2023-01-27,87.4,24.95,0.32
2023-01-28,88.97,24.59,0.44
2023-01-29,87.58,23.97,0.3
2023-01-30,82.55,24.67,0.71
2023-01-31,84.58,24.18,0.01
2023-02-01,80.2,25.3,0.01
2023-02-02,81.86,25.59,0.02
2023-02-03,79.02,25.98,0.01
2023-02-04,82.27,25.46,0.02
2023-02-05,88.36,24.84,34.06
2023-02-06,86.81,24.89,27.0
2023-02-07,82.25,24.79,30.1
2023-02-08,76.17,25.0,23.37
2023-02-09,81.32,25.09,29.1
2023-02-10,79.14,25.85,0.03
2023-02-11,77.04,25.62,0.02
2023-02-12,65.35,24.92,0.01
2023-02-13,56.09,23.92,0.0
2023-02-14,59.41,23.92,0.0
2023-02-15,64.24,22.58,0.0
2023-02-16,60.61,22.03,0.0
2023-02-17,61.61,22.09,0.0
2023-02-18,57.48,23.48,0.0
2023-02-19,56.04,23.41,0.0
2023-02-20,51.29,24.4,0.0
2023-02-21,61.56,23.99,0.03
2023-02-22,81.01,24.95,1.67
2023-02-23,82.99,25.78,3.2
2023-02-24,87.97,25.52,5.23
2023-02-25,85.68,25.74,7.03
2023-02-26,82.99,26.18,4.82
2023-02-27,86.3,25.68,3.5
2023-02-28,86.2,25.41,4.47
2023-03-01,88.31,25.09,1.84
2023-03-02,90.65,24.82,1.05
2023-03-03,87.63,25.01,1.13
2023-03-04,85.19,25.67,1.89
2023-03-05,84.75,25.99,1.15
2023-03-06,88.46,25.36,1.39
2023-03-07,87.54,25.36,4.29
2023-03-08,87.85,25.91,7.98
2023-03-09,90.08,25.31,6.92
2023-03-10,86.83,25.54,1.72
2023-03-11,89.56,24.75,1.59
2023-03-12,87.99,24.91,0.91
2023-03-13,83.93,25.42,1.07
2023-03-14,85.82,25.21,1.61
2023-03-15,86.67,24.95,2.03
2023-03-16,86.36,24.91,3.07
2023-03-17,81.54,25.22,4.77
2023-03-18,89.19,24.29,11.64
2023-03-19,84.39,24.02,0.35
2023-03-20,84.64,24.91,1.95
2023-03-21,88.23,24.57,10.47
2023-03-22,85.53,24.49,1.68
2023-03-23,84.33,25.24,5.8
2023-03-24,87.37,24.69,9.17
2023-03-25,86.05,25.07,0.49
2023-03-26,86.4,25.12,2.62
2023-03-27,85.34,25.11,19.77
2023-03-28,82.74,25.64,0.19
2023-03-29,86.02,25.25,2.33
2023-03-30,85.32,26.1,5.74
2023-03-31,85.47,25.72,5.52
2023-04-01,85.37,25.33,0.02
2023-04-02,87.83,25.04,0.04
2023-04-03,89.38,24.88,0.05
2023-04-04,87.8,25.27,0.01
2023-04-05,85.65,25.66,0.02
2023-04-06,88.05,25.84,23.21
2023-04-07,89.54,25.31,7.19
2023-04-08,90.94,25.15,20.31
2023-04-09,90.78,24.65,5.9
2023-04-10,86.88,25.7,6.15
2023-04-11,91.69,24.73,7.87
2023-04-12,87.01,25.29,1.51
2023-04-13,91.32,25.14,5.26
2023-04-14,90.2,25.44,1.73
2023-04-15,93.19,25.17,10.06
2023-04-16,87.52,25.73,2.93
2023-04-17,87.08,25.6,1.29
2023-04-18,85.79,26.23,1.87
2023-04-19,85.84,26.26,1.07
2023-04-20,87.02,26.16,2.3
2023-04-21,92.33,25.01,2.53
2023-04-22,92.82,24.77,3.39
2023-04-23,94.15,25.08,13.83
2023-04-24,86.88,25.34,4.49
2023-04-25,87.29,25.64,6.17
2023-04-26,89.44,25.06,3.26
2023-04-27,92.91,24.14,9.2
2023-04-28,88.98,24.87,0.97
2023-04-29,90.52,24.67,8.07
2023-04-30,89.18,24.18,15.81
2023-05-01,88.4,24.7,3.76
2023-05-02,89.59,25.14,7.49
2023-05-03,88.33,25.03,6.08
2023-05-04,90.46,24.69,17.41
2023-05-05,85.94,25.38,3.94
2023-05-06,86.76,25.14,4.11
2023-05-07,89.59,25.29,5.25
2023-05-08,89.91,24.72,0.99
2023-05-09,89.84,25.17,3.87
2023-05-10,91.47,25.3,5.36
2023-05-11,91.56,25.34,5.51
2023-05-12,91.87,25.13,5.68
2023-05-13,87.39,25.94,2.75
2023-05-14,91.63,25.67,11.56
2023-05-15,91.55,25.79,7.7
2023-05-16,90.71,25.86,9.12
2023-05-17,91.51,25.46,7.5
2023-05-18,91.82,25.35,8.5
2023-05-19,90.07,25.9,8.13
2023-05-20,90.27,26.16,11.31
2023-05-21,91.16,25.23,5.98
2023-05-22,89.08,25.32,4.13
2023-05-23,89.64,25.96,4.37
2023-05-24,89.25,26.34,2.54
2023-05-25,91.82,25.8,5.13
2023-05-26,90.34,25.75,4.33
2023-05-27,93.86,24.59,5.84
2023-05-28,92.3,24.67,5.57
2023-05-29,86.54,25.79,3.42
2023-05-30,90.71,25.6,4.72
2023-05-31,90.96,25.86,3.99
2023-06-01,92.76,25.46,9.65
2023-06-02,89.72,25.37,10.71
2023-06-03,89.71,25.16,4.62
2023-06-04,88.07,25.34,5.57
2023-06-05,91.46,25.24,20.47
2023-06-06,95.24,23.93,20.83
2023-06-07,92.02,24.33,26.72
2023-06-08,92.29,23.93,19.69
2023-06-09,89.17,24.86,10.61
2023-06-10,91.2,24.88,18.45
2023-06-11,95.07,23.36,56.51
2023-06-12,90.03,23.6,3.85
2023-06-13,89.26,24.02,1.3
2023-06-14,91.22,24.43,16.17
2023-06-15,92.82,23.88,15.72
2023-06-16,90.71,24.12,11.69
2023-06-17,89.57,25.38,10.37
2023-06-18,91.46,25.54,13.19
2023-06-19,92.49,25.03,12.76
2023-06-20,93.61,24.3,15.36
2023-06-21,92.74,23.48,3.87
2023-06-22,90.23,23.78,2.65
2023-06-23,90.68,24.15,13.09
2023-06-24,92.37,23.36,16.05
2023-06-25,89.99,24.2,2.57
2023-06-26,89.8,24.33,3.15
2023-06-27,89.69,24.57,10.07
2023-06-28,93.19,23.43,9.42
2023-06-29,92.33,23.72,4.95
2023-06-30,89.03,24.75,2.95
2023-07-01,89.4,25.11,2.98
2023-07-02,91.51,23.9,14.43
2023-07-03,89.78,24.72,5.63
2023-07-04,93.24,24.02,7.41
2023-07-05,89.37,24.25,5.51
2023-07-06,87.34,25.06,3.06
2023-07-07,93.14,24.43,14.07
2023-07-08,91.58,24.5,18.48
2023-07-09,92.02,23.68,4.72
2023-07-10,88.67,24.56,0.47
2023-07-11,90.53,24.81,8.81
2023-07-12,94.65,24.07,12.64
2023-07-13,88.72,24.88,4.13
2023-07-14,89.39,24.82,4.4
2023-07-15,84.33,25.75,3.84
2023-07-16,87.46,25.86,7.78
2023-07-17,94.34,24.19,33.79
2023-07-18,92.7,24.64,6.64
2023-07-19,90.46,24.83,4.78
2023-07-20,92.68,24.58,5.88
2023-07-21,91.42,24.85,7.94
2023-07-22,90.15,24.81,14.88
2023-07-23,91.73,24.61,10.65
2023-07-24,93.37,23.85,9.93
2023-07-25,88.59,24.4,1.89
2023-07-26,88.79,25.2,3.87
2023-07-27,90.2,25.06,6.31
2023-07-28,93.8,23.99,12.77
2023-07-29,93.19,23.72,27.59
2023-07-30,91.45,24.37,12.81
2023-07-31,91.89,24.89,9.08
2023-08-01,93.61,23.79,6.98
2023-08-02,92.32,23.79,4.97
2023-08-03,89.86,24.31,3.49
2023-08-04,88.39,24.92,1.21
2023-08-05,89.39,24.93,1.56
2023-08-06,92.33,23.8,1.04
2023-08-07,91.37,24.03,1.26
2023-08-08,90.41,24.3,1.92
2023-08-09,90.42,24.31,8.26
2023-08-10,90.84,24.2,9.79
2023-08-11,91.82,23.73,2.07
2023-08-12,91.06,24.43,3.77
2023-08-13,92.55,23.79,7.55
2023-08-14,90.77,23.95,9.48
2023-08-15,82.83,24.61,1.15
2023-08-16,86.55,24.95,3.41
2023-08-17,91.15,24.94,5.77
2023-08-18,91.53,24.53,11.56
2023-08-19,91.97,24.19,6.34
2023-08-20,93.25,24.03,7.39
2023-08-21,88.6,24.72,2.28
2023-08-22,89.53,25.24,5.53
2023-08-23,94.09,24.29,10.07
2023-08-24,91.3,24.12,5.22
2023-08-25,88.24,24.8,2.07
2023-08-26,90.29,24.84,2.38
2023-08-27,93.74,23.75,6.6
2023-08-28,90.96,23.97,15.4
2023-08-29,90.76,24.35,4.77
2023-08-30,93.03,23.62,74.42
2023-08-31,91.39,24.38,2.12
2023-09-01,92.23,24.43,11.27
2023-09-02,94.96,23.38,35.82
2023-09-03,90.51,23.67,4.62
2023-09-04,91.87,23.58,10.49
2023-09-05,91.61,24.08,19.27
2023-09-06,86.91,25.09,6.74
2023-09-07,86.34,25.86,5.99
2023-09-08,93.98,24.39,48.16
2023-09-09,92.44,24.32,12.31
2023-09-10,91.62,24.15,3.41
2023-09-11,91.0,24.78,3.86
2023-09-12,94.12,24.46,9.05
2023-09-13,93.39,24.02,7.05
2023-09-14,87.19,24.91,2.33
2023-09-15,93.09,24.62,17.67
2023-09-16,92.78,24.11,36.4
2023-09-17,92.12,24.48,9.73
2023-09-18,90.8,24.41,9.36
2023-09-19,86.56,24.76,1.97
2023-09-20,88.47,24.95,4.21
2023-09-21,92.74,24.71,9.96
2023-09-22,92.72,24.56,6.22
2023-09-23,91.85,24.45,13.41
2023-09-24,88.84,24.51,4.68
2023-09-25,84.94,25.53,1.31
2023-09-26,85.68,26.11,2.25
2023-09-27,89.61,25.73,4.22
2023-09-28,92.54,25.32,17.46
2023-09-29,91.97,24.55,13.32
2023-09-30,87.93,25.38,5.95
2023-10-01,90.93,25.23,11.98
2023-10-02,90.72,25.32,15.43
2023-10-03,90.71,25.05,9.52
2023-10-04,87.55,25.9,9.62
2023-10-05,90.57,25.39,14.92
2023-10-06,88.95,25.22,5.02
2023-10-07,91.99,24.8,7.8
2023-10-08,89.36,25.11,4.61
2023-10-09,89.09,25.29,6.76
2023-10-10,88.66,25.56,9.13
2023-10-11,94.54,24.8,15.06
2023-10-12,91.79,24.62,10.1
2023-10-13,89.62,24.96,2.02
2023-10-14,93.74,24.59,5.27
2023-10-15,92.1,24.9,4.1
2023-10-16,93.99,23.66,5.31
2023-10-17,89.56,23.71,2.28
2023-10-18,88.02,25.11,4.98
2023-10-19,92.3,25.11,3.46
2023-10-20,87.83,25.57,5.28
2023-10-21,89.5,25.28,8.43
2023-10-22,88.47,25.48,3.63
2023-10-23,91.55,25.04,0.09
2023-10-24,88.45,25.42,0.08
2023-10-25,89.62,25.38,0.12
2023-10-26,88.58,25.29,0.08
2023-10-27,87.22,25.6,0.05
2023-10-28,85.57,25.96,2.7
2023-10-29,89.74,25.01,2.27
2023-10-30,88.81,24.85,2.54
2023-10-31,89.43,25.03,2.39
2023-11-01,85.27,25.69,1.45
2023-11-02,92.32,24.59,4.17
2023-11-03,90.37,25.2,10.93
2023-11-04,89.98,25.06,15.81
2023-11-05,89.21,24.96,18.69
2023-11-06,91.05,24.95,15.51
2023-11-07,92.12,24.91,1.06
2023-11-08,91.08,24.72,0.63
2023-11-09,90.08,24.88,0.73
2023-11-10,88.16,25.41,0.62
2023-11-11,86.22,25.8,1.28
2023-11-12,85.65,25.68,3.21
2023-11-13,86.75,25.34,0.83
2023-11-14,85.73,25.9,1.1
