date,RH2M,T2M,PRECTOT
2023-01-01,25.25,78.74,9.62
2023-01-02,25.84,78.02,4.03
2023-01-03,25.25,83.01,2.43
2023-01-04,25.51,80.25,1.84
2023-01-05,25.67,80.62,1.98
2023-01-06,24.91,83.02,1.53
2023-01-07,25.34,82.13,2.49
2023-01-08,25.49,81.36,3.5
2023-01-09,24.35,86.45,6.85
2023-01-10,25.27,82.3,8.27
2023-01-11,25.34,82.17,8.93
2023-01-12,25.18,82.1,5.2
2023-01-13,24.88,84.51,6.44
2023-01-14,25.13,84.4,8.83
2023-01-15,25.69,82.21,3.73
2023-01-16,24.78,85.13,3.78
2023-01-17,24.88,83.3,1.63
2023-01-18,25.7,77.87,0.51
2023-01-19,25.61,80.08,2.83
2023-01-20,26.08,82.31,3.33
2023-01-21,25.45,83.88,6.07
2023-01-22,25.16,82.33,5.7
2023-01-23,25.72,81.35,1.0
2023-01-24,25.78,84.14,5.35
2023-01-25,26.16,81.88,2.46
2023-01-26,25.82,80.72,2.95
2023-01-27,26.15,82.92,2.51
2023-01-28,26.03,85.97,1.18
2023-01-29,26.48,81.43,3.44
2023-01-30,26.02,82.02,2.28
2023-01-31,26.03,85.12,1.41
2023-02-01,25.42,86.34,2.86
2023-02-02,25.56,84.31,2.94
2023-02-03,25.9,83.42,4.3
2023-02-04,25.92,86.42,5.3
2023-02-05,26.64,84.1,0.77
2023-02-06,25.84,86.34,1.82
2023-02-07,26.1,86.61,2.87
2023-02-08,25.65,89.29,7.97
2023-02-09,26.31,85.9,2.49
2023-02-10,26.17,85.35,3.3
2023-02-11,26.08,85.0,1.44
2023-02-12,25.78,82.76,1.36
2023-02-13,25.49,85.46,4.34
2023-02-14,25.46,85.94,2.62
2023-02-15,25.48,85.01,3.66
2023-02-16,25.91,84.84,14.09
2023-02-17,26.11,83.84,6.17
2023-02-18,25.99,85.6,2.3
2023-02-19,25.97,85.03,1.58
2023-02-20,25.32,88.41,3.9
2023-02-21,25.98,82.74,3.09
2023-02-22,25.61,83.86,1.5
2023-02-23,25.5,84.98,6.77
2023-02-24,25.57,82.85,4.71
2023-02-25,25.75,79.88,0.43
2023-02-26,25.64,78.87,0.73
2023-02-27,25.9,80.86,4.04
2023-02-28,25.91,83.19,2.3
2023-03-01,25.93,83.69,1.11
2023-03-02,25.79,85.18,2.57
2023-03-03,25.81,84.48,7.37
2023-03-04,25.02,86.44,5.8
2023-03-05,25.69,84.2,2.22
2023-03-06,25.69,84.85,4.73
2023-03-07,25.71,87.78,15.78
2023-03-08,25.87,87.36,10.76
2023-03-09,24.47,92.03,24.86
2023-03-10,24.94,85.17,4.61
2023-03-11,25.03,87.84,8.87
2023-03-12,25.28,85.49,1.18
2023-03-13,25.15,85.12,5.63
2023-03-14,25.34,81.96,11.45
2023-03-15,25.29,85.36,3.32
2023-03-16,25.62,82.18,1.05
2023-03-17,25.6,80.8,7.56
2023-03-18,25.76,81.62,2.21
2023-03-19,25.96,83.38,1.5
2023-03-20,26.33,82.12,0.98
2023-03-21,26.48,83.16,2.88
2023-03-22,26.77,82.45,3.52
2023-03-23,26.07,87.06,5.74
2023-03-24,25.96,84.94,4.44
2023-03-25,26.42,79.39,1.18
2023-03-26,26.58,80.38,7.58
2023-03-27,26.71,79.03,7.33
2023-03-28,26.94,79.65,1.25
2023-03-29,26.15,82.03,1.94
2023-03-30,26.52,84.82,6.38
2023-03-31,25.68,90.28,10.15
2023-04-01,26.71,84.42,2.6
2023-04-02,26.29,86.79,2.71
2023-04-03,26.41,85.57,8.33
2023-04-04,26.34,87.99,4.83
2023-04-05,26.96,85.55,4.24
2023-04-06,26.58,85.7,4.77
2023-04-07,26.45,82.63,3.73
2023-04-08,26.69,79.04,1.39
2023-04-09,26.58,83.54,2.61
2023-04-10,26.32,84.04,3.73
2023-04-11,25.95,84.37,7.68
2023-04-12,26.93,81.05,5.64
2023-04-13,27.01,81.32,0.35
2023-04-14,26.55,84.54,1.07
2023-04-15,26.62,83.48,5.49
2023-04-16,25.93,87.8,6.52
2023-04-17,26.43,83.99,6.68
2023-04-18,27.06,82.43,3.64
2023-04-19,27.36,83.14,2.78
2023-04-20,25.92,87.95,11.27
2023-04-21,26.26,81.37,11.52
2023-04-22,26.16,84.09,5.18
2023-04-23,26.42,81.9,2.2
2023-04-24,26.47,84.92,1.7
2023-04-25,26.38,83.3,1.06
2023-04-26,26.58,83.18,1.33
2023-04-27,26.68,85.65,10.04
2023-04-28,26.57,84.01,11.41
2023-04-29,26.9,83.6,11.41
2023-04-30,26.41,86.4,49.01
2023-05-01,26.39,80.81,9.28
2023-05-02,27.16,82.99,1.7
2023-05-03,27.31,86.67,39.38
2023-05-04,27.38,87.65,20.74
2023-05-05,27.66,89.85,17.02
2023-05-06,27.13,89.55,8.48
2023-05-07,26.84,88.82,1.43
2023-05-08,27.37,88.59,2.73
2023-05-09,26.46,93.22,7.54
2023-05-10,26.47,88.3,6.01
2023-05-11,26.69,88.46,0.89
2023-05-12,26.45,89.87,1.73
2023-05-13,26.77,89.05,5.72
2023-05-14,26.33,90.25,12.85
2023-05-15,26.66,89.09,5.89
2023-05-16,25.97,88.28,3.22
2023-05-17,27.05,85.35,0.15
2023-05-18,27.09,86.4,3.32
2023-05-19,26.51,86.4,7.79
2023-05-20,26.33,85.9,3.74
2023-05-21,26.23,86.56,5.95
2023-05-22,26.03,86.11,12.24
2023-05-23,25.76,87.53,5.45
2023-05-24,26.58,86.34,5.4
2023-05-25,26.11,89.61,5.19
2023-05-26,26.11,86.78,2.88
2023-05-27,26.56,86.83,11.85
2023-05-28,26.46,88.05,11.82
2023-05-29,26.84,86.58,9.62
2023-05-30,26.4,87.23,14.05
2023-05-31,26.51,85.87,6.71
2023-06-01,26.28,84.69,3.79
2023-06-02,26.44,84.29,0.86
2023-06-03,26.97,87.14,9.96
2023-06-04,25.85,88.02,24.4
2023-06-05,26.06,87.51,1.56
2023-06-06,26.32,87.92,7.83
2023-06-07,26.02,88.68,7.26
2023-06-08,26.18,86.68,1.11
2023-06-09,25.98,87.63,2.22
2023-06-10,26.03,83.55,0.32
2023-06-11,26.37,83.72,0.16
2023-06-12,26.89,85.63,8.47
2023-06-13,26.9,86.24,2.51
2023-06-14,26.45,86.98,12.94
2023-06-15,26.76,84.56,4.18
2023-06-16,26.42,86.38,1.68
2023-06-17,26.51,84.66,0.28
2023-06-18,26.71,84.47,0.14
2023-06-19,26.8,86.6,0.56
2023-06-20,26.92,87.12,2.69
2023-06-21,26.66,85.57,0.88
2023-06-22,26.34,85.12,0.69
2023-06-23,26.25,86.1,0.69
2023-06-24,26.4,85.94,1.46
2023-06-25,25.98,86.58,1.13
2023-06-26,26.51,84.3,1.64
2023-06-27,26.47,84.98,2.89
2023-06-28,26.78,84.84,1.34
2023-06-29,27.17,85.96,0.84
2023-06-30,26.95,85.48,0.41
2023-07-01,26.95,84.86,0.54
2023-07-02,26.37,86.99,3.36
2023-07-03,25.98,88.42,7.95
2023-07-04,26.62,84.96,1.34
2023-07-05,26.27,89.16,10.13
2023-07-06,26.07,87.39,8.13
2023-07-07,25.54,88.7,8.48
2023-07-08,26.08,80.31,3.08
2023-07-09,26.46,86.45,6.92
2023-07-10,26.73,86.37,1.6
2023-07-11,26.73,85.8,0.41
2023-07-12,26.88,85.23,1.03
2023-07-13,27.03,85.3,1.04
2023-07-14,26.49,87.64,4.37
2023-07-15,26.71,85.66,4.04
2023-07-16,26.8,84.17,0.81
2023-07-17,26.46,86.98,2.64
2023-07-18,27.08,85.48,1.43
2023-07-19,27.25,86.02,0.69
2023-07-20,27.08,86.23,0.55
2023-07-21,26.8,84.98,0.72
2023-07-22,26.88,85.6,0.94
2023-07-23,26.75,85.29,0.77
2023-07-24,26.82,85.19,0.96
2023-07-25,26.26,83.33,0.49
2023-07-26,26.4,82.13,0.12
2023-07-27,26.07,83.03,0.66
2023-07-28,26.55,83.74,0.47
2023-07-29,26.55,84.73,1.09
2023-07-30,26.51,82.71,0.13
2023-07-31,26.64,82.34,0.31
2023-08-01,26.52,83.76,4.38
2023-08-02,26.99,81.56,1.83
2023-08-03,27.08,82.56,1.33
2023-08-04,27.04,82.09,0.96
2023-08-05,27.09,81.94,0.65
2023-08-06,27.0,81.2,1.0
2023-08-07,26.53,83.13,0.84
2023-08-08,26.6,83.93,2.32
2023-08-09,26.41,84.92,1.49
2023-08-10,26.82,81.07,0.51
2023-08-11,26.73,79.99,0.47
2023-08-12,26.56,81.39,1.0
2023-08-13,26.37,80.57,0.98
2023-08-14,26.93,77.5,0.85
2023-08-15,26.72,79.87,1.33
2023-08-16,26.92,78.75,0.45
2023-08-17,27.29,78.01,0.26
2023-08-18,27.38,77.61,0.2
2023-08-19,26.85,80.54,2.44
2023-08-20,26.02,83.71,6.56
2023-08-21,26.35,81.22,3.27
2023-08-22,25.94,84.38,3.59
2023-08-23,26.4,77.93,0.67
2023-08-24,27.19,73.95,0.14
2023-08-25,27.82,74.89,0.81
2023-08-26,27.67,78.29,0.09
2023-08-27,27.47,74.88,0.06
2023-08-28,27.3,74.74,0.07
2023-08-29,27.73,75.48,0.01
2023-08-30,28.17,74.91,0.02
2023-08-31,27.65,75.39,0.05
2023-09-01,27.53,74.61,0.02
2023-09-02,27.87,73.73,0.11
2023-09-03,26.88,76.47,0.58
2023-09-04,26.95,76.38,1.5
2023-09-05,27.17,76.82,0.96
2023-09-06,27.3,75.71,0.25
2023-09-07,27.84,72.1,0.04
2023-09-08,27.44,73.33,0.19
2023-09-09,27.56,71.56,0.29
2023-09-10,27.02,75.7,1.25
2023-09-11,27.49,75.86,0.49
2023-09-12,27.69,75.11,0.35
2023-09-13,27.7,75.51,1.4
2023-09-14,27.15,76.14,2.14
2023-09-15,27.13,75.71,0.35
2023-09-16,27.72,73.29,0.25
2023-09-17,27.85,71.33,0.03
2023-09-18,27.57,72.54,0.33
2023-09-19,27.88,71.61,0.09
2023-09-20,27.77,72.19,0.03
2023-09-21,28.06,72.47,0.01
2023-09-22,28.41,70.8,0.13
2023-09-23,28.58,69.72,0.22
2023-09-24,27.25,75.34,0.46
2023-09-25,27.81,74.4,1.27
2023-09-26,27.38,72.65,0.29
2023-09-27,27.69,71.4,0.44
2023-09-28,27.11,73.96,1.57
2023-09-29,27.62,70.82,0.27
2023-09-30,28.01,72.85,1.28
2023-10-01,27.77,72.62,0.67
2023-10-02,27.41,73.58,0.65
2023-10-03,27.24,71.51,0.2
2023-10-04,27.46,70.56,0.21
2023-10-05,27.59,70.24,0.18
2023-10-06,27.38,72.96,0.86
2023-10-07,27.37,75.36,2.46
2023-10-08,27.11,76.61,3.63
2023-10-09,28.0,76.47,0.53
2023-10-10,27.14,77.71,0.45
2023-10-11,27.79,74.45,1.53
2023-10-12,26.5,80.57,5.86
2023-10-13,27.38,76.9,0.99
2023-10-14,26.61,81.76,4.67
2023-10-15,26.95,78.07,0.39
2023-10-16,27.14,78.93,3.66
2023-10-17,27.57,77.67,3.37
2023-10-18,27.86,76.52,0.24
2023-10-19,27.52,77.55,1.61
2023-10-20,27.23,75.09,0.34
2023-10-21,27.54,72.69,0.28
2023-10-22,27.45,74.39,0.48
2023-10-23,27.34,76.61,1.5
2023-10-24,26.46,80.98,3.44
2023-10-25,26.73,80.11,5.51
2023-10-26,26.51,80.14,6.26
2023-10-27,26.75,78.33,1.16
2023-10-28,25.97,83.23,3.6
2023-10-29,26.7,79.51,1.13
2023-10-30,26.99,77.54,0.75
2023-10-31,26.91,79.78,4.18
2023-11-01,26.99,79.45,3.48
2023-11-02,26.67,79.47,1.13
2023-11-03,27.05,76.16,2.13
2023-11-04,26.39,77.95,1.19
2023-11-05,27.03,74.15,1.42
2023-11-06,26.89,76.05,1.04
2023-11-07,27.61,76.96,0.63
2023-11-08,27.75,78.86,1.97
2023-11-09,27.54,75.36,0.86
2023-11-10,27.58,72.74,0.35
2023-11-11,27.44,74.14,1.15
2023-11-12,27.44,75.35,0.42
2023-11-13,27.71,74.86,0.3
2023-11-14,27.42,76.7,4.73
2023-11-15,26.02,82.19,9.41
2023-11-16,27.07,78.61,0.71
2023-11-17,26.97,76.45,0.35
2023-11-18,27.17,74.23,0.32
2023-11-19,27.09,75.93,0.89
2023-11-20,26.92,78.35,0.52
2023-11-21,27.04,77.03,0.81
2023-11-22,27.23,77.09,1.98
2023-11-23,27.28,76.59,3.91
2023-11-24,26.86,78.25,4.78
2023-11-25,27.11,77.06,1.23
2023-11-26,26.92,78.98,3.76
2023-11-27,27.01,79.85,1.69
2023-11-28,26.69,77.0,1.39
2023-11-29,26.62,75.67,0.39
2023-11-30,26.53,78.12,0.5
2023-12-01,27.09,77.72,0.91
2023-12-02,27.47,74.19,0.13
2023-12-03,27.17,75.97,0.57
2023-12-04,27.35,77.51,0.62
2023-12-05,26.96,80.92,0.86
2023-12-06,26.54,80.38,5.75
2023-12-07,26.41,83.82,19.15
2023-12-08,27.4,80.64,2.56
2023-12-09,27.68,78.9,0.91
2023-12-10,27.43,78.04,4.29
2023-12-11,27.43,78.03,1.37
2023-12-12,27.48,79.06,1.79
2023-12-13,27.63,78.89,1.45
2023-12-14,26.65,80.76,6.31
2023-12-15,26.33,82.84,13.46
2023-12-16,25.92,85.56,8.78
2023-12-17,26.49,83.54,4.66
2023-12-18,26.92,83.37,7.21
2023-12-19,26.82,85.42,10.55
2023-12-20,27.16,82.47,2.37
2023-12-21,27.31,84.33,2.88
2023-12-22,27.27,84.87,2.11
2023-12-23,25.68,88.22,15.52
2023-12-24,26.91,80.85,3.06
2023-12-25,26.39,82.52,4.29
2023-12-26,25.38,86.36,8.32
2023-12-27,25.69,83.92,12.88
2023-12-28,25.46,81.51,13.04
2023-12-29,25.86,82.07,4.88
2023-12-30,25.99,82.96,1.73
2023-12-31,26.17,84.65,1.68
