date,RH2M,T2M,PRECTOT
2023-01-01,58.33,27.52,0.22
2023-01-02,58.74,27.97,0.53
2023-01-03,64.2,26.71,0.17
2023-01-04,59.61,27.92,0.0
2023-01-05,61.31,26.97,0.0
2023-01-06,58.63,28.44,0.01
2023-01-07,59.81,27.6,0.02
2023-01-08,56.28,28.43,0.18
2023-01-09,56.97,28.45,4.02
2023-01-10,64.39,27.05,3.79
2023-01-11,67.74,26.45,0.87
2023-01-12,62.56,26.92,1.06
2023-01-13,67.44,25.67,0.52
2023-01-14,68.29,27.05,4.95
2023-01-15,70.73,25.92,1.23
2023-01-16,66.52,27.24,0.28
2023-01-17,61.94,27.31,0.05
2023-01-18,59.07,28.82,1.84
2023-01-19,71.41,25.75,2.41
2023-01-20,62.0,27.64,0.32
2023-01-21,65.13,27.58,0.49
2023-01-22,61.01,28.43,0.37
2023-01-23,59.71,29.27,0.01
2023-01-24,60.37,28.57,0.29
2023-01-25,58.86,28.89,5.43
2023-01-26,64.8,28.72,6.61
2023-01-27,66.69,28.51,5.08
2023-01-28,65.13,28.67,0.41
2023-01-29,65.34,28.26,4.07
2023-01-30,67.75,28.35,5.28
2023-01-31,68.84,27.78,0.37
2023-02-01,69.16,27.71,1.07
2023-02-02,68.04,28.3,1.91
2023-02-03,67.2,28.5,1.22
2023-02-04,67.33,28.47,0.62
2023-02-05,68.16,27.98,0.41
2023-02-06,66.04,28.67,1.6
2023-02-07,66.32,28.78,1.41
2023-02-08,67.96,28.29,2.57
2023-02-09,73.23,27.93,47.71
2023-02-10,76.01,27.63,20.35
2023-02-11,76.15,27.51,5.74
2023-02-12,83.5,25.92,5.6
2023-02-13,79.84,27.12,18.34
2023-02-14,82.11,25.8,8.14
2023-02-15,77.98,27.0,7.2
2023-02-16,82.18,25.84,6.71
2023-02-17,80.03,26.43,1.55
2023-02-18,77.61,27.46,2.01
2023-02-19,79.63,27.29,7.24
2023-02-20,88.87,25.41,34.84
2023-02-21,88.61,25.32,42.98
2023-02-22,83.01,26.15,9.35
2023-02-23,83.65,25.67,7.75
2023-02-24,82.34,26.34,6.47
2023-02-25,85.04,26.08,14.35
2023-02-26,82.49,26.24,7.54
2023-02-27,82.69,26.74,4.58
2023-02-28,85.01,26.06,1.72
2023-03-01,82.63,27.11,0.5
2023-03-02,84.05,26.6,2.72
2023-03-03,79.8,26.83,2.83
2023-03-04,81.09,26.81,2.65
2023-03-05,86.58,26.08,20.47
2023-03-06,87.44,26.12,21.61
2023-03-07,91.57,24.59,10.48
2023-03-08,89.85,25.5,31.58
2023-03-09,87.99,25.67,30.72
2023-03-10,88.59,24.64,4.35
2023-03-11,86.2,25.39,9.51
2023-03-12,86.37,25.65,4.27
2023-03-13,86.83,25.69,5.63
2023-03-14,84.43,25.89,14.99
2023-03-15,86.82,26.16,1.34
2023-03-16,88.5,25.53,3.56
