date,RH2M,T2M,PRECTOT
2023-01-01,67.04,21.5,0.0
2023-01-02,67.64,22.15,0.0
2023-01-03,68.12,21.92,0.0
2023-01-04,67.24,22.28,0.0
2023-01-05,71.91,22.67,0.0
2023-01-06,76.96,23.68,0.0
2023-01-07,76.74,25.1,0.0
2023-01-08,77.31,24.64,0.0
2023-01-09,80.4,24.1,0.0
2023-01-10,86.45,24.37,0.01
2023-01-11,81.07,25.09,0.09
2023-01-12,81.13,24.68,0.14
2023-01-13,74.27,24.2,0.05
2023-01-14,78.18,23.13,0.02
2023-01-15,77.09,24.98,0.05
2023-01-16,78.31,25.38,0.01
2023-01-17,75.0,24.44,0.01
2023-01-18,76.78,24.57,0.02
2023-01-19,83.02,25.4,0.04
2023-01-20,86.93,24.96,0.05
2023-01-21,86.3,25.2,0.36
2023-01-22,86.61,25.31,0.45
2023-01-23,86.52,25.34,0.67
2023-01-24,86.09,25.48,0.28
2023-01-25,89.48,24.57,0.53
2023-01-26,88.35,24.8,1.08
2023-01-27,85.82,25.01,0.74
2023-01-28,84.16,25.32,0.89
2023-01-29,86.12,24.76,1.62
2023-01-30,81.77,24.85,0.15
2023-01-31,82.77,25.34,4.53
2023-02-01,80.7,25.78,0.37
2023-02-02,86.16,25.54,2.31
2023-02-03,79.91,26.55,2.73
2023-02-04,86.64,25.56,7.76
2023-02-05,90.27,23.83,9.0
2023-02-06,81.65,24.0,0.12
2023-02-07,85.78,24.95,0.41
2023-02-08,85.84,25.4,0.33
2023-02-09,84.87,25.79,0.46
2023-02-10,82.41,26.55,0.67
2023-02-11,81.38,26.89,0.52
2023-02-12,86.7,26.21,1.61
2023-02-13,85.3,26.44,1.97
2023-02-14,83.11,26.65,1.99
2023-02-15,81.26,26.66,1.95
2023-02-16,79.38,26.48,1.16
2023-02-17,76.94,26.52,0.18
2023-02-18,74.41,26.63,0.22
2023-02-19,78.1,26.15,0.19
2023-02-20,79.71,26.53,0.26
2023-02-21,76.82,26.74,0.19
2023-02-22,85.65,26.46,1.61
2023-02-23,87.81,26.0,2.71
2023-02-24,86.72,26.01,2.43
2023-02-25,89.67,25.18,2.34
2023-02-26,87.17,25.03,1.41
2023-02-27,84.21,26.11,0.86
2023-02-28,89.96,25.22,2.25
2023-03-01,82.11,26.13,4.69
2023-03-02,85.08,26.09,16.51
2023-03-03,85.47,26.33,12.24
2023-03-04,86.25,26.02,11.61
2023-03-05,83.52,26.43,3.87
2023-03-06,87.41,25.95,10.99
2023-03-07,86.95,25.74,2.84
2023-03-08,82.77,26.78,1.37
2023-03-09,85.01,26.87,3.93
2023-03-10,86.55,26.37,4.57
2023-03-11,87.31,26.18,4.64
2023-03-12,83.42,25.79,1.18
2023-03-13,80.95,26.0,0.17
2023-03-14,83.17,26.17,1.8
2023-03-15,84.65,26.1,2.46
2023-03-16,83.27,26.4,1.54
2023-03-17,90.1,25.12,10.39
2023-03-18,89.57,24.97,6.28
2023-03-19,85.61,25.23,4.88
2023-03-20,85.55,25.7,4.04
2023-03-21,84.25,26.09,6.73
2023-03-22,86.66,25.72,16.16
2023-03-23,87.69,25.24,9.41
2023-03-24,91.06,24.69,17.07
2023-03-25,86.24,25.61,10.35
2023-03-26,87.39,25.68,10.17
2023-03-27,87.65,25.67,5.36
2023-03-28,88.8,25.36,3.69
2023-03-29,87.15,25.96,1.48
2023-03-30,86.71,26.06,3.38
2023-03-31,81.7,26.17,2.59
2023-04-01,87.56,25.7,0.35
2023-04-02,83.69,26.27,0.5
2023-04-03,84.61,26.29,0.84
2023-04-04,85.07,26.09,0.46
2023-04-05,85.69,25.79,0.26
2023-04-06,83.47,26.34,0.38
2023-04-07,84.77,26.23,1.53
2023-04-08,86.55,26.26,1.4
2023-04-09,88.91,26.03,2.29
2023-04-10,84.23,26.15,0.32
2023-04-11,80.99,27.09,1.59
2023-04-12,85.82,26.57,2.84
2023-04-13,85.24,26.42,1.98
2023-04-14,88.39,25.86,1.89
2023-04-15,88.8,26.09,2.49
2023-04-16,85.62,26.76,8.19
2023-04-17,87.51,26.28,11.9
2023-04-18,87.93,26.34,8.73
2023-04-19,88.63,26.25,10.08
2023-04-20,89.54,25.35,3.03
2023-04-21,86.9,25.7,1.4
2023-04-22,87.34,26.44,2.79
2023-04-23,89.09,26.5,4.24
2023-04-24,90.06,25.97,8.33
2023-04-25,85.41,26.57,1.47
2023-04-26,92.83,25.17,7.9
2023-04-27,84.98,25.91,2.39
2023-04-28,90.07,25.61,4.0
2023-04-29,85.71,26.14,1.06
2023-04-30,86.74,26.03,3.64
2023-05-01,86.33,25.68,1.18
2023-05-02,85.34,25.82,0.17
2023-05-03,80.84,26.41,0.31
2023-05-04,82.92,26.93,0.89
2023-05-05,80.45,27.19,0.31
2023-05-06,86.92,26.04,2.2
2023-05-07,85.55,25.88,1.96
2023-05-08,82.34,26.66,0.74
2023-05-09,85.09,26.63,1.34
2023-05-10,88.89,26.09,4.88
2023-05-11,88.7,25.86,11.06
2023-05-12,88.82,25.88,6.8
2023-05-13,89.17,26.41,15.6
2023-05-14,94.04,25.64,21.65
2023-05-15,91.61,25.25,41.28
2023-05-16,83.58,25.6,20.51
2023-05-17,86.11,26.33,0.63
2023-05-18,91.71,25.7,3.93
2023-05-19,89.36,26.12,2.82
2023-05-20,94.85,24.76,19.58
2023-05-21,89.47,25.39,5.77
2023-05-22,87.12,26.14,4.81
2023-05-23,87.73,26.67,7.72
2023-05-24,89.02,26.54,6.63
2023-05-25,91.75,25.83,12.41
2023-05-26,88.91,26.22,3.54
2023-05-27,91.94,25.84,5.4
2023-05-28,92.25,25.54,4.94
2023-05-29,89.83,26.04,3.63
2023-05-30,92.59,25.92,7.65
2023-05-31,94.26,25.64,17.96
2023-06-01,95.48,25.12,25.27
2023-06-02,93.37,24.65,36.9
2023-06-03,92.45,24.46,16.32
2023-06-04,89.1,25.54,4.92
2023-06-05,92.92,25.11,16.21
2023-06-06,93.74,24.84,38.73
2023-06-07,92.86,24.74,49.0
2023-06-08,91.37,24.61,18.46
2023-06-09,89.91,25.21,15.05
2023-06-10,91.46,25.8,24.88
2023-06-11,93.71,24.26,41.68
2023-06-12,90.03,24.58,3.93
2023-06-13,89.86,24.44,3.25
2023-06-14,89.97,24.43,5.04
2023-06-15,89.14,24.58,1.9
2023-06-16,88.86,25.11,2.81
2023-06-17,89.28,25.24,1.91
2023-06-18,88.21,25.31,1.62
2023-06-19,89.37,25.86,3.83
2023-06-20,91.92,25.19,13.22
2023-06-21,91.05,24.74,7.26
2023-06-22,93.05,24.03,10.97
2023-06-23,91.08,24.72,15.14
2023-06-24,90.65,24.49,13.17
2023-06-25,89.91,24.31,9.42
2023-06-26,90.16,23.99,9.03
2023-06-27,89.57,23.64,3.3
2023-06-28,89.43,23.82,3.2
2023-06-29,89.67,24.49,4.49
2023-06-30,89.27,24.85,1.3
2023-07-01,87.07,25.55,1.38
2023-07-02,90.92,25.01,3.28
2023-07-03,90.35,24.81,2.8
2023-07-04,87.4,25.37,1.65
2023-07-05,90.32,25.45,6.77
2023-07-06,92.6,24.54,22.39
2023-07-07,89.58,24.33,9.55
2023-07-08,89.25,25.01,8.72
2023-07-09,92.7,24.64,9.14
2023-07-10,90.22,24.93,2.8
2023-07-11,92.35,24.52,2.9
2023-07-12,89.72,24.9,2.38
2023-07-13,90.93,24.89,4.64
2023-07-14,89.5,25.09,4.29
2023-07-15,88.07,25.45,1.85
2023-07-16,91.31,25.07,6.71
2023-07-17,92.24,24.86,9.04
2023-07-18,89.7,24.68,3.07
2023-07-19,88.98,25.36,2.51
2023-07-20,90.03,25.03,2.1
2023-07-21,88.61,25.17,1.07
2023-07-22,90.27,24.25,1.58
2023-07-23,89.5,24.03,1.25
2023-07-24,86.92,25.3,0.58
2023-07-25,88.42,25.44,0.73
2023-07-26,87.92,25.65,1.19
2023-07-27,89.27,25.29,2.0
2023-07-28,90.25,24.77,2.87
2023-07-29,90.02,24.82,1.48
2023-07-30,89.16,25.18,5.37
2023-07-31,89.96,25.09,5.0
2023-08-01,90.62,24.95,4.65
2023-08-02,92.19,24.29,5.46
2023-08-03,89.9,24.55,4.58
2023-08-04,88.03,24.49,0.76
2023-08-05,87.98,24.61,0.81
2023-08-06,87.26,24.93,0.68
2023-08-07,88.11,24.96,0.74
2023-08-08,89.42,25.18,1.47
2023-08-09,93.24,23.83,6.52
2023-08-10,92.04,23.15,7.47
2023-08-11,88.46,23.78,1.74
2023-08-12,88.56,24.06,1.88
2023-08-13,90.4,23.49,2.41
2023-08-14,90.94,23.36,2.32
2023-08-15,88.97,23.55,0.92
2023-08-16,84.99,24.88,0.48
2023-08-17,91.32,24.86,8.61
2023-08-18,89.71,24.54,20.36
2023-08-19,87.78,24.87,1.12
2023-08-20,86.38,25.45,0.9
2023-08-21,87.01,25.96,1.92
2023-08-22,88.27,25.37,2.53
2023-08-23,85.58,25.67,1.17
2023-08-24,86.72,25.83,0.33
2023-08-25,86.6,25.98,0.3
2023-08-26,87.72,25.72,0.61
2023-08-27,88.04,25.21,0.89
2023-08-28,86.48,25.27,0.29
2023-08-29,90.86,24.39,3.08
2023-08-30,88.97,24.73,2.35
2023-08-31,89.48,25.27,2.44
2023-09-01,90.5,25.05,1.98
2023-09-02,90.6,24.44,8.69
2023-09-03,90.13,24.53,4.51
2023-09-04,87.06,24.92,1.19
2023-09-05,87.8,24.52,0.97
2023-09-06,86.43,24.87,0.81
2023-09-07,87.37,25.34,1.12
2023-09-08,88.31,25.76,4.36
2023-09-09,93.81,24.18,20.21
2023-09-10,89.55,24.98,11.94
2023-09-11,87.35,25.67,2.8
2023-09-12,90.17,25.77,12.67
2023-09-13,89.83,25.19,3.24
2023-09-14,87.4,25.36,0.5
2023-09-15,86.39,25.62,0.6
2023-09-16,87.03,25.44,0.62
2023-09-17,89.68,25.12,1.15
2023-09-18,90.22,25.13,3.11
2023-09-19,86.54,25.57,0.96
2023-09-20,85.66,26.13,0.98
2023-09-21,89.24,25.87,2.42
2023-09-22,91.79,24.96,3.16
2023-09-23,91.28,25.35,21.58
2023-09-24,93.28,24.45,8.88
2023-09-25,88.6,25.28,2.09
2023-09-26,88.55,25.64,2.05
2023-09-27,87.25,26.06,1.59
2023-09-28,88.83,26.27,4.31
2023-09-29,88.03,26.18,3.04
2023-09-30,88.0,26.25,4.2
2023-10-01,89.73,26.1,5.62
2023-10-02,89.62,25.7,16.67
2023-10-03,90.87,24.59,5.74
2023-10-04,88.6,24.96,2.07
2023-10-05,88.24,25.46,2.06
2023-10-06,89.67,25.48,4.73
2023-10-07,96.56,24.49,25.63
2023-10-08,90.95,25.08,13.21
2023-10-09,90.05,25.15,6.3
2023-10-10,91.61,25.23,13.58
2023-10-11,90.94,25.41,9.52
2023-10-12,87.41,25.54,7.23
2023-10-13,90.03,24.73,7.16
2023-10-14,88.02,25.81,7.74
2023-10-15,89.65,25.74,15.03
2023-10-16,91.19,24.9,9.87
2023-10-17,90.75,24.61,5.94
2023-10-18,89.31,25.48,1.86
2023-10-19,89.87,26.05,3.36
2023-10-20,90.36,25.55,3.7
2023-10-21,89.73,25.58,2.95
2023-10-22,87.39,26.11,3.05
2023-10-23,89.24,25.88,8.29
2023-10-24,88.4,25.3,9.45
2023-10-25,89.74,25.23,1.43
2023-10-26,88.51,25.58,1.47
2023-10-27,88.64,25.95,2.23
2023-10-28,87.8,25.92,0.56
2023-10-29,86.88,26.1,0.68
2023-10-30,87.64,26.43,2.24
2023-10-31,89.72,25.99,2.21
2023-11-01,88.86,25.6,0.7
2023-11-02,90.45,25.25,1.32
2023-11-03,90.32,25.3,3.84
2023-11-04,88.18,25.77,1.91
2023-11-05,87.61,26.18,1.33
2023-11-06,87.86,26.45,2.81
2023-11-07,91.44,25.91,10.68
2023-11-08,91.57,24.92,7.58
2023-11-09,90.4,24.96,9.6
2023-11-10,87.92,25.95,5.79
2023-11-11,88.44,26.05,2.84
2023-11-12,88.54,26.23,5.52
2023-11-13,87.98,26.41,3.68
2023-11-14,88.36,26.55,5.68
2023-11-15,86.52,26.66,3.84
2023-11-16,89.29,26.27,8.68
2023-11-17,87.96,26.26,2.03
2023-11-18,89.07,25.83,2.28
2023-11-19,90.2,25.77,2.68
2023-11-20,89.73,25.71,1.69
2023-11-21,89.91,25.64,1.02
2023-11-22,91.87,25.04,6.89
2023-11-23,89.13,25.31,4.17
2023-11-24,89.72,25.95,7.95
2023-11-25,92.57,25.36,10.24
2023-11-26,92.09,24.98,13.41
2023-11-27,80.96,25.95,3.55
2023-11-28,85.42,25.62,4.63
2023-11-29,88.16,25.68,5.14
2023-11-30,89.2,25.57,4.46
2023-12-01,88.93,25.7,3.77
2023-12-02,90.54,25.49,1.21
2023-12-03,87.19,26.12,0.38
2023-12-04,85.24,26.37,0.51
2023-12-05,83.0,26.35,0.63
2023-12-06,83.64,26.0,0.5
2023-12-07,85.01,25.67,2.57
2023-12-08,85.96,25.87,7.84
2023-12-09,85.27,26.05,1.73
2023-12-10,83.38,26.22,1.83
2023-12-11,86.67,26.18,5.14
2023-12-12,82.88,26.25,0.0
2023-12-13,77.44,24.87,0.0
2023-12-14,72.28,23.54,0.0
2023-12-15,73.61,24.19,0.0
2023-12-16,73.02,24.74,0.0
2023-12-17,73.99,24.55,0.0
2023-12-18,72.76,25.12,0.0
2023-12-19,69.6,24.49,0.0
2023-12-20,66.03,23.42,0.0
2023-12-21,60.56,23.57,0.0
2023-12-22,61.36,24.0,0.0
2023-12-23,62.17,24.61,0.0
2023-12-24,71.64,25.17,0.0
2023-12-25,76.92,25.87,0.0
2023-12-26,72.53,26.14,0.0
2023-12-27,63.35,26.46,0.02
2023-12-28,70.04,26.53,0.1
2023-12-29,68.11,26.48,0.2
2023-12-30,75.7,26.17,0.3
2023-12-31,79.14,26.59,0.22
2024-01-01,78.7,26.65,1.17
2024-01-02,79.76,26.65,1.94
2024-01-03,85.5,25.98,3.11
2024-01-04,81.64,26.52,2.96
2024-01-05,81.97,26.51,1.53
2024-01-06,83.02,26.66,2.2
2024-01-07,87.45,26.11,2.8
2024-01-08,84.67,26.6,4.93
2024-01-09,85.58,26.55,11.29
2024-01-10,86.27,25.78,3.48
2024-01-11,86.08,25.82,1.1
2024-01-12,81.19,26.68,0.63
2024-01-13,77.9,27.01,0.71
2024-01-14,78.37,26.33,0.41
2024-01-15,82.26,26.08,0.56
2024-01-16,78.39,26.69,0.24
2024-01-17,73.94,26.79,0.07
2024-01-18,78.07,26.17,0.13
2024-01-19,76.28,26.61,0.15
2024-01-20,78.01,26.52,0.08
2024-01-21,77.48,27.26,0.06
2024-01-22,76.46,26.89,0.05
2024-01-23,78.98,26.85,0.08
2024-01-24,80.56,27.03,0.13
2024-01-25,79.24,27.39,0.43
2024-01-26,76.42,27.4,0.0
2024-01-27,65.33,27.29,0.0
2024-01-28,55.42,25.75,0.0
2024-01-29,69.96,24.97,0.0
2024-01-30,74.93,25.63,0.0
2024-01-31,78.04,26.09,0.02
2024-02-01,80.14,26.44,0.1
2024-02-02,72.04,27.87,0.09
2024-02-03,77.62,25.96,0.01
2024-02-04,74.55,26.49,0.0
2024-02-05,67.92,25.12,0.0
2024-02-06,64.09,24.96,0.0
2024-02-07,61.74,25.83,0.0
2024-02-08,77.03,25.76,0.0
2024-02-09,77.5,26.82,0.0
2024-02-10,81.56,26.81,0.0
2024-02-11,82.41,26.82,0.0
2024-02-12,82.17,26.92,0.0
2024-02-13,80.57,27.85,0.0
2024-02-14,77.14,28.59,0.0
2024-02-15,77.14,28.46,0.63
2024-02-16,80.03,27.62,0.72
2024-02-17,82.11,26.88,0.54
2024-02-18,78.51,27.51,0.66
2024-02-19,77.81,27.71,0.72
2024-02-20,78.9,27.97,0.9
2024-02-21,84.07,27.01,1.28
2024-02-22,75.63,27.85,0.99
2024-02-23,74.89,27.63,0.55
2024-02-24,70.26,27.64,0.08
2024-02-25,77.97,27.5,0.85
2024-02-26,78.39,27.5,1.31
2024-02-27,80.67,27.05,1.3
2024-02-28,79.55,27.82,2.42
2024-02-29,79.57,28.05,2.18
2024-03-01,89.49,25.71,9.69
2024-03-02,80.61,27.14,5.52
2024-03-03,88.65,25.88,10.38
2024-03-04,77.89,27.06,0.25
2024-03-05,79.99,27.38,3.96
2024-03-06,81.99,27.66,2.74
2024-03-07,86.13,26.78,13.16
2024-03-08,86.29,26.38,2.73
2024-03-09,82.93,27.09,1.83
2024-03-10,80.33,28.2,1.83
2024-03-11,83.18,27.85,4.28
2024-03-12,87.16,27.05,1.46
2024-03-13,82.92,27.32,0.46
2024-03-14,80.82,27.94,0.64
2024-03-15,81.16,27.89,0.44
2024-03-16,76.63,28.76,0.35
2024-03-17,79.72,28.25,5.02
2024-03-18,81.77,28.31,9.28
2024-03-19,84.82,27.63,15.48
2024-03-20,80.85,26.35,7.92
2024-03-21,75.88,27.17,1.56
2024-03-22,92.47,25.58,99.0
2024-03-23,91.12,25.25,15.08
2024-03-24,86.49,25.75,2.65
2024-03-25,87.08,26.64,24.29
2024-03-26,85.68,27.33,10.18
2024-03-27,84.42,27.81,1.07
2024-03-28,85.59,27.85,4.18
2024-03-29,92.89,26.54,17.75
2024-03-30,88.0,27.08,1.45
2024-03-31,87.61,27.08,1.07
2024-04-01,86.52,26.94,0.1
2024-04-02,84.67,27.88,0.47
2024-04-03,91.63,26.41,0.65
2024-04-04,83.86,27.35,0.17
2024-04-05,85.15,27.16,0.87
2024-04-06,88.46,26.82,8.3
2024-04-07,85.25,27.31,6.04
2024-04-08,90.04,26.6,9.26
2024-04-09,90.26,26.33,3.01
2024-04-10,91.09,26.12,12.57
