date,RH2M,T2M,PRECTOT
2023-01-01,13.94,82.37,0.0
2023-01-02,15.42,83.84,0.13
2023-01-03,15.32,84.87,0.04
2023-01-04,15.01,87.14,3.46
2023-01-05,13.65,93.19,12.03
2023-01-06,11.59,91.41,9.68
2023-01-07,13.82,89.01,0.42
2023-01-08,14.7,85.68,0.0
2023-01-09,14.85,78.65,0.0
2023-01-10,15.12,86.37,0.5
2023-01-11,14.55,91.55,0.9
2023-01-12,14.66,87.13,0.11
2023-01-13,15.87,82.3,0.0
2023-01-14,15.51,86.7,0.0
2023-01-15,14.73,88.38,0.31
2023-01-16,15.03,82.51,0.05
2023-01-17,14.59,84.94,0.0
2023-01-18,14.52,87.97,7.72
2023-01-19,13.38,91.01,6.73
2023-01-20,13.27,90.29,6.41
2023-01-21,14.45,84.51,1.82
2023-01-22,14.74,86.61,0.08
2023-01-23,14.85,86.91,0.0
2023-01-24,15.45,83.48,0.0
2023-01-25,15.96,81.99,0.0
2023-01-26,15.72,82.49,0.0
2023-01-27,15.57,83.36,0.0
2023-01-28,15.43,79.52,0.89
2023-01-29,15.22,82.13,0.33
2023-01-30,14.48,87.11,4.55
2023-01-31,14.95,85.64,1.62
2023-02-01,14.38,85.08,0.0
2023-02-02,15.1,85.25,1.07
2023-02-03,14.97,86.84,14.34
2023-02-04,15.16,86.21,2.02
2023-02-05,15.56,84.12,0.0
2023-02-06,15.07,83.81,0.0
2023-02-07,15.94,80.27,0.01
2023-02-08,16.15,79.92,0.0
2023-02-09,15.72,86.58,10.26
2023-02-10,15.63,85.45,2.95
2023-02-11,15.94,83.61,0.11
2023-02-12,15.21,86.76,0.42
2023-02-13,15.9,77.99,0.04
2023-02-14,15.49,84.49,0.0
2023-02-15,15.2,86.21,0.21
2023-02-16,15.68,80.26,0.05
2023-02-17,15.97,77.42,0.01
2023-02-18,15.88,79.47,0.0
2023-02-19,14.26,88.26,1.2
2023-02-20,13.87,90.44,28.96
2023-02-21,13.97,87.92,7.51
2023-02-22,15.07,83.22,0.74
2023-02-23,15.03,87.16,1.84
2023-02-24,15.66,83.56,0.03
2023-02-25,16.2,80.62,0.0
2023-02-26,15.95,84.24,0.01
2023-02-27,15.12,87.76,0.0
2023-02-28,15.52,81.7,0.14
2023-03-01,15.33,84.26,0.31
2023-03-02,15.85,84.77,0.05
2023-03-03,15.28,88.79,32.41
2023-03-04,15.59,85.76,0.7
2023-03-05,15.19,89.59,4.0
2023-03-06,14.95,86.01,0.3
2023-03-07,15.68,81.76,0.0
2023-03-08,16.09,84.77,0.0
2023-03-09,15.26,89.19,0.01
2023-03-10,14.62,93.02,28.89
2023-03-11,14.56,89.77,5.56
2023-03-12,14.93,86.39,0.01
2023-03-13,14.97,87.83,0.01
2023-03-14,15.01,86.42,0.0
2023-03-15,15.11,85.98,1.59
2023-03-16,14.8,88.09,7.08
2023-03-17,14.33,88.64,3.72
2023-03-18,13.95,89.17,0.72
2023-03-19,14.02,87.76,5.81
2023-03-20,14.51,82.5,0.26
2023-03-21,14.08,84.14,0.01
2023-03-22,14.61,79.13,0.0
2023-03-23,14.53,80.22,0.25
2023-03-24,14.45,89.91,0.25
2023-03-25,13.51,89.03,1.28
2023-03-26,14.63,80.32,0.14
2023-03-27,13.66,91.97,0.74
2023-03-28,14.77,81.18,0.09
2023-03-29,14.87,86.85,0.04
2023-03-30,14.61,89.87,8.39
2023-03-31,13.46,90.88,9.06
2023-04-01,13.4,87.71,0.44
2023-04-02,14.41,86.43,0.11
2023-04-03,15.12,86.66,0.0
2023-04-04,15.63,82.51,0.0
2023-04-05,15.08,83.96,0.0
2023-04-06,14.48,86.86,0.0
2023-04-07,13.4,81.98,0.08
2023-04-08,13.2,87.47,0.26
2023-04-09,14.24,85.45,0.03
2023-04-10,14.81,81.87,0.0
2023-04-11,15.41,81.77,0.0
2023-04-12,16.11,80.81,0.0
2023-04-13,16.08,83.81,0.0
2023-04-14,16.26,79.28,0.0
2023-04-15,15.72,87.92,12.48
2023-04-16,15.85,86.98,1.33
2023-04-17,15.08,84.51,0.05
2023-04-18,16.34,74.89,0.03
2023-04-19,16.09,83.97,0.57
2023-04-20,15.76,85.06,0.06
2023-04-21,14.73,85.57,0.44
2023-04-22,16.03,78.2,0.01
2023-04-23,15.87,84.19,0.0
2023-04-24,15.29,85.65,0.0
2023-04-25,14.58,87.65,0.02
2023-04-26,14.41,85.49,0.01
2023-04-27,15.17,84.36,0.0
2023-04-28,15.36,85.97,0.0
2023-04-29,15.42,83.47,0.0
2023-04-30,16.42,78.24,0.0
2023-05-01,16.58,77.03,0.0
2023-05-02,16.45,75.87,0.0
2023-05-03,16.54,77.83,0.0
2023-05-04,16.73,78.96,0.0
2023-05-05,16.23,80.37,0.0
2023-05-06,16.21,81.7,0.01
2023-05-07,15.41,84.98,0.01
2023-05-08,13.04,83.02,0.68
2023-05-09,13.82,75.46,0.12
2023-05-10,15.06,67.56,0.0
2023-05-11,15.44,71.31,0.0
2023-05-12,14.99,82.26,0.0
2023-05-13,14.88,80.39,0.0
2023-05-14,16.27,76.53,0.0
2023-05-15,16.38,75.5,0.0
2023-05-16,16.74,68.0,0.0
2023-05-17,16.82,72.79,0.0
2023-05-18,17.43,74.82,0.0
2023-05-19,16.63,83.36,0.49
2023-05-20,16.79,78.48,0.39
2023-05-21,15.56,77.33,0.01
2023-05-22,16.21,83.17,0.01
2023-05-23,16.04,79.95,0.0
2023-05-24,14.1,75.78,0.0
2023-05-25,15.52,78.37,0.0
2023-05-26,15.35,86.0,9.96
2023-05-27,15.03,87.76,2.73
2023-05-28,15.5,84.05,0.1
2023-05-29,16.14,76.43,0.09
2023-05-30,16.01,78.48,0.11
2023-05-31,15.02,79.94,0.07
2023-06-01,14.94,63.15,0.0
2023-06-02,14.97,62.63,0.0
2023-06-03,15.43,71.18,0.0
2023-06-04,15.36,77.17,0.03
2023-06-05,15.7,72.67,0.01
2023-06-06,15.28,81.2,0.0
2023-06-07,14.67,84.2,15.81
2023-06-08,15.23,79.48,0.42
2023-06-09,15.91,78.43,0.02
2023-06-10,15.89,78.94,0.0
2023-06-11,15.53,75.84,0.0
2023-06-12,15.7,80.18,0.15
2023-06-13,14.88,80.53,0.09
2023-06-14,13.04,88.45,2.94
2023-06-15,13.34,79.52,0.11
2023-06-16,13.83,73.08,0.0
2023-06-17,13.06,76.12,2.27
2023-06-18,13.54,77.26,0.78
2023-06-19,14.32,73.99,0.0
2023-06-20,15.09,59.86,0.0
2023-06-21,15.14,61.94,0.0
2023-06-22,16.03,71.41,0.0
2023-06-23,15.76,77.64,0.0
2023-06-24,16.1,72.21,0.0
2023-06-25,15.85,67.17,0.0
2023-06-26,15.55,65.48,0.0
2023-06-27,16.0,70.83,0.0
2023-06-28,15.25,79.15,8.21
2023-06-29,14.32,83.03,7.1
2023-06-30,14.3,84.36,0.0
2023-07-01,14.99,78.15,0.0
2023-07-02,15.2,68.71,0.0
2023-07-03,15.48,64.55,0.0
2023-07-04,16.21,71.03,0.0
2023-07-05,16.27,66.45,0.01
2023-07-06,16.4,65.93,0.0
2023-07-07,15.75,73.73,0.0
2023-07-08,16.14,77.4,0.52
2023-07-09,15.7,79.84,0.14
2023-07-10,16.13,72.75,0.0
2023-07-11,16.57,70.69,0.0
2023-07-12,16.6,68.13,0.0
2023-07-13,16.97,69.26,0.0
2023-07-14,16.73,70.49,0.0
2023-07-15,16.0,81.32,0.23
2023-07-16,15.69,78.64,0.05
2023-07-17,15.83,73.84,0.0
2023-07-18,15.89,74.03,0.01
2023-07-19,15.27,79.71,0.01
2023-07-20,15.03,81.8,0.0
2023-07-21,15.82,73.35,0.0
2023-07-22,16.15,73.66,0.0
2023-07-23,16.33,67.56,0.0
2023-07-24,15.9,61.93,0.0
2023-07-25,16.39,64.97,0.0
2023-07-26,16.41,70.95,0.0
2023-07-27,15.62,74.12,0.0
2023-07-28,15.8,73.72,0.0
2023-07-29,15.02,75.98,0.3
2023-07-30,15.17,75.17,0.15
2023-07-31,15.1,65.15,0.0
2023-08-01,15.19,61.28,0.0
2023-08-02,15.39,62.3,0.0
2023-08-03,16.14,60.68,0.0
2023-08-04,15.65,66.43,0.0
2023-08-05,15.36,73.59,0.0
2023-08-06,16.02,72.0,0.0
2023-08-07,16.85,65.43,0.0
2023-08-08,16.62,65.33,0.0
2023-08-09,16.79,70.31,0.0
2023-08-10,17.01,69.57,0.0
2023-08-11,16.32,73.99,3.71
2023-08-12,14.93,82.35,2.29
2023-08-13,14.53,74.68,0.01
2023-08-14,13.89,69.83,0.17
2023-08-15,15.11,70.95,0.0
2023-08-16,16.35,69.07,0.0
2023-08-17,16.35,75.35,0.0
2023-08-18,17.21,70.48,0.0
2023-08-19,17.76,59.87,0.0
2023-08-20,18.39,54.01,0.0
2023-08-21,18.44,56.4,0.0
2023-08-22,17.92,66.98,0.01
2023-08-23,17.42,67.93,0.0
2023-08-24,18.07,64.96,0.0
2023-08-25,17.54,71.09,0.0
2023-08-26,17.16,74.11,0.0
2023-08-27,17.48,67.76,0.0
2023-08-28,17.33,68.5,0.0
2023-08-29,17.67,68.52,0.0
2023-08-30,18.07,66.53,0.0
2023-08-31,17.9,66.58,0.0
2023-09-01,17.81,64.86,0.0
2023-09-02,17.74,66.21,0.0
2023-09-03,16.62,65.56,0.0
2023-09-04,16.55,71.04,0.07
2023-09-05,16.92,69.43,0.01
2023-09-06,16.3,69.94,0.0
2023-09-07,16.61,57.83,0.0
2023-09-08,17.96,59.42,0.0
2023-09-09,17.88,60.42,0.0
2023-09-10,17.26,67.76,0.0
2023-09-11,18.14,64.89,0.0
2023-09-12,17.54,66.31,0.0
2023-09-13,17.3,64.83,0.07
2023-09-14,16.04,79.48,8.23
2023-09-15,16.33,77.16,1.41
2023-09-16,17.07,71.23,0.0
2023-09-17,17.17,67.59,0.0
2023-09-18,17.65,67.84,0.0
2023-09-19,15.89,67.0,0.04
2023-09-20,16.78,69.23,0.02
2023-09-21,17.24,68.31,0.0
2023-09-22,17.9,67.27,0.0
