date,RH2M,T2M,PRECTOT
2023-01-01,53.56,22.44,0.0
2023-01-02,53.21,22.69,0.0
2023-01-03,54.7,22.5,0.0
2023-01-04,52.32,23.72,0.0
2023-01-05,56.39,24.4,0.0
2023-01-06,66.13,24.57,0.0
2023-01-07,64.84,25.71,0.0
2023-01-08,60.87,25.73,0.0
2023-01-09,57.1,25.09,0.01
2023-01-10,62.3,24.73,0.02
2023-01-11,64.91,25.81,0.03
2023-01-12,53.61,25.84,0.03
2023-01-13,54.82,25.99,0.01
2023-01-14,55.04,25.23,0.0
2023-01-15,64.36,25.73,0.01
2023-01-16,59.26,27.13,0.0
2023-01-17,50.66,27.16,0.0
2023-01-18,52.97,26.34,0.0
2023-01-19,64.32,26.23,0.0
2023-01-20,65.99,26.42,0.0
2023-01-21,71.16,27.23,0.16
2023-01-22,74.0,27.27,1.12
2023-01-23,76.95,26.79,1.79
2023-01-24,77.88,26.52,0.87
2023-01-25,80.52,25.81,1.2
2023-01-26,78.47,26.33,0.31
2023-01-27,72.4,27.2,0.56
2023-01-28,69.59,27.57,0.52
2023-01-29,70.99,26.9,0.71
2023-01-30,66.78,27.82,0.26
2023-01-31,61.35,28.02,0.46
2023-02-01,59.26,28.33,0.18
2023-02-02,71.54,27.55,0.54
2023-02-03,66.23,28.52,0.97
2023-02-04,68.27,27.86,3.68
2023-02-05,82.99,25.53,2.65
2023-02-06,68.39,26.24,0.04
2023-02-07,72.67,27.04,0.37
2023-02-08,72.52,27.48,0.46
2023-02-09,68.19,28.39,0.2
2023-02-10,64.91,29.34,0.17
2023-02-11,62.1,30.01,0.12
2023-02-12,63.02,29.77,0.45
2023-02-13,63.46,29.84,0.69
2023-02-14,60.87,29.85,0.39
2023-02-15,57.35,29.59,0.15
2023-02-16,50.22,29.57,0.2
2023-02-17,43.31,28.78,0.01
2023-02-18,39.15,28.26,0.02
2023-02-19,43.37,28.2,0.0
2023-02-20,49.03,28.49,0.01
2023-02-21,36.25,29.21,0.0
2023-02-22,62.27,28.59,0.21
2023-02-23,68.12,28.89,0.71
2023-02-24,66.81,29.33,1.11
2023-02-25,74.94,27.52,2.97
2023-02-26,71.69,27.8,2.6
2023-02-27,67.43,28.54,1.17
2023-02-28,72.61,27.73,1.59
2023-03-01,72.3,27.63,5.76
2023-03-02,68.45,28.57,8.42
2023-03-03,72.03,28.7,5.18
2023-03-04,73.16,28.31,10.43
2023-03-05,74.96,28.1,6.07
2023-03-06,74.93,28.16,5.72
2023-03-07,77.36,27.52,2.03
2023-03-08,70.64,28.77,0.73
2023-03-09,73.98,28.67,7.33
2023-03-10,73.74,28.59,3.83
2023-03-11,79.71,27.31,7.76
2023-03-12,67.44,28.32,0.54
2023-03-13,64.11,28.66,0.15
2023-03-14,67.18,28.94,0.63
2023-03-15,68.76,28.74,0.98
2023-03-16,66.11,29.23,0.93
2023-03-17,78.05,27.33,22.71
2023-03-18,81.05,26.46,17.08
2023-03-19,77.73,26.9,9.29
2023-03-20,79.91,26.74,4.59
2023-03-21,77.35,27.57,15.48
2023-03-22,83.87,26.37,14.78
2023-03-23,84.1,25.69,6.75
2023-03-24,81.17,26.06,7.21
2023-03-25,79.85,26.91,8.82
2023-03-26,80.42,27.1,4.05
2023-03-27,80.85,26.98,13.21
2023-03-28,84.07,26.42,14.82
2023-03-29,87.55,25.89,0.9
2023-03-30,83.09,26.54,3.51
2023-03-31,81.09,26.7,2.43
2023-04-01,82.1,26.78,1.42
2023-04-02,79.36,26.98,1.26
2023-04-03,81.2,27.07,3.63
2023-04-04,80.23,27.08,1.81
2023-04-05,79.43,27.16,1.35
2023-04-06,77.46,27.7,1.57
2023-04-07,81.41,27.24,5.02
2023-04-08,80.13,27.42,2.44
2023-04-09,83.77,26.95,2.33
2023-04-10,80.26,26.71,1.18
2023-04-11,75.13,27.73,0.63
2023-04-12,79.64,27.47,1.31
2023-04-13,77.72,27.68,2.33
2023-04-14,83.04,27.22,2.41
2023-04-15,83.19,27.02,2.24
2023-04-16,80.62,27.51,5.68
