date,RH2M,T2M,PRECTOT
2023-01-01,24.91,63.98,0.0
2023-01-02,25.98,64.23,0.0
2023-01-03,25.5,65.04,0.01
2023-01-04,25.72,65.12,0.01
2023-01-05,25.8,73.52,0.01
2023-01-06,26.44,81.9,0.25
2023-01-07,26.87,83.11,0.68
2023-01-08,26.86,82.64,0.49
2023-01-09,26.44,85.76,0.35
2023-01-10,26.18,86.35,0.62
2023-01-11,26.83,82.66,0.61
2023-01-12,26.68,82.16,1.12
2023-01-13,27.22,79.46,0.52
2023-01-14,26.7,79.78,0.39
2023-01-15,26.17,83.68,0.69
2023-01-16,27.16,77.11,0.05
2023-01-17,27.39,77.48,0.14
2023-01-18,27.06,81.88,0.2
2023-01-19,27.22,81.79,0.17
2023-01-20,26.87,83.87,0.2
2023-01-21,26.6,86.01,2.54
2023-01-22,26.93,84.08,2.91
2023-01-23,26.49,87.19,3.06
2023-01-24,26.4,87.48,1.99
2023-01-25,26.67,83.36,2.18
2023-01-26,26.14,86.96,1.06
2023-01-27,27.2,78.18,1.27
2023-01-28,26.49,83.5,2.16
2023-01-29,26.34,79.67,1.49
2023-01-30,26.44,81.1,0.45
2023-01-31,26.48,80.68,4.47
2023-02-01,27.3,81.31,0.91
2023-02-02,27.16,84.13,4.29
2023-02-03,27.33,80.81,2.8
2023-02-04,27.29,82.89,8.02
2023-02-05,26.41,82.56,3.85
2023-02-06,26.3,82.99,0.17
2023-02-07,26.63,80.77,0.58
2023-02-08,26.45,84.9,0.72
2023-02-09,27.09,83.49,0.96
2023-02-10,27.86,79.84,0.71
2023-02-11,28.17,78.9,0.25
2023-02-12,27.93,82.61,0.94
2023-02-13,27.53,84.9,1.44
2023-02-14,28.06,79.56,0.75
2023-02-15,27.81,80.35,0.39
2023-02-16,28.42,72.41,0.12
2023-02-17,27.93,71.77,0.08
2023-02-18,27.95,73.47,0.07
2023-02-19,28.43,75.12,0.03
2023-02-20,28.42,76.82,0.08
2023-02-21,28.53,77.77,0.13
2023-02-22,28.55,79.21,0.43
2023-02-23,27.92,80.2,0.48
2023-02-24,28.15,78.65,0.31
2023-02-25,27.23,82.2,4.0
2023-02-26,27.18,81.34,4.83
2023-02-27,27.43,81.7,4.28
2023-02-28,27.18,84.58,2.66
2023-03-01,27.55,81.01,5.32
2023-03-02,27.46,84.85,7.72
2023-03-03,27.56,84.62,8.23
2023-03-04,27.11,86.78,5.12
2023-03-05,27.33,82.03,4.84
2023-03-06,27.13,86.93,6.89
2023-03-07,26.62,84.93,16.32
2023-03-08,27.48,82.82,2.78
