date,RH2M,T2M,PRECTOT
2023-01-01,26.91,75.75,0.01
2023-01-02,25.92,83.86,0.03
2023-01-03,27.08,78.25,0.05
2023-01-04,26.36,78.38,0.02
2023-01-05,26.51,84.34,0.16
2023-01-06,26.49,84.75,0.32
2023-01-07,27.24,81.04,0.29
2023-01-08,27.31,78.5,0.16
2023-01-09,27.26,77.71,0.23
2023-01-10,26.75,76.74,0.15
2023-01-11,26.85,79.23,0.25
2023-01-12,26.24,79.86,0.2
2023-01-13,26.91,77.99,0.07
2023-01-14,25.97,74.2,0.15
2023-01-15,26.36,81.04,0.44
2023-01-16,26.81,81.6,0.16
2023-01-17,26.55,83.47,0.2
2023-01-18,27.01,81.65,0.14
2023-01-19,26.87,81.95,0.21
2023-01-20,26.92,82.32,0.16
2023-01-21,26.78,83.06,0.01
2023-01-22,26.85,83.98,0.0
2023-01-23,27.58,79.98,0.0
2023-01-24,27.67,79.88,0.0
2023-01-25,26.97,85.1,0.0
2023-01-26,27.15,83.25,0.68
2023-01-27,26.18,89.12,0.96
2023-01-28,26.28,88.89,1.07
2023-01-29,27.15,81.82,1.21
2023-01-30,26.63,86.8,1.69
2023-01-31,26.32,88.63,0.92
2023-02-01,26.36,87.48,0.52
2023-02-02,26.89,84.93,0.3
2023-02-03,26.81,84.17,0.14
2023-02-04,27.55,81.85,0.43
2023-02-05,26.42,88.45,3.72
2023-02-06,26.45,87.32,3.85
2023-02-07,27.02,84.1,4.23
2023-02-08,27.76,79.31,1.52
2023-02-09,28.01,80.2,2.97
2023-02-10,28.04,79.7,0.11
2023-02-11,28.12,77.97,0.01
2023-02-12,27.78,76.83,0.01
2023-02-13,27.18,80.91,0.02
2023-02-14,26.77,83.08,0.02
2023-02-15,26.87,79.53,0.0
2023-02-16,26.54,80.12,0.0
2023-02-17,26.42,69.79,0.0
2023-02-18,25.85,72.81,0.0
2023-02-19,26.25,72.08,0.0
2023-02-20,27.52,80.16,0.02
2023-02-21,27.49,81.8,0.04
2023-02-22,27.23,85.74,0.16
2023-02-23,27.17,85.46,0.15
2023-02-24,27.42,83.44,0.11
2023-02-25,27.55,84.83,7.03
2023-02-26,27.84,81.7,4.24
2023-02-27,27.68,83.81,4.36
2023-02-28,26.43,90.27,3.42
2023-03-01,27.55,82.55,2.66
2023-03-02,26.43,90.47,3.04
2023-03-03,26.89,86.49,3.48
2023-03-04,26.72,87.13,5.38
2023-03-05,27.66,85.82,6.38
2023-03-06,26.82,92.57,11.56
2023-03-07,26.6,89.88,8.14
2023-03-08,26.42,91.05,8.49
2023-03-09,26.27,91.22,11.49
2023-03-10,26.03,90.11,10.03
2023-03-11,26.85,79.78,6.22
2023-03-12,27.68,75.91,0.5
2023-03-13,27.04,80.49,1.31
2023-03-14,26.45,85.29,2.3
2023-03-15,26.51,88.28,2.38
2023-03-16,25.87,84.07,1.79
2023-03-17,27.07,78.75,0.12
2023-03-18,26.1,86.36,0.92
2023-03-19,25.65,83.6,2.05
2023-03-20,26.46,80.87,0.2
2023-03-21,26.24,86.82,2.9
2023-03-22,26.74,81.82,1.14
2023-03-23,26.89,84.48,1.77
2023-03-24,25.19,93.05,10.28
2023-03-25,26.18,85.76,4.35
2023-03-26,24.81,93.67,9.49
2023-03-27,26.37,84.94,3.95
2023-03-28,27.28,81.03,20.05
2023-03-29,25.85,90.33,2.88
2023-03-30,27.67,81.28,2.84
2023-03-31,25.32,95.2,7.01
2023-04-01,26.29,86.92,1.9
2023-04-02,26.93,84.94,5.05
2023-04-03,27.01,87.34,14.11
2023-04-04,27.15,86.08,19.47
2023-04-05,26.48,90.3,1.27
2023-04-06,26.77,90.92,5.83
2023-04-07,27.22,87.61,3.54
2023-04-08,27.34,87.8,5.21
2023-04-09,26.24,93.06,56.19
2023-04-10,26.91,86.88,1.9
2023-04-11,26.0,90.41,8.19
2023-04-12,27.38,82.22,0.36
2023-04-13,28.02,83.66,1.63
2023-04-14,27.4,88.19,3.21
2023-04-15,27.39,86.28,1.59
2023-04-16,28.28,83.68,7.06
2023-04-17,26.62,90.2,9.83
2023-04-18,28.09,81.33,7.67
2023-04-19,28.14,83.76,17.72
2023-04-20,28.21,84.48,6.76
2023-04-21,26.96,91.21,5.96
2023-04-22,26.64,90.47,3.76
2023-04-23,26.62,88.33,1.62
2023-04-24,27.33,83.49,0.75
2023-04-25,26.49,89.74,2.27
2023-04-26,26.74,88.03,1.94
2023-04-27,25.63,92.44,2.98
2023-04-28,26.86,85.6,3.28
2023-04-29,25.18,94.7,7.72
2023-04-30,25.75,88.54,3.07
2023-05-01,25.8,89.72,10.85
2023-05-02,25.76,90.87,6.89
2023-05-03,26.72,83.88,3.23
2023-05-04,27.63,80.93,3.22
2023-05-05,26.96,87.1,6.65
2023-05-06,26.47,88.67,13.7
2023-05-07,27.47,84.68,3.5
2023-05-08,28.1,81.98,1.13
2023-05-09,27.09,89.37,2.73
2023-05-10,26.68,90.58,2.35
