date,RH2M,T2M,PRECTOT
2023-01-01,73.34,21.58,6.08
2023-01-02,73.26,22.0,7.08
2023-01-03,80.58,21.64,4.2
2023-01-04,74.31,22.57,0.41
2023-01-05,74.64,22.13,0.32
2023-01-06,75.02,22.0,0.32
2023-01-07,76.53,22.06,1.88
2023-01-08,73.44,22.43,1.89
2023-01-09,78.9,21.52,14.89
2023-01-10,84.02,21.15,8.46
2023-01-11,83.34,21.56,4.69
2023-01-12,80.02,21.4,3.45
2023-01-13,78.47,21.75,1.58
2023-01-14,85.82,20.91,2.24
2023-01-15,80.23,21.89,4.28
2023-01-16,80.1,21.58,0.68
2023-01-17,74.24,22.23,0.73
2023-01-18,71.75,22.75,1.44
2023-01-19,82.29,21.48,3.58
2023-01-20,73.99,21.83,1.82
2023-01-21,78.6,21.81,8.75
2023-01-22,78.55,22.01,4.78
2023-01-23,77.84,22.76,0.96
2023-01-24,77.83,22.74,3.32
2023-01-25,79.43,22.55,24.15
2023-01-26,79.76,22.65,10.23
2023-01-27,83.03,22.59,3.47
2023-01-28,81.11,23.01,0.48
2023-01-29,76.34,23.08,2.86
2023-01-30,78.52,22.75,2.7
2023-01-31,82.98,22.2,1.86
2023-02-01,83.9,22.08,3.37
2023-02-02,80.89,22.83,5.02
2023-02-03,81.32,22.74,4.93
2023-02-04,81.53,22.71,2.3
2023-02-05,80.67,22.61,0.53
2023-02-06,81.21,22.78,0.77
2023-02-07,80.98,23.07,1.68
2023-02-08,81.25,22.96,1.93
2023-02-09,81.89,23.11,9.64
2023-02-10,82.99,23.35,6.44
2023-02-11,83.56,23.31,3.24
2023-02-12,87.27,22.32,9.51
2023-02-13,85.06,22.6,8.5
2023-02-14,88.1,21.67,3.18
2023-02-15,84.92,22.51,4.14
2023-02-16,88.49,21.76,20.85
2023-02-17,87.12,22.34,15.73
2023-02-18,87.64,22.71,3.36
2023-02-19,83.92,22.48,4.22
2023-02-20,85.71,21.99,8.05
2023-02-21,88.26,21.52,26.46
