date,RH2M,T2M,PRECTOT
2023-01-01,70.83,25.67,0.19
2023-01-02,75.8,25.08,0.95
2023-01-03,76.62,24.75,0.25
2023-01-04,74.73,25.19,0.05
2023-01-05,73.68,25.22,0.01
2023-01-06,75.19,25.03,0.02
2023-01-07,73.74,25.19,0.02
2023-01-08,71.86,25.22,0.04
2023-01-09,72.03,25.46,1.46
2023-01-10,76.59,25.14,3.97
2023-01-11,76.89,25.27,0.6
2023-01-12,72.05,25.36,0.28
2023-01-13,74.8,25.04,0.2
2023-01-14,75.44,25.53,0.57
2023-01-15,72.66,25.9,1.17
2023-01-16,74.46,25.63,0.11
2023-01-17,73.39,25.62,0.14
2023-01-18,70.86,26.39,0.15
2023-01-19,75.56,26.23,0.75
2023-01-20,68.1,26.54,0.2
2023-01-21,73.44,26.1,0.78
2023-01-22,74.72,25.91,0.95
2023-01-23,76.17,26.03,0.09
2023-01-24,77.17,25.9,0.49
2023-01-25,73.53,26.38,4.17
2023-01-26,76.73,26.41,7.56
2023-01-27,79.56,26.08,7.57
2023-01-28,79.44,26.1,3.17
2023-01-29,80.43,25.52,10.14
2023-01-30,75.98,26.24,1.11
2023-01-31,80.67,25.73,0.53
2023-02-01,80.33,25.86,2.13
2023-02-02,78.3,26.03,1.79
2023-02-03,78.81,26.02,3.25
2023-02-04,79.86,25.76,2.78
2023-02-05,82.05,25.64,0.65
2023-02-06,80.34,26.01,1.23
2023-02-07,79.61,26.05,1.09
2023-02-08,78.95,26.36,0.79
2023-02-09,78.87,26.73,4.53
2023-02-10,81.73,26.41,6.86
2023-02-11,83.3,26.17,8.44
2023-02-12,85.99,25.47,8.14
2023-02-13,83.0,25.7,15.0
2023-02-14,81.63,25.59,6.18
2023-02-15,81.43,25.91,6.99
2023-02-16,79.52,25.76,10.9
2023-02-17,80.45,26.32,4.81
2023-02-18,81.84,26.56,3.4
2023-02-19,81.99,26.29,3.64
2023-02-20,87.6,25.24,13.17
2023-02-21,84.97,25.93,7.28
2023-02-22,82.59,25.71,6.92
2023-02-23,82.55,25.51,13.37
2023-02-24,83.22,25.5,8.11
2023-02-25,81.32,25.74,3.68
2023-02-26,78.97,25.97,5.26
2023-02-27,80.35,25.92,5.86
2023-02-28,85.14,25.46,5.43
2023-03-01,83.38,25.9,6.25
2023-03-02,82.14,26.27,1.71
2023-03-03,84.21,26.32,6.15
2023-03-04,85.34,25.84,5.07
2023-03-05,88.15,25.44,9.2
2023-03-06,91.56,24.88,13.29
2023-03-07,92.88,25.07,20.21
2023-03-08,89.99,25.14,41.26
2023-03-09,91.54,24.62,7.68
2023-03-10,86.4,24.86,2.58
2023-03-11,85.83,25.5,2.55
2023-03-12,83.37,25.78,6.76
2023-03-13,85.11,25.42,3.28
2023-03-14,85.67,25.17,13.53
2023-03-15,84.92,26.01,3.0
2023-03-16,84.97,25.81,2.57
2023-03-17,88.18,25.07,3.35
2023-03-18,84.81,25.89,1.52
2023-03-19,84.65,26.17,0.59
2023-03-20,83.61,26.27,0.45
2023-03-21,86.4,26.31,8.44
2023-03-22,86.53,26.41,18.94
2023-03-23,86.52,26.25,32.69
2023-03-24,85.31,25.81,20.24
2023-03-25,80.07,26.52,4.84
2023-03-26,79.64,26.85,5.71
2023-03-27,83.21,26.28,17.8
2023-03-28,79.11,26.31,2.17
2023-03-29,75.95,27.03,4.38
2023-03-30,82.21,26.39,4.59
2023-03-31,90.19,25.48,31.75
2023-04-01,84.82,26.24,4.43
2023-04-02,84.34,26.13,5.36
2023-04-03,78.32,26.69,6.43
2023-04-04,83.8,26.34,36.72
2023-04-05,81.92,26.95,6.44
2023-04-06,91.07,25.84,8.12
2023-04-07,89.12,25.53,2.57
2023-04-08,83.67,26.16,1.26
2023-04-09,85.55,25.98,1.17
2023-04-10,84.4,25.98,1.04
2023-04-11,83.67,26.26,2.33
2023-04-12,81.01,26.27,5.44
2023-04-13,82.34,26.6,1.62
2023-04-14,84.91,26.09,5.43
2023-04-15,84.93,26.15,10.43
2023-04-16,93.17,25.38,33.82
2023-04-17,85.04,26.13,11.27
2023-04-18,83.98,26.66,1.29
2023-04-19,85.37,26.81,2.11
2023-04-20,83.83,26.36,8.59
2023-04-21,81.89,25.74,7.75
2023-04-22,82.09,25.87,1.95
2023-04-23,82.93,25.94,6.21
2023-04-24,86.27,26.0,0.65
2023-04-25,85.28,26.28,1.09
2023-04-26,84.13,26.46,3.03
2023-04-27,87.58,26.24,8.68
2023-04-28,85.33,26.69,8.41
2023-04-29,89.02,25.9,11.2
2023-04-30,84.73,26.19,7.88
