date,RH2M,T2M,PRECTOT
2023-01-01,63.14,21.06,0.0
2023-01-02,59.96,21.42,0.0
2023-01-03,63.92,20.76,0.0
2023-01-04,64.75,21.05,0.0
2023-01-05,64.91,22.05,0.0
2023-01-06,66.63,22.95,0.0
2023-01-07,69.39,24.12,0.0
2023-01-08,70.59,23.92,0.0
2023-01-09,71.42,22.56,0.0
2023-01-10,71.64,23.02,0.0
2023-01-11,72.0,23.39,0.0
2023-01-12,75.4,21.54,0.0
2023-01-13,63.69,22.91,0.0
2023-01-14,69.06,22.65,0.0
2023-01-15,69.51,23.26,0.0
2023-01-16,64.34,23.77,0.0
2023-01-17,66.52,23.25,0.0
2023-01-18,66.61,23.7,0.0
2023-01-19,74.98,23.77,0.01
2023-01-20,79.91,23.84,0.01
2023-01-21,81.55,24.82,0.29
2023-01-22,85.14,24.63,0.65
2023-01-23,87.61,24.55,1.55
2023-01-24,84.74,24.95,1.33
2023-01-25,87.32,24.26,1.09
2023-01-26,84.62,25.24,0.53
2023-01-27,82.81,25.12,0.77
2023-01-28,81.94,25.07,0.36
2023-01-29,83.99,24.38,0.64
2023-01-30,78.41,25.15,0.15
2023-01-31,79.03,24.92,2.03
2023-02-01,75.88,25.53,0.14
2023-02-02,79.7,25.36,0.61
2023-02-03,80.21,25.21,0.42
2023-02-04,80.62,25.41,1.69
2023-02-05,88.25,23.81,7.16
2023-02-06,84.05,24.25,0.45
2023-02-07,87.59,24.37,4.87
2023-02-08,84.72,25.1,5.16
2023-02-09,85.02,25.4,2.94
2023-02-10,80.92,26.27,1.09
2023-02-11,79.75,26.34,0.45
2023-02-12,84.79,25.42,1.65
2023-02-13,83.8,25.92,1.04
2023-02-14,81.81,25.99,1.37
2023-02-15,76.66,26.19,0.62
2023-02-16,75.89,25.64,0.26
2023-02-17,64.81,25.86,0.02
2023-02-18,62.4,25.31,0.02
2023-02-19,63.48,25.18,0.01
2023-02-20,69.16,25.31,0.17
2023-02-21,65.43,25.4,0.11
2023-02-22,81.01,24.87,1.01
2023-02-23,86.67,25.21,3.48
2023-02-24,88.03,24.96,5.3
2023-02-25,85.57,25.27,0.81
2023-02-26,87.24,24.62,0.66
2023-02-27,83.05,25.64,0.55
2023-02-28,87.65,25.08,1.37
2023-03-01,84.06,25.25,1.54
2023-03-02,78.83,26.21,3.71
2023-03-03,82.8,25.98,3.91
2023-03-04,83.54,25.91,6.56
2023-03-05,85.02,25.81,5.17
2023-03-06,84.01,25.91,6.55
2023-03-07,85.24,25.81,1.93
2023-03-08,81.99,26.1,0.56
2023-03-09,81.29,26.41,0.79
2023-03-10,84.71,25.82,1.97
2023-03-11,85.98,25.48,2.46
2023-03-12,81.04,25.67,0.66
2023-03-13,78.71,25.9,0.2
2023-03-14,82.11,25.79,2.34
2023-03-15,83.37,25.57,2.63
2023-03-16,84.37,25.28,2.12
2023-03-17,86.59,24.86,2.64
2023-03-18,87.12,24.04,1.53
2023-03-19,83.6,24.34,1.27
2023-03-20,82.57,25.19,1.11
2023-03-21,82.84,25.58,2.77
2023-03-22,85.2,25.03,21.26
2023-03-23,85.68,25.02,26.05
2023-03-24,87.29,25.03,74.24
2023-03-25,85.24,25.55,8.78
2023-03-26,84.09,25.76,1.72
2023-03-27,85.06,25.85,2.54
2023-03-28,86.52,25.6,1.95
2023-03-29,86.64,25.77,1.67
2023-03-30,80.96,26.26,2.01
2023-03-31,78.99,25.91,0.79
2023-04-01,85.22,25.31,0.79
2023-04-02,82.45,26.15,1.26
2023-04-03,81.86,26.08,3.36
2023-04-04,85.24,25.65,0.87
2023-04-05,85.32,25.68,1.19
2023-04-06,82.77,25.89,0.43
2023-04-07,83.67,25.81,1.0
2023-04-08,86.06,25.52,1.21
2023-04-09,88.67,25.34,1.81
2023-04-10,83.05,25.65,1.02
2023-04-11,79.59,26.56,1.05
2023-04-12,81.98,26.49,0.65
2023-04-13,83.95,26.3,2.4
2023-04-14,83.84,26.18,1.38
2023-04-15,89.79,25.68,3.45
2023-04-16,85.81,26.15,2.51
2023-04-17,85.64,26.11,5.46
