date,RH2M,T2M,PRECTOT
2023-01-01,23.37,66.04,0.0
2023-01-02,24.26,68.13,0.0
2023-01-03,23.87,69.58,0.0
2023-01-04,24.33,72.17,0.0
2023-01-05,24.52,78.09,0.0
2023-01-06,25.18,84.05,0.0
2023-01-07,25.46,79.12,0.0
2023-01-08,24.97,75.85,0.0
2023-01-09,23.36,75.7,0.0
2023-01-10,23.4,73.26,0.0
2023-01-11,23.74,72.76,0.0
2023-01-12,23.61,74.11,0.0
2023-01-13,24.5,77.79,0.0
2023-01-14,24.62,78.51,0.0
2023-01-15,25.11,82.79,0.0
2023-01-16,24.69,75.66,0.0
2023-01-17,24.13,67.79,0.0
2023-01-18,24.91,73.89,0.0
2023-01-19,25.9,83.66,0.0
2023-01-20,26.21,86.39,0.0
2023-01-21,26.48,86.99,0.16
2023-01-22,26.04,88.96,0.21
2023-01-23,25.97,89.05,0.15
2023-01-24,26.44,85.4,0.13
2023-01-25,26.6,85.32,0.2
2023-01-26,26.18,88.37,0.25
2023-01-27,25.71,91.58,0.44
2023-01-28,25.57,93.56,0.68
2023-01-29,25.38,89.72,0.33
2023-01-30,25.26,91.56,0.83
2023-01-31,25.79,86.93,0.0
2023-02-01,26.32,83.19,0.0
2023-02-02,26.72,85.7,0.02
2023-02-03,26.83,85.14,0.02
2023-02-04,26.28,89.28,0.02
2023-02-05,26.04,90.68,0.12
2023-02-06,26.1,89.21,0.12
2023-02-07,25.99,84.38,0.04
2023-02-08,26.62,83.71,0.04
2023-02-09,26.89,84.92,0.06
2023-02-10,27.43,83.77,0.0
2023-02-11,27.6,83.89,0.0
2023-02-12,27.54,83.87,0.0
2023-02-13,26.87,81.92,0.0
2023-02-14,26.55,84.14,0.0
2023-02-15,26.24,82.33,0.0
2023-02-16,24.79,69.71,0.0
2023-02-17,23.81,71.14,0.0
2023-02-18,24.76,67.55,0.0
2023-02-19,24.45,70.13,0.0
2023-02-20,25.24,75.02,0.01
2023-02-21,25.74,80.79,0.22
2023-02-22,26.7,86.58,0.72
2023-02-23,26.95,86.91,1.62
2023-02-24,26.63,89.73,1.51
2023-02-25,26.73,85.52,3.77
2023-02-26,26.84,85.86,5.36
2023-02-27,26.68,88.29,3.73
2023-02-28,26.7,89.08,5.36
2023-03-01,26.59,88.71,1.9
2023-03-02,26.3,91.39,2.81
2023-03-03,26.53,88.92,4.12
2023-03-04,26.88,87.17,3.38
2023-03-05,26.89,86.87,1.97
2023-03-06,26.79,88.99,1.85
2023-03-07,27.06,86.28,2.57
2023-03-08,27.08,87.9,2.51
2023-03-09,26.67,88.89,4.1
2023-03-10,26.21,88.33,0.61
2023-03-11,26.28,89.83,1.24
2023-03-12,26.21,88.66,1.1
2023-03-13,26.58,87.25,0.94
2023-03-14,26.77,85.49,1.12
2023-03-15,26.5,87.07,1.57
2023-03-16,26.07,89.32,3.18
2023-03-17,26.54,83.7,3.68
2023-03-18,25.53,90.84,17.51
2023-03-19,26.07,86.0,1.38
2023-03-20,26.78,83.47,1.59
2023-03-21,26.2,88.1,10.5
2023-03-22,25.77,87.31,4.07
2023-03-23,26.63,83.21,2.2
2023-03-24,25.9,89.75,10.06
2023-03-25,26.06,88.08,0.66
2023-03-26,26.21,87.99,5.78
2023-03-27,26.1,88.56,7.58
2023-03-28,26.78,83.63,0.03
2023-03-29,26.7,88.14,0.74
2023-03-30,27.48,86.42,1.71
2023-03-31,27.29,84.3,2.07
2023-04-01,26.77,84.46,0.02
2023-04-02,26.69,87.4,0.05
2023-04-03,26.53,88.18,0.12
2023-04-04,26.52,88.1,0.02
2023-04-05,26.84,87.31,0.03
2023-04-06,26.84,88.96,14.76
2023-04-07,26.66,90.0,36.38
2023-04-08,26.23,92.54,29.77
2023-04-09,26.11,91.37,6.54
2023-04-10,26.96,87.05,6.96
2023-04-11,26.21,91.62,6.29
2023-04-12,26.68,87.51,2.43
2023-04-13,26.66,90.39,8.29
2023-04-14,26.75,89.83,2.66
2023-04-15,26.74,92.84,8.11
2023-04-16,26.87,88.38,4.28
2023-04-17,26.99,87.23,2.17
2023-04-18,27.41,87.19,4.28
2023-04-19,27.14,88.39,5.55
2023-04-20,26.95,88.25,3.25
2023-04-21,26.12,93.14,2.65
2023-04-22,26.25,92.71,4.64
2023-04-23,26.55,93.72,11.25
2023-04-24,27.05,86.21,2.99
2023-04-25,26.89,86.72,3.26
2023-04-26,26.15,91.39,3.69
2023-04-27,25.6,92.71,13.49
2023-04-28,26.07,87.89,0.65
2023-04-29,25.79,91.16,14.06
2023-04-30,25.58,89.09,12.8
2023-05-01,26.16,87.99,4.83
2023-05-02,26.36,89.19,5.31
2023-05-03,26.41,83.08,7.6
2023-05-04,26.23,88.92,6.21
2023-05-05,26.85,85.15,2.96
2023-05-06,26.51,86.43,1.53
2023-05-07,26.63,87.91,2.19
2023-05-08,26.73,87.42,0.68
2023-05-09,26.33,90.71,1.91
2023-05-10,26.93,90.37,2.49
2023-05-11,26.89,91.11,4.88
2023-05-12,27.03,90.3,7.17
2023-05-13,27.28,89.57,2.79
2023-05-14,26.91,92.02,10.3
2023-05-15,26.99,91.75,9.56
2023-05-16,26.87,90.79,3.34
2023-05-17,26.68,91.6,2.26
2023-05-18,26.64,91.05,3.37
2023-05-19,27.22,88.5,1.68
2023-05-20,27.0,90.62,2.43
2023-05-21,26.5,90.85,4.71
2023-05-22,27.2,85.85,2.68
2023-05-23,26.91,91.08,2.94
2023-05-24,27.03,90.88,2.43
2023-05-25,26.71,92.27,3.16
2023-05-26,26.95,89.59,2.5
2023-05-27,26.04,93.56,4.61
2023-05-28,26.15,92.19,5.5
2023-05-29,27.12,88.66,4.79
2023-05-30,26.42,91.56,4.33
2023-05-31,26.81,91.8,3.6
2023-06-01,26.65,93.24,6.49
2023-06-02,26.27,91.73,11.09
2023-06-03,26.14,90.24,4.24
2023-06-04,26.23,87.86,2.54
2023-06-05,26.27,91.15,8.91
2023-06-06,25.29,95.47,15.87
2023-06-07,25.26,93.28,38.09
2023-06-08,25.2,92.05,10.39
2023-06-09,25.83,89.02,4.98
2023-06-10,25.67,92.59,27.07
2023-06-11,25.0,95.11,77.28
2023-06-12,25.1,90.95,14.62
2023-06-13,25.27,89.88,0.8
2023-06-14,25.83,91.14,26.23
2023-06-15,24.69,95.24,28.56
2023-06-16,25.69,88.91,7.94
2023-06-17,26.29,90.0,10.75
2023-06-18,26.42,91.09,13.59
2023-06-19,26.14,92.01,19.38
2023-06-20,25.47,93.43,17.43
2023-06-21,25.09,90.19,3.59
2023-06-22,25.11,90.53,2.6
2023-06-23,25.35,91.71,21.71
2023-06-24,24.81,92.46,23.05
2023-06-25,25.21,89.5,3.84
2023-06-26,25.12,89.16,3.72
2023-06-27,25.04,90.53,8.52
2023-06-28,24.55,93.32,10.42
2023-06-29,25.02,92.16,6.26
2023-06-30,25.66,89.77,5.71
2023-07-01,26.08,89.84,5.6
2023-07-02,25.44,92.21,12.02
2023-07-03,25.87,89.66,8.02
2023-07-04,25.32,92.39,9.9
2023-07-05,25.59,90.11,5.65
2023-07-06,26.14,88.62,3.36
2023-07-07,25.78,92.14,10.54
2023-07-08,25.51,93.0,14.35
2023-07-09,24.81,92.96,3.6
2023-07-10,25.63,88.73,0.39
2023-07-11,25.8,89.86,4.17
2023-07-12,25.1,95.58,40.07
2023-07-13,25.89,90.66,3.1
2023-07-14,26.26,88.99,2.69
2023-07-15,26.81,87.68,3.46
2023-07-16,26.5,89.48,4.43
2023-07-17,25.24,92.93,6.32
2023-07-18,25.65,92.64,3.65
2023-07-19,26.05,90.96,2.79
2023-07-20,25.84,92.88,9.56
2023-07-21,25.93,91.93,14.05
2023-07-22,25.73,91.52,38.5
2023-07-23,25.4,92.15,11.16
2023-07-24,24.99,92.86,15.83
2023-07-25,25.54,89.12,1.55
2023-07-26,25.76,89.92,3.06
2023-07-27,26.03,90.35,4.66
2023-07-28,25.3,93.38,7.79
2023-07-29,25.27,92.48,18.69
2023-07-30,25.28,92.09,19.16
2023-07-31,25.64,92.42,15.01
2023-08-01,24.79,94.18,13.87
2023-08-02,24.37,94.45,7.72
2023-08-03,25.05,90.05,4.33
2023-08-04,25.44,89.69,1.16
2023-08-05,25.71,89.44,1.09
2023-08-06,25.07,91.65,0.96
2023-08-07,25.27,91.17,1.58
2023-08-08,25.33,90.35,2.52
2023-08-09,25.31,90.7,5.11
2023-08-10,25.12,90.14,2.36
2023-08-11,24.94,90.04,0.91
2023-08-12,25.46,90.26,2.99
2023-08-13,24.89,91.98,5.81
2023-08-14,25.11,91.43,8.84
2023-08-15,25.54,87.35,1.22
2023-08-16,26.44,86.39,4.05
2023-08-17,26.29,90.76,7.31
2023-08-18,25.42,92.67,9.56
2023-08-19,25.25,91.24,11.28
2023-08-20,25.72,89.47,1.51
2023-08-21,26.14,88.81,1.2
2023-08-22,25.76,90.89,1.83
2023-08-23,25.23,92.51,3.63
2023-08-24,25.15,89.65,10.92
2023-08-25,25.74,88.48,6.1
2023-08-26,25.65,91.94,6.39
2023-08-27,25.11,93.71,10.03
2023-08-28,24.83,92.0,20.01
2023-08-29,25.48,90.63,5.15
2023-08-30,25.06,93.52,24.71
2023-08-31,25.66,91.48,4.6
2023-09-01,25.57,91.66,17.0
2023-09-02,24.87,94.44,40.66
2023-09-03,24.66,91.7,3.62
2023-09-04,24.99,91.92,10.68
2023-09-05,25.26,91.82,23.17
2023-09-06,25.79,89.3,6.22
2023-09-07,26.41,89.5,9.95
2023-09-08,25.33,94.69,21.24
2023-09-09,25.3,93.83,28.57
2023-09-10,25.07,93.65,10.58
2023-09-11,25.91,91.25,10.03
2023-09-12,25.64,93.48,18.47
2023-09-13,24.77,95.83,7.04
2023-09-14,26.04,89.54,2.36
2023-09-15,25.53,94.06,12.55
2023-09-16,25.23,93.73,9.55
2023-09-17,25.56,92.7,5.5
2023-09-18,25.58,92.05,17.85
2023-09-19,26.2,88.65,7.25
2023-09-20,26.23,90.04,7.64
2023-09-21,26.23,91.91,14.05
2023-09-22,25.44,94.55,15.86
2023-09-23,25.03,92.17,11.28
2023-09-24,25.39,90.37,4.85
2023-09-25,26.15,89.06,1.68
2023-09-26,26.78,88.79,4.16
2023-09-27,26.63,91.13,4.04
2023-09-28,26.19,93.11,11.87
2023-09-29,25.81,92.73,13.72
2023-09-30,26.23,89.92,4.84
2023-10-01,26.36,90.98,8.2
