date,RH2M,T2M,PRECTOT
2023-01-01,67.38,22.58,0.0
2023-01-02,68.07,22.86,0.0
2023-01-03,69.39,22.67,0.0
2023-01-04,69.74,23.6,0.0
2023-01-05,70.54,24.37,0.04
2023-01-06,72.48,24.39,0.0
2023-01-07,69.15,24.29,0.0
2023-01-08,64.71,24.01,0.0
2023-01-09,65.91,22.27,0.0
2023-01-10,61.44,22.31,0.0
2023-01-11,61.87,22.03,0.0
2023-01-12,62.72,22.37,0.0
2023-01-13,66.38,22.62,0.0
2023-01-14,63.83,22.97,0.0
2023-01-15,70.06,23.47,0.01
2023-01-16,66.15,23.52,0.0
2023-01-17,66.75,23.39,0.0
2023-01-18,68.0,23.9,0.0
2023-01-19,79.18,24.35,0.0
2023-01-20,84.09,25.41,0.01
2023-01-21,84.18,26.04,0.53
2023-01-22,83.97,25.95,0.68
2023-01-23,85.41,25.74,0.35
2023-01-24,83.75,26.06,0.46
2023-01-25,83.97,26.41,1.35
2023-01-26,88.9,25.65,0.23
2023-01-27,90.82,25.31,0.47
2023-01-28,91.84,25.08,0.62
2023-01-29,90.73,24.6,0.46
2023-01-30,90.36,24.89,1.38
2023-01-31,89.51,24.87,0.0
2023-02-01,85.91,25.68,0.01
2023-02-02,85.68,26.1,0.01
2023-02-03,83.31,26.64,0.0
2023-02-04,87.24,26.06,0.01
2023-02-05,90.15,25.63,12.89
2023-02-06,88.96,25.62,9.65
2023-02-07,84.11,25.77,12.31
2023-02-08,81.29,25.9,9.78
2023-02-09,84.59,26.17,9.18
2023-02-10,80.97,26.9,0.01
2023-02-11,80.64,26.9,0.01
2023-02-12,72.93,26.14,0.0
2023-02-13,64.05,24.41,0.0
2023-02-14,69.45,24.1,0.0
2023-02-15,69.82,23.5,0.0
2023-02-16,65.95,22.09,0.0
2023-02-17,65.89,22.31,0.0
2023-02-18,60.58,23.89,0.0
2023-02-19,60.81,23.91,0.0
2023-02-20,58.72,24.48,0.0
2023-02-21,70.3,24.13,0.14
2023-02-22,85.38,25.73,2.51
2023-02-23,86.65,26.34,5.05
2023-02-24,91.37,25.91,8.24
2023-02-25,89.47,26.13,4.6
2023-02-26,87.32,26.32,3.12
2023-02-27,90.29,25.98,2.39
2023-02-28,89.2,25.92,3.35
2023-03-01,89.93,25.88,1.32
2023-03-02,92.16,25.48,2.11
2023-03-03,90.83,25.6,2.33
2023-03-04,89.2,25.93,3.06
2023-03-05,89.32,26.03,2.4
2023-03-06,90.91,25.8,2.09
2023-03-07,89.71,26.0,4.5
2023-03-08,89.34,26.45,9.0
2023-03-09,91.43,26.0,7.81
2023-03-10,87.79,26.33,1.97
2023-03-11,91.15,25.37,2.14
2023-03-12,90.35,25.52,1.77
2023-03-13,89.14,25.79,2.09
2023-03-14,89.99,25.49,3.03
2023-03-15,89.57,25.43,3.41
2023-03-16,91.81,24.93,5.1
2023-03-17,85.61,25.59,4.14
2023-03-18,92.91,24.8,16.51
2023-03-19,88.08,24.73,0.55
2023-03-20,85.93,25.94,2.76
2023-03-21,90.61,25.16,13.56
2023-03-22,88.6,24.75,2.59
2023-03-23,86.27,25.74,5.23
2023-03-24,92.03,24.8,11.59
2023-03-25,87.37,25.67,0.92
2023-03-26,87.52,25.72,3.32
2023-03-27,88.59,25.59,8.25
2023-03-28,85.38,26.31,0.17
2023-03-29,88.96,26.23,2.21
2023-03-30,86.88,26.86,3.94
2023-03-31,87.77,26.36,3.88
2023-04-01,89.15,25.62,0.02
2023-04-02,89.88,25.58,0.01
2023-04-03,90.67,25.58,0.04
2023-04-04,89.45,25.88,0.01
2023-04-05,87.87,26.24,0.01
2023-04-06,89.72,26.42,17.65
2023-04-07,90.89,26.0,6.61
2023-04-08,92.67,25.63,13.3
