date,RH2M,T2M,PRECTOT
2023-01-01,22.6,65.36,0.0
2023-01-02,23.23,66.89,0.0
2023-01-03,22.78,68.93,0.0
2023-01-04,23.68,69.96,0.0
2023-01-05,23.88,74.11,0.0
2023-01-06,24.41,73.65,0.0
2023-01-07,24.02,70.92,0.0
2023-01-08,23.75,65.87,0.0
2023-01-09,21.99,66.29,0.0
2023-01-10,21.95,63.45,0.0
2023-01-11,22.23,60.8,0.0
2023-01-12,22.45,64.41,0.0
2023-01-13,23.2,68.19,0.0
2023-01-14,23.27,64.67,0.0
2023-01-15,23.5,72.35,0.01
2023-01-16,23.28,65.88,0.0
2023-01-17,23.46,61.63,0.0
2023-01-18,23.97,67.32,0.0
2023-01-19,24.79,75.55,0.0
2023-01-20,25.27,79.76,0.01
2023-01-21,25.68,82.35,0.17
2023-01-22,25.54,83.16,0.25
2023-01-23,25.58,84.17,0.23
2023-01-24,26.09,80.78,0.11
2023-01-25,26.46,77.74,0.32
2023-01-26,25.71,84.38,0.17
2023-01-27,25.11,89.47,0.38
2023-01-28,24.95,90.77,0.59
2023-01-29,24.53,88.05,0.3
2023-01-30,25.18,85.81,0.7
2023-01-31,24.64,84.88,0.0
2023-02-01,25.49,78.13,0.01
2023-02-02,26.43,81.95,0.02
2023-02-03,26.68,79.58,0.01
2023-02-04,25.69,85.79,0.01
2023-02-05,25.36,88.73,17.34
2023-02-06,25.41,87.86,14.04
2023-02-07,25.0,84.77,10.85
2023-02-08,25.55,81.25,9.85
2023-02-09,26.03,82.87,19.47
2023-02-10,26.59,81.05,0.01
2023-02-11,26.73,80.42,0.01
2023-02-12,26.06,74.82,0.0
2023-02-13,24.53,65.19,0.0
2023-02-14,24.58,72.1,0.0
2023-02-15,23.78,72.66,0.0
2023-02-16,23.03,61.52,0.0
2023-02-17,22.82,62.53,0.0
2023-02-18,24.16,61.05,0.0
2023-02-19,23.56,63.87,0.0
2023-02-20,24.64,62.68,0.0
2023-02-21,24.62,66.21,0.05
2023-02-22,25.68,83.32,1.01
2023-02-23,26.46,83.11,1.66
2023-02-24,26.15,87.53,2.19
2023-02-25,26.3,84.47,6.87
2023-02-26,26.71,82.62,7.33
2023-02-27,26.25,85.81,5.57
2023-02-28,25.96,87.02,7.42
2023-03-01,25.75,88.03,2.65
2023-03-02,25.47,90.34,1.31
2023-03-03,25.74,86.93,1.93
2023-03-04,26.4,84.35,2.27
2023-03-05,26.61,84.34,1.25
2023-03-06,26.03,88.22,1.48
2023-03-07,26.21,86.46,3.83
2023-03-08,26.46,87.55,5.83
2023-03-09,25.83,89.3,6.04
2023-03-10,25.56,87.84,1.24
2023-03-11,25.4,89.5,1.46
2023-03-12,25.42,88.53,0.8
2023-03-13,26.03,84.02,0.73
2023-03-14,26.01,84.42,1.09
2023-03-15,25.71,85.99,1.47
2023-03-16,25.75,85.66,2.56
2023-03-17,25.73,83.61,3.52
2023-03-18,24.77,90.23,13.05
2023-03-19,24.97,86.29,0.87
2023-03-20,25.71,84.47,1.59
2023-03-21,25.18,88.04,9.69
2023-03-22,25.28,85.46,3.15
2023-03-23,25.93,82.77,5.86
2023-03-24,25.21,88.75,12.03
2023-03-25,25.66,86.56,0.52
2023-03-26,25.75,86.67,4.45
2023-03-27,25.37,89.14,27.98
2023-03-28,26.04,83.43,0.11
2023-03-29,25.87,86.14,1.84
2023-03-30,26.61,86.21,5.37
2023-03-31,26.26,85.85,5.74
2023-04-01,26.04,84.24,0.04
2023-04-02,25.47,88.64,0.11
