date,RH2M,T2M,PRECTOT
2023-01-01,24.73,67.56,0.33
2023-01-02,24.4,66.81,19.81
2023-01-03,23.9,72.64,5.42
2023-01-04,24.96,61.57,0.08
2023-01-05,23.88,70.29,0.42
2023-01-06,21.57,86.02,7.06
2023-01-07,22.53,79.36,2.26
2023-01-08,24.28,67.53,0.33
2023-01-09,24.52,68.49,0.09
2023-01-10,24.34,67.74,0.69
2023-01-11,23.42,74.72,1.94
2023-01-12,24.54,66.62,0.47
2023-01-13,25.65,59.19,0.0
2023-01-14,25.57,61.62,0.0
2023-01-15,22.71,80.07,10.92
2023-01-16,23.55,71.63,3.94
2023-01-17,24.38,65.07,0.0
2023-01-18,22.23,81.04,6.01
2023-01-19,20.41,93.09,14.69
2023-01-20,20.36,89.1,28.23
2023-01-21,21.62,83.65,3.83
2023-01-22,22.7,78.07,0.87
2023-01-23,22.18,80.57,1.77
2023-01-24,22.15,78.08,0.07
2023-01-25,24.03,67.89,0.02
2023-01-26,24.65,65.71,0.31
2023-01-27,24.42,70.55,8.69
2023-01-28,23.84,69.03,1.01
2023-01-29,24.98,63.36,0.0
2023-01-30,24.54,65.36,0.06
2023-01-31,24.9,62.72,0.02
2023-02-01,23.99,68.0,0.0
2023-02-02,24.06,63.26,0.01
2023-02-03,24.23,60.17,0.74
2023-02-04,23.96,69.0,1.12
2023-02-05,24.16,66.85,0.0
2023-02-06,24.0,66.43,0.53
2023-02-07,23.29,73.46,3.58
2023-02-08,24.73,68.7,0.49
2023-02-09,25.44,66.34,0.58
2023-02-10,25.08,68.57,1.37
2023-02-11,24.45,72.51,2.79
2023-02-12,23.65,75.31,1.59
2023-02-13,24.14,74.28,4.09
2023-02-14,22.92,80.36,1.23
2023-02-15,22.65,81.37,6.28
2023-02-16,24.46,70.69,0.13
2023-02-17,25.61,64.12,0.46
2023-02-18,25.45,65.2,0.07
2023-02-19,22.9,77.19,2.07
2023-02-20,21.9,85.75,3.86
2023-02-21,21.72,88.93,4.03
2023-02-22,23.0,76.21,2.57
2023-02-23,23.75,68.63,0.86
2023-02-24,25.47,56.15,0.04
2023-02-25,25.59,61.05,0.33
2023-02-26,24.8,68.02,2.63
2023-02-27,23.45,78.49,1.58
2023-02-28,21.81,87.74,22.2
2023-03-01,22.01,84.33,6.92
2023-03-02,23.65,75.22,0.08
2023-03-03,24.18,73.47,0.01
2023-03-04,23.58,76.56,1.23
2023-03-05,22.65,82.89,5.23
2023-03-06,21.91,84.77,6.25
2023-03-07,23.71,71.64,0.08
2023-03-08,25.09,68.02,0.09
2023-03-09,23.94,77.04,1.43
2023-03-10,21.69,89.48,16.88
2023-03-11,21.47,90.73,8.46
2023-03-12,21.72,88.29,1.33
2023-03-13,22.07,85.29,1.91
2023-03-14,21.57,86.04,4.24
2023-03-15,22.55,82.45,18.12
2023-03-16,22.81,80.45,1.56
2023-03-17,22.82,79.28,1.28
2023-03-18,21.84,87.78,14.43
2023-03-19,22.2,84.39,2.11
2023-03-20,23.15,76.95,0.03
2023-03-21,23.19,75.32,0.46
2023-03-22,23.49,75.38,0.17
2023-03-23,23.25,79.16,0.13
2023-03-24,21.42,93.99,13.92
2023-03-25,20.84,92.22,12.15
2023-03-26,21.99,85.54,1.91
2023-03-27,21.14,89.2,11.65
2023-03-28,21.49,83.3,1.61
2023-03-29,22.48,80.21,2.18
2023-03-30,22.82,86.07,7.48
2023-03-31,21.4,90.59,4.58
2023-04-01,20.36,88.03,25.94
2023-04-02,21.3,86.84,4.12
2023-04-03,21.33,88.44,3.66
2023-04-04,22.35,83.07,0.26
2023-04-05,22.78,80.03,0.01
2023-04-06,22.97,79.9,0.1
2023-04-07,22.4,82.43,3.26
2023-04-08,19.94,95.74,26.23
2023-04-09,21.26,85.55,0.3
2023-04-10,21.72,85.25,0.01
2023-04-11,22.37,82.38,0.37
2023-04-12,23.0,80.98,0.39
2023-04-13,22.46,82.92,0.89
2023-04-14,23.55,77.6,0.14
2023-04-15,23.93,77.06,0.55
