date,RH2M,T2M,PRECTOT
2023-01-01,79.4,23.58,0.06
2023-01-02,81.33,23.76,0.11
2023-01-03,80.5,23.3,0.06
2023-01-04,77.25,23.41,0.05
2023-01-05,85.04,23.09,0.2
2023-01-06,84.8,23.72,0.48
2023-01-07,81.66,24.24,0.41
2023-01-08,83.56,23.62,0.49
2023-01-09,83.52,23.13,0.13
2023-01-10,77.83,23.03,0.04
2023-01-11,82.78,22.89,0.02
2023-01-12,83.12,22.22,0.01
2023-01-13,83.74,22.5,0.0
2023-01-14,75.39,22.74,0.0
2023-01-15,79.08,23.17,0.01
2023-01-16,80.85,23.48,0.08
2023-01-17,80.96,23.49,0.09
2023-01-18,80.73,23.95,0.21
2023-01-19,81.49,23.87,0.19
2023-01-20,83.24,23.74,0.18
2023-01-21,84.93,23.64,0.07
2023-01-22,82.45,24.0,0.04
2023-01-23,79.62,24.16,0.04
2023-01-24,77.76,24.31,0.08
2023-01-25,80.04,24.52,0.11
2023-01-26,84.25,23.99,0.6
2023-01-27,88.43,23.31,0.75
2023-01-28,87.2,23.49,1.1
2023-01-29,87.68,23.28,0.72
2023-01-30,82.86,24.05,1.23
2023-01-31,84.26,24.3,0.76
2023-02-01,86.75,24.0,1.73
2023-02-02,89.89,23.48,1.84
2023-02-03,84.57,24.22,0.63
2023-02-04,84.83,24.43,1.55
2023-02-05,88.01,23.64,1.47
2023-02-06,84.22,24.13,0.85
2023-02-07,85.37,23.71,0.73
2023-02-08,83.94,24.09,0.25
2023-02-09,82.81,24.71,1.14
2023-02-10,83.15,24.51,0.29
2023-02-11,82.43,24.74,0.08
2023-02-12,83.42,24.94,0.08
2023-02-13,84.61,24.85,0.14
2023-02-14,84.89,24.27,0.07
2023-02-15,82.32,23.65,0.01
2023-02-16,82.98,23.83,0.0
2023-02-17,79.18,23.11,0.0
2023-02-18,76.68,22.28,0.0
2023-02-19,70.51,23.74,0.0
2023-02-20,83.65,24.18,0.12
2023-02-21,85.02,24.85,0.18
2023-02-22,84.14,25.04,0.22
2023-02-23,84.23,24.59,0.21
2023-02-24,83.97,24.68,0.16
2023-02-25,84.72,24.7,1.8
2023-02-26,87.57,24.31,1.52
2023-02-27,85.19,24.7,1.55
2023-02-28,90.92,23.84,3.86
2023-03-01,85.65,24.35,1.37
2023-03-02,90.38,23.65,3.76
2023-03-03,87.86,23.98,4.81
2023-03-04,88.58,24.09,5.7
2023-03-05,87.66,24.92,6.79
2023-03-06,94.61,23.71,8.75
2023-03-07,90.6,23.97,5.14
2023-03-08,87.66,24.45,3.25
2023-03-09,93.17,23.46,4.75
2023-03-10,91.44,22.89,3.84
2023-03-11,93.31,21.96,10.45
2023-03-12,84.36,23.4,0.71
2023-03-13,87.45,23.05,1.24
2023-03-14,88.06,23.29,1.61
2023-03-15,88.52,23.12,1.55
2023-03-16,90.21,22.24,3.66
2023-03-17,83.43,22.85,0.7
2023-03-18,87.46,22.83,2.88
2023-03-19,88.58,22.6,7.6
2023-03-20,84.92,23.39,1.45
2023-03-21,86.68,23.46,6.74
2023-03-22,90.96,22.96,3.21
2023-03-23,91.65,23.04,5.28
2023-03-24,89.61,23.26,8.91
2023-03-25,89.03,23.35,11.22
2023-03-26,93.39,22.32,33.32
2023-03-27,88.24,23.39,2.4
2023-03-28,90.36,23.62,5.93
2023-03-29,90.71,23.05,8.78
2023-03-30,89.62,23.35,4.86
2023-03-31,93.48,22.94,12.57
2023-04-01,90.41,23.66,3.73
2023-04-02,93.31,23.32,6.82
2023-04-03,94.72,23.01,13.17
2023-04-04,89.71,23.31,1.51
2023-04-05,87.9,24.31,3.47
2023-04-06,93.59,23.7,3.64
2023-04-07,90.53,24.15,1.79
2023-04-08,94.49,23.6,23.97
2023-04-09,92.86,23.6,6.42
2023-04-10,90.43,23.87,2.23
2023-04-11,95.33,22.98,16.24
2023-04-12,87.21,23.9,1.08
2023-04-13,90.82,24.11,4.36
2023-04-14,93.75,23.56,21.61
2023-04-15,87.73,24.37,1.74
2023-04-16,90.64,24.09,5.24
2023-04-17,91.36,23.79,5.45
2023-04-18,90.76,23.92,7.25
2023-04-19,93.22,23.88,7.14
2023-04-20,91.77,24.22,5.58
2023-04-21,93.83,24.06,6.49
2023-04-22,93.69,23.25,3.08
2023-04-23,90.02,23.82,1.33
2023-04-24,88.17,24.32,1.43
2023-04-25,95.7,23.03,6.53
2023-04-26,91.7,23.6,3.68
2023-04-27,94.63,22.71,5.44
2023-04-28,92.52,22.84,2.42
2023-04-29,93.35,22.47,2.28
2023-04-30,89.56,22.66,3.04
2023-05-01,91.95,22.82,9.01
2023-05-02,94.72,22.6,12.81
2023-05-03,90.8,23.04,2.02
2023-05-04,87.74,22.81,1.45
2023-05-05,88.74,23.08,3.23
2023-05-06,93.7,23.17,2.94
2023-05-07,94.36,22.93,3.05
2023-05-08,87.16,24.07,2.65
2023-05-09,90.77,24.1,1.09
2023-05-10,91.3,23.96,1.6
2023-05-11,88.51,24.38,0.66
2023-05-12,91.08,24.33,0.66
2023-05-13,92.22,24.32,0.42
2023-05-14,90.55,24.44,0.37
2023-05-15,89.53,25.03,1.01
2023-05-16,92.97,23.99,4.34
2023-05-17,92.85,24.17,4.16
2023-05-18,90.55,24.27,4.06
2023-05-19,88.64,24.53,4.51
2023-05-20,96.59,23.64,9.19
2023-05-21,91.92,23.98,1.1
2023-05-22,89.15,24.66,0.87
2023-05-23,90.38,24.64,2.48
2023-05-24,87.28,24.98,0.71
2023-05-25,94.39,23.81,1.84
2023-05-26,92.59,24.07,3.25
2023-05-27,93.19,23.91,5.91
2023-05-28,96.66,22.69,13.15
2023-05-29,90.48,23.69,2.45
2023-05-30,90.76,23.9,3.12
2023-05-31,92.48,23.58,7.26
2023-06-01,89.22,23.86,2.56
2023-06-02,92.29,23.65,3.55
2023-06-03,94.98,23.26,6.89
