date,RH2M,T2M,PRECTOT
2023-01-01,24.35,71.04,0.01
2023-01-02,23.87,77.21,0.03
2023-01-03,24.33,73.45,0.06
2023-01-04,24.05,74.41,0.08
2023-01-05,23.89,81.44,0.98
2023-01-06,23.8,82.11,0.18
2023-01-07,24.32,72.92,0.0
2023-01-08,24.55,73.16,0.02
2023-01-09,24.21,73.17,0.01
2023-01-10,23.52,71.5,0.04
2023-01-11,24.27,75.74,1.17
2023-01-12,23.74,75.8,0.55
2023-01-13,24.28,73.43,0.04
2023-01-14,23.86,74.28,0.52
2023-01-15,24.05,76.63,1.46
2023-01-16,24.25,76.65,0.04
2023-01-17,24.31,73.87,0.04
2023-01-18,24.71,78.28,0.11
2023-01-19,24.48,78.43,0.11
2023-01-20,24.51,79.07,0.17
2023-01-21,24.68,79.9,0.02
2023-01-22,25.08,76.68,0.01
2023-01-23,25.09,75.32,0.0
2023-01-24,25.66,71.64,0.01
2023-01-25,24.83,80.44,0.02
2023-01-26,25.22,77.45,0.83
2023-01-27,24.62,82.73,1.37
2023-01-28,23.89,88.18,1.27
2023-01-29,24.31,82.84,1.32
2023-01-30,24.15,86.42,1.2
2023-01-31,23.61,89.98,0.08
2023-02-01,23.79,87.06,0.02
2023-02-02,25.08,78.24,0.01
2023-02-03,25.76,73.65,0.0
2023-02-04,25.04,80.08,0.01
2023-02-05,24.78,81.11,4.63
2023-02-06,24.93,81.07,6.26
2023-02-07,25.41,77.95,6.4
2023-02-08,25.02,79.99,4.54
2023-02-09,25.4,78.3,3.44
2023-02-10,25.79,74.7,0.23
2023-02-11,25.56,70.28,0.01
2023-02-12,25.66,72.31,0.01
2023-02-13,25.38,68.99,0.01
2023-02-14,24.69,71.08,0.01
2023-02-15,25.11,68.82,0.0
2023-02-16,25.22,67.21,0.0
2023-02-17,25.87,62.81,0.0
2023-02-18,25.59,56.52,0.0
2023-02-19,25.73,63.43,0.0
2023-02-20,26.17,68.67,0.0
2023-02-21,26.34,68.23,0.1
2023-02-22,25.78,78.31,0.71
2023-02-23,25.2,80.69,0.45
2023-02-24,25.91,77.51,0.24
2023-02-25,25.73,79.89,6.56
2023-02-26,26.49,74.44,3.37
2023-02-27,25.16,84.0,7.56
