date,RH2M,T2M,PRECTOT
2023-01-01,63.26,28.78,0.03
2023-01-02,63.34,28.7,1.94
2023-01-03,68.3,27.96,0.75
2023-01-04,58.46,29.4,2.08
2023-01-05,74.62,27.17,4.63
2023-01-06,95.16,23.76,22.23
2023-01-07,79.9,26.14,2.83
2023-01-08,66.15,28.48,0.0
2023-01-09,64.25,28.83,0.0
2023-01-10,65.23,27.91,0.16
2023-01-11,81.4,26.04,14.41
2023-01-12,76.2,26.88,1.07
2023-01-13,58.23,28.91,0.0
2023-01-14,60.15,29.15,0.0
2023-01-15,76.21,26.78,3.19
2023-01-16,70.99,27.36,0.68
2023-01-17,61.47,28.89,0.0
2023-01-18,67.3,28.35,4.65
2023-01-19,96.4,23.96,13.81
2023-01-20,93.81,23.53,19.25
2023-01-21,81.91,25.51,2.0
2023-01-22,71.41,27.16,0.04
2023-01-23,70.47,27.24,0.12
2023-01-24,64.7,28.24,0.01
2023-01-25,59.6,29.47,0.0
2023-01-26,59.46,29.5,0.0
2023-01-27,55.36,29.95,0.0
2023-01-28,55.5,29.76,0.21
2023-01-29,56.69,29.49,0.22
2023-01-30,63.21,28.54,2.38
2023-01-31,65.58,28.51,1.46
2023-02-01,63.31,28.66,0.02
2023-02-02,59.75,28.66,0.09
2023-02-03,71.07,27.65,9.03
2023-02-04,68.58,28.06,1.83
2023-02-05,61.38,28.75,0.04
2023-02-06,61.24,28.73,0.04
2023-02-07,59.71,29.62,0.2
2023-02-08,59.71,29.52,0.04
2023-02-09,67.37,28.45,6.62
2023-02-10,68.92,28.37,1.38
2023-02-11,60.38,30.03,0.08
2023-02-12,61.43,29.46,0.1
2023-02-13,58.36,29.68,0.3
2023-02-14,64.06,28.93,0.11
2023-02-15,69.68,28.02,3.79
2023-02-16,68.65,28.3,1.19
2023-02-17,60.18,29.87,0.14
2023-02-18,59.33,30.07,0.01
2023-02-19,78.08,26.96,8.34
2023-02-20,86.02,23.97,19.54
2023-02-21,79.47,25.74,5.51
2023-02-22,74.4,26.09,0.49
2023-02-23,74.42,27.08,1.26
2023-02-24,60.25,29.06,0.01
2023-02-25,65.65,28.88,0.01
2023-02-26,68.15,28.56,0.06
2023-02-27,71.28,28.13,0.1
2023-02-28,71.27,28.2,2.12
2023-03-01,67.96,28.88,1.05
2023-03-02,61.45,29.37,0.11
2023-03-03,62.74,29.45,6.0
2023-03-04,64.35,29.33,0.47
2023-03-05,80.66,26.83,30.08
2023-03-06,81.86,26.31,1.77
2023-03-07,71.92,27.64,0.0
2023-03-08,66.9,29.12,0.0
2023-03-09,67.87,28.85,0.34
2023-03-10,83.13,26.26,16.86
2023-03-11,85.38,25.76,9.43
2023-03-12,82.46,26.01,0.01
2023-03-13,74.28,27.33,0.01
2023-03-14,73.38,27.08,0.04
2023-03-15,73.98,26.68,1.85
2023-03-16,72.37,27.27,0.53
2023-03-17,70.79,27.76,0.91
2023-03-18,73.36,27.19,2.06
2023-03-19,65.92,28.24,0.14
2023-03-20,68.73,27.53,0.2
2023-03-21,75.11,26.87,0.38
2023-03-22,70.39,27.54,0.1
2023-03-23,74.78,27.04,5.73
2023-03-24,84.47,26.0,3.33
2023-03-25,88.04,24.8,2.46
2023-03-26,71.51,26.63,0.05
2023-03-27,76.26,26.31,1.46
2023-03-28,65.91,28.09,0.15
2023-03-29,65.12,28.52,0.02
2023-03-30,76.52,27.65,8.04
2023-03-31,80.81,27.31,8.51
2023-04-01,79.79,26.28,2.64
2023-04-02,75.86,26.67,0.76
2023-04-03,68.48,28.01,0.27
2023-04-04,63.11,29.08,0.01
2023-04-05,64.17,28.49,0.03
2023-04-06,64.53,28.85,0.01
2023-04-07,71.65,28.01,2.13
2023-04-08,82.24,25.78,4.9
2023-04-09,71.79,27.09,0.21
2023-04-10,66.05,28.18,0.03
2023-04-11,65.98,28.63,0.02
2023-04-12,63.59,29.36,0.0
2023-04-13,69.76,27.93,0.0
2023-04-14,61.11,29.71,0.0
2023-04-15,67.82,29.02,5.45
2023-04-16,73.91,27.81,3.14
2023-04-17,80.32,26.15,1.62
2023-04-18,66.51,28.93,0.22
2023-04-19,66.64,28.93,0.3
2023-04-20,69.16,28.23,0.1
2023-04-21,70.68,27.24,1.07
2023-04-22,63.64,29.38,0.01
2023-04-23,61.35,29.78,0.01
2023-04-24,62.54,29.62,0.01
2023-04-25,60.4,29.4,0.0
2023-04-26,57.71,30.01,0.06
2023-04-27,62.8,29.33,0.14
2023-04-28,69.22,28.06,0.04
2023-04-29,66.64,28.7,0.0
2023-04-30,63.46,29.12,0.01
2023-05-01,56.53,29.84,0.0
2023-05-02,55.92,30.2,0.0
2023-05-03,57.21,30.2,0.0
2023-05-04,54.64,30.65,0.05
2023-05-05,55.11,30.43,0.03
2023-05-06,57.11,30.06,0.46
2023-05-07,60.93,29.36,0.4
2023-05-08,57.75,28.27,0.15
2023-05-09,60.15,26.95,0.17
2023-05-10,54.92,29.05,0.02
2023-05-11,57.82,29.7,0.0
2023-05-12,56.56,29.92,0.01
2023-05-13,56.64,29.65,0.01
2023-05-14,54.7,30.84,0.0
2023-05-15,51.45,30.46,0.02
2023-05-16,48.88,30.94,0.0
2023-05-17,54.21,31.26,0.0
2023-05-18,53.82,31.57,0.0
2023-05-19,67.8,29.09,6.61
2023-05-20,75.11,28.79,8.16
2023-05-21,72.58,28.52,0.19
2023-05-22,65.43,29.77,0.13
2023-05-23,65.07,29.22,0.14
2023-05-24,72.1,27.34,0.1
2023-05-25,63.47,28.75,0.0
2023-05-26,70.25,28.24,6.0
2023-05-27,73.72,28.03,1.95
2023-05-28,67.0,28.42,1.11
2023-05-29,66.1,28.93,1.96
2023-05-30,68.83,28.56,1.32
2023-05-31,68.65,28.72,1.3
2023-06-01,63.59,28.81,0.04
2023-06-02,63.51,28.41,0.0
2023-06-03,61.2,28.91,0.0
2023-06-04,60.14,28.99,0.47
2023-06-05,63.08,28.87,0.8
2023-06-06,63.0,28.72,0.08
2023-06-07,67.3,27.97,9.27
2023-06-08,69.52,27.77,1.64
2023-06-09,66.74,28.54,0.31
2023-06-10,61.48,29.25,0.0
2023-06-11,61.03,29.28,0.01
2023-06-12,59.78,29.4,0.02
2023-06-13,57.88,29.53,0.08
2023-06-14,63.47,26.58,1.87
2023-06-15,58.07,25.47,0.17
2023-06-16,56.22,25.94,0.0
2023-06-17,58.73,26.48,1.44
2023-06-18,61.55,26.68,0.46
2023-06-19,56.88,27.72,0.0
2023-06-20,52.72,28.6,0.0
2023-06-21,53.56,29.2,0.0
2023-06-22,52.09,29.89,0.0
2023-06-23,54.43,30.27,0.0
2023-06-24,52.86,30.85,0.0
2023-06-25,50.6,30.8,0.0
2023-06-26,50.22,30.42,0.0
2023-06-27,50.34,30.28,0.0
2023-06-28,55.34,29.66,5.01
2023-06-29,66.85,28.49,4.48
2023-06-30,60.1,29.0,0.0
2023-07-01,58.55,28.92,0.0
2023-07-02,58.08,29.21,0.0
2023-07-03,55.62,29.31,0.0
2023-07-04,52.22,30.15,0.0
2023-07-05,55.02,30.07,0.15
2023-07-06,55.15,30.61,0.02
2023-07-07,52.67,31.14,0.0
2023-07-08,57.83,30.03,3.61
2023-07-09,68.82,28.15,1.4
2023-07-10,56.95,29.57,0.0
2023-07-11,53.01,29.66,0.0
2023-07-12,52.36,30.0,0.0
2023-07-13,53.48,30.72,0.0
2023-07-14,51.81,31.14,0.0
2023-07-15,63.47,28.92,3.73
2023-07-16,65.99,28.09,0.87
2023-07-17,57.23,29.46,0.0
2023-07-18,55.12,30.18,0.27
2023-07-19,54.25,30.31,0.46
2023-07-20,51.69,30.58,0.04
2023-07-21,51.3,30.63,0.0
2023-07-22,48.77,30.82,0.0
2023-07-23,47.94,30.79,0.0
2023-07-24,47.85,30.82,0.0
2023-07-25,46.66,30.9,0.0
2023-07-26,47.35,30.94,0.0
2023-07-27,47.56,31.68,0.0
2023-07-28,46.62,30.4,0.0
2023-07-29,53.88,29.14,0.84
2023-07-30,46.92,30.46,0.12
2023-07-31,41.11,30.99,0.0
2023-08-01,42.37,30.44,0.0
2023-08-02,42.11,30.91,0.0
2023-08-03,42.43,30.95,0.0
2023-08-04,46.3,30.59,0.0
2023-08-05,44.89,31.16,0.0
2023-08-06,43.5,31.43,0.0
2023-08-07,42.89,31.88,0.0
2023-08-08,43.95,32.21,0.0
2023-08-09,43.24,32.04,0.01
2023-08-10,43.54,32.09,0.0
2023-08-11,45.94,31.54,2.26
2023-08-12,49.69,31.39,1.02
2023-08-13,46.99,30.96,0.16
2023-08-14,55.5,27.86,2.82
2023-08-15,49.55,29.65,0.01
2023-08-16,47.78,30.8,0.0
2023-08-17,46.83,32.0,0.0
2023-08-18,44.71,32.53,0.0
2023-08-19,45.11,32.48,0.0
2023-08-20,43.41,33.38,0.0
2023-08-21,45.66,33.28,0.0
2023-08-22,44.16,33.51,0.01
2023-08-23,43.93,32.84,0.01
2023-08-24,44.55,32.68,0.0
2023-08-25,42.73,32.69,0.0
2023-08-26,42.47,32.93,0.0
2023-08-27,39.12,33.0,0.07
2023-08-28,43.45,32.57,0.15
2023-08-29,42.81,32.8,0.01
2023-08-30,43.63,32.89,0.0
2023-08-31,41.98,33.05,0.0
2023-09-01,41.11,33.19,0.0
2023-09-02,43.76,33.18,0.0
2023-09-03,42.81,33.46,0.0
2023-09-04,45.21,32.28,1.27
2023-09-05,48.78,31.96,0.48
