date,RH2M,T2M,PRECTOT
2023-01-01,23.11,54.96,0.0
2023-01-02,24.59,55.91,0.0
2023-01-03,24.29,60.96,0.0
2023-01-04,25.15,60.54,0.0
2023-01-05,25.62,64.88,0.0
2023-01-06,26.13,73.54,0.0
2023-01-07,26.22,70.68,0.0
2023-01-08,25.43,63.96,0.0
2023-01-09,24.57,63.29,0.0
2023-01-10,24.13,64.57,0.0
2023-01-11,25.57,65.65,0.0
2023-01-12,25.03,63.34,0.0
2023-01-13,25.36,69.6,0.0
2023-01-14,24.98,55.95,0.0
2023-01-15,25.67,69.67,0.0
2023-01-16,25.97,72.2,0.0
2023-01-17,25.83,59.93,0.0
2023-01-18,25.68,54.31,0.0
2023-01-19,26.75,63.16,0.0
2023-01-20,25.99,79.04,0.0
2023-01-21,27.32,71.6,0.31
2023-01-22,27.83,70.44,1.05
2023-01-23,27.16,76.54,0.91
2023-01-24,26.62,78.77,1.11
2023-01-25,27.59,71.64,0.14
2023-01-26,26.71,77.38,0.64
2023-01-27,26.97,77.66,1.12
2023-01-28,25.74,84.1,4.16
2023-01-29,25.93,76.76,0.45
2023-01-30,26.17,75.63,0.42
2023-01-31,26.89,74.7,0.11
2023-02-01,27.47,68.23,0.02
2023-02-02,27.34,75.31,0.05
2023-02-03,28.17,70.75,0.07
2023-02-04,27.62,72.26,0.11
2023-02-05,25.7,82.23,2.19
2023-02-06,26.0,77.64,0.05
2023-02-07,27.4,70.56,0.29
2023-02-08,27.3,73.19,0.25
2023-02-09,27.89,73.17,0.16
2023-02-10,28.74,69.45,0.01
2023-02-11,29.01,68.94,0.01
2023-02-12,28.92,69.44,0.01
2023-02-13,27.75,72.77,0.01
2023-02-14,27.76,69.01,0.01
2023-02-15,27.15,70.92,0.0
2023-02-16,26.68,60.1,0.0
2023-02-17,25.51,61.71,0.0
2023-02-18,26.53,50.48,0.0
2023-02-19,27.25,55.68,0.0
2023-02-20,27.51,63.95,0.0
2023-02-21,28.17,66.05,0.01
2023-02-22,28.42,71.77,0.01
2023-02-23,28.81,69.79,0.02
2023-02-24,27.6,74.89,0.02
2023-02-25,27.42,74.15,1.31
2023-02-26,27.88,73.18,0.9
2023-02-27,27.32,75.96,0.98
2023-02-28,26.91,78.74,3.47
2023-03-01,28.46,67.89,1.99
2023-03-02,28.17,72.14,2.88
2023-03-03,27.98,74.05,2.56
2023-03-04,28.04,72.08,1.92
2023-03-05,28.63,68.83,1.37
2023-03-06,28.6,72.19,1.87
2023-03-07,27.03,79.89,2.47
2023-03-08,28.08,76.76,1.83
2023-03-09,27.15,79.3,2.87
2023-03-10,28.37,71.96,0.99
2023-03-11,26.94,82.09,4.47
2023-03-12,27.65,72.25,1.18
2023-03-13,28.4,70.56,0.17
2023-03-14,28.68,69.77,0.31
2023-03-15,28.3,71.23,0.73
2023-03-16,27.78,74.4,1.47
2023-03-17,27.62,70.63,1.97
2023-03-18,26.57,76.32,7.29
2023-03-19,27.38,68.97,0.05
2023-03-20,27.73,71.8,1.05
2023-03-21,27.84,72.67,1.57
2023-03-22,26.69,77.02,4.59
2023-03-23,26.88,76.02,1.79
2023-03-24,26.2,80.39,11.26
2023-03-25,26.83,76.9,0.36
