date,RH2M,T2M,PRECTOT
2023-01-01,68.6,25.29,0.02
2023-01-02,67.19,26.39,0.05
2023-01-03,66.66,25.74,0.16
2023-01-04,65.76,26.11,1.01
2023-01-05,76.99,26.15,0.05
2023-01-06,85.08,26.24,0.32
2023-01-07,85.65,26.71,0.77
2023-01-08,87.57,26.62,0.76
2023-01-09,89.25,26.29,0.41
2023-01-10,88.59,26.17,0.69
2023-01-11,86.83,26.48,0.62
2023-01-12,85.22,26.56,0.93
2023-01-13,82.42,27.11,0.42
2023-01-14,82.31,26.66,0.34
2023-01-15,83.65,26.76,0.57
2023-01-16,83.65,26.58,0.34
2023-01-17,82.57,26.99,0.96
2023-01-18,86.13,26.52,1.03
2023-01-19,84.96,26.82,0.94
2023-01-20,88.25,26.59,0.64
2023-01-21,88.08,26.54,3.14
2023-01-22,87.17,26.84,3.71
2023-01-23,87.93,26.57,4.12
2023-01-24,88.93,26.34,2.62
2023-01-25,86.25,26.56,2.67
2023-01-26,87.67,26.46,1.47
2023-01-27,79.61,27.05,1.01
2023-01-28,84.54,26.45,2.01
2023-01-29,84.03,26.17,1.17
2023-01-30,84.01,26.58,0.98
2023-01-31,84.74,26.51,3.51
2023-02-01,81.92,27.51,0.82
2023-02-02,84.1,27.21,2.7
2023-02-03,82.69,27.21,2.68
2023-02-04,88.19,26.5,6.19
2023-02-05,86.95,26.11,6.16
2023-02-06,79.76,26.81,0.32
2023-02-07,78.21,26.46,0.39
2023-02-08,86.28,26.4,0.96
2023-02-09,83.92,27.09,1.55
2023-02-10,82.55,27.61,0.54
2023-02-11,82.78,27.71,0.23
2023-02-12,84.73,27.72,0.71
2023-02-13,86.05,27.52,0.87
2023-02-14,84.36,27.55,0.72
2023-02-15,81.88,27.61,1.45
2023-02-16,77.64,27.82,0.68
2023-02-17,76.84,27.81,0.42
2023-02-18,76.91,27.96,0.06
2023-02-19,77.52,28.18,0.08
2023-02-20,80.29,28.22,0.24
2023-02-21,83.25,27.9,0.33
2023-02-22,83.03,28.1,1.07
2023-02-23,82.7,27.59,0.97
2023-02-24,81.84,27.65,0.63
2023-02-25,84.77,27.12,4.18
2023-02-26,83.34,27.37,4.13
2023-02-27,85.27,27.36,4.19
2023-02-28,85.55,27.32,3.13
2023-03-01,82.63,27.57,6.05
2023-03-02,85.67,27.47,9.13
2023-03-03,86.71,27.5,8.08
2023-03-04,88.0,27.09,5.41
2023-03-05,79.5,27.29,3.41
2023-03-06,87.8,27.09,6.63
2023-03-07,85.82,26.57,20.07
2023-03-08,84.25,27.47,4.15
2023-03-09,87.3,27.38,11.13
2023-03-10,86.3,27.56,5.2
2023-03-11,90.39,27.03,18.52
2023-03-12,79.64,26.89,1.0
2023-03-13,79.17,27.03,0.44
2023-03-14,84.08,27.39,1.51
2023-03-15,86.58,27.07,2.77
2023-03-16,87.95,26.9,2.43
2023-03-17,90.84,26.56,17.55
2023-03-18,86.82,26.91,14.7
2023-03-19,84.79,26.67,6.43
2023-03-20,87.65,26.58,8.23
2023-03-21,86.18,26.88,14.9
2023-03-22,88.57,26.61,8.68
2023-03-23,84.69,26.4,2.03
2023-03-24,85.56,26.72,9.74
2023-03-25,88.81,26.1,4.96
2023-03-26,85.85,26.67,6.97
2023-03-27,83.5,26.94,5.59
2023-03-28,84.76,26.75,2.84
2023-03-29,86.14,27.05,3.92
2023-03-30,89.86,26.76,5.56
2023-03-31,86.8,26.71,5.22
2023-04-01,83.45,26.95,5.84
2023-04-02,86.61,26.83,3.86
2023-04-03,88.5,26.64,3.65
2023-04-04,85.38,26.86,3.4
2023-04-05,86.9,27.11,2.25
2023-04-06,88.68,27.11,4.23
2023-04-07,87.69,27.04,8.7
2023-04-08,87.86,26.92,8.63
2023-04-09,88.13,26.39,6.66
2023-04-10,85.76,26.92,1.86
2023-04-11,86.63,27.19,3.83
2023-04-12,88.65,26.59,8.29
2023-04-13,85.56,26.97,7.27
2023-04-14,88.28,27.11,8.14
2023-04-15,89.91,27.31,15.71
2023-04-16,83.76,27.71,5.92
2023-04-17,86.88,27.17,4.84
2023-04-18,86.31,27.44,8.19
2023-04-19,88.36,27.1,10.94
2023-04-20,87.88,26.39,3.95
2023-04-21,87.38,27.05,2.67
2023-04-22,87.49,27.49,7.11
2023-04-23,90.74,27.28,9.71
2023-04-24,87.78,26.97,14.07
2023-04-25,84.65,27.4,9.94
2023-04-26,89.15,26.6,9.51
2023-04-27,87.48,26.5,5.93
2023-04-28,85.2,26.5,2.52
2023-04-29,86.02,26.56,15.84
2023-04-30,85.12,26.39,11.17
2023-05-01,84.27,26.98,4.03
2023-05-02,83.21,26.93,1.13
2023-05-03,84.11,27.37,4.56
2023-05-04,86.31,27.26,4.36
2023-05-05,85.75,27.27,3.58
2023-05-06,88.3,26.82,7.14
2023-05-07,83.98,26.45,5.55
2023-05-08,83.48,27.03,3.76
2023-05-09,85.29,27.24,5.7
2023-05-10,88.89,27.34,14.13
2023-05-11,86.51,27.36,10.3
2023-05-12,87.04,27.58,10.91
2023-05-13,88.45,27.57,10.37
2023-05-14,91.12,27.09,12.11
2023-05-15,90.81,26.7,21.45
2023-05-16,83.66,27.37,2.83
2023-05-17,86.93,27.42,5.01
2023-05-18,91.1,27.03,13.09
2023-05-19,90.09,26.69,13.46
2023-05-20,90.71,26.6,14.14
2023-05-21,88.32,26.63,4.33
2023-05-22,87.5,26.78,6.24
2023-05-23,87.83,26.92,7.84
2023-05-24,88.13,27.35,7.37
2023-05-25,87.99,27.33,6.39
2023-05-26,87.73,27.22,3.15
2023-05-27,89.82,26.99,7.23
2023-05-28,88.92,26.46,6.96
2023-05-29,89.39,26.56,6.57
2023-05-30,86.66,27.47,4.17
2023-05-31,87.3,27.44,11.38
2023-06-01,89.94,27.06,18.39
2023-06-02,91.38,26.02,47.01
2023-06-03,89.89,25.8,16.55
2023-06-04,87.46,26.45,6.42
2023-06-05,89.68,26.4,8.46
2023-06-06,90.5,26.09,21.91
2023-06-07,92.6,25.34,31.14
2023-06-08,89.64,25.72,7.93
2023-06-09,88.81,26.24,13.69
2023-06-10,91.35,25.98,52.35
2023-06-11,86.07,26.01,9.43
2023-06-12,83.14,26.06,2.65
2023-06-13,80.4,25.93,0.44
2023-06-14,82.34,25.79,0.13
2023-06-15,85.17,25.69,2.3
2023-06-16,84.01,26.21,0.59
2023-06-17,82.95,26.3,0.53
2023-06-18,88.18,26.35,8.96
2023-06-19,91.76,25.86,10.86
2023-06-20,93.44,25.29,19.25
2023-06-21,91.63,25.44,77.97
2023-06-22,88.65,25.82,29.04
2023-06-23,89.08,25.78,29.53
2023-06-24,88.05,25.6,23.98
2023-06-25,86.03,25.36,5.38
2023-06-26,82.67,24.93,1.18
2023-06-27,82.2,25.06,1.0
2023-06-28,86.44,25.24,4.37
2023-06-29,88.46,25.31,8.66
2023-06-30,86.99,25.55,4.04
2023-07-01,87.26,25.8,11.31
2023-07-02,89.1,25.76,13.76
2023-07-03,89.4,25.75,14.06
2023-07-04,87.85,25.99,14.04
2023-07-05,87.64,26.1,5.29
2023-07-06,90.74,25.46,9.88
2023-07-07,88.67,25.52,8.2
2023-07-08,90.3,25.2,7.12
2023-07-09,90.8,25.32,8.59
2023-07-10,89.36,25.38,5.58
2023-07-11,89.68,25.17,4.46
2023-07-12,90.95,25.1,8.84
2023-07-13,90.53,25.24,4.27
2023-07-14,88.23,25.67,3.65
2023-07-15,89.25,25.9,7.98
2023-07-16,92.03,25.57,13.08
2023-07-17,90.07,25.69,12.74
2023-07-18,89.34,25.37,4.09
2023-07-19,90.44,25.32,4.23
2023-07-20,90.98,25.47,5.1
2023-07-21,90.05,25.49,4.52
