date,RH2M,T2M,PRECTOT
2023-01-01,22.44,53.56,0.0
2023-01-02,22.69,53.21,0.0
2023-01-03,22.5,54.7,0.0
2023-01-04,23.72,52.32,0.0
2023-01-05,24.4,56.39,0.0
2023-01-06,24.57,66.13,0.0
2023-01-07,25.71,64.84,0.0
2023-01-08,25.73,60.87,0.0
2023-01-09,25.09,57.1,0.01
2023-01-10,24.73,62.3,0.02
2023-01-11,25.81,64.91,0.03
2023-01-12,25.84,53.61,0.03
2023-01-13,25.99,54.82,0.01
2023-01-14,25.23,55.04,0.0
2023-01-15,25.73,64.36,0.01
2023-01-16,27.13,59.26,0.0
2023-01-17,27.16,50.66,0.0
2023-01-18,26.34,52.97,0.0
2023-01-19,26.23,64.32,0.0
2023-01-20,26.42,65.99,0.0
2023-01-21,27.23,71.16,0.16
2023-01-22,27.27,74.0,1.12
2023-01-23,26.79,76.95,1.79
2023-01-24,26.52,77.88,0.87
2023-01-25,25.81,80.52,1.2
2023-01-26,26.33,78.47,0.31
2023-01-27,27.2,72.4,0.56
2023-01-28,27.57,69.59,0.52
2023-01-29,26.9,70.99,0.71
2023-01-30,27.82,66.78,0.26
2023-01-31,28.02,61.35,0.46
2023-02-01,28.33,59.26,0.18
2023-02-02,27.55,71.54,0.54
2023-02-03,28.52,66.23,0.97
2023-02-04,27.86,68.27,3.68
2023-02-05,25.53,82.99,2.65
2023-02-06,26.24,68.39,0.04
2023-02-07,27.04,72.67,0.37
2023-02-08,27.48,72.52,0.46
2023-02-09,28.39,68.19,0.2
2023-02-10,29.34,64.91,0.17
2023-02-11,30.01,62.1,0.12
2023-02-12,29.77,63.02,0.45
2023-02-13,29.84,63.46,0.69
2023-02-14,29.85,60.87,0.39
2023-02-15,29.59,57.35,0.15
2023-02-16,29.57,50.22,0.2
2023-02-17,28.78,43.31,0.01
2023-02-18,28.26,39.15,0.02
2023-02-19,28.2,43.37,0.0
2023-02-20,28.49,49.03,0.01
2023-02-21,29.21,36.25,0.0
2023-02-22,28.59,62.27,0.21
2023-02-23,28.89,68.12,0.71
2023-02-24,29.33,66.81,1.11
2023-02-25,27.52,74.94,2.97
2023-02-26,27.8,71.69,2.6
2023-02-27,28.54,67.43,1.17
2023-02-28,27.73,72.61,1.59
2023-03-01,27.63,72.3,5.76
2023-03-02,28.57,68.45,8.42
2023-03-03,28.7,72.03,5.18
2023-03-04,28.31,73.16,10.43
2023-03-05,28.1,74.96,6.07
2023-03-06,28.16,74.93,5.72
2023-03-07,27.52,77.36,2.03
2023-03-08,28.77,70.64,0.73
