date,open,high,low,close,volume,average,barCount
2023-08-02,3322.0,3322.0,3322.0,3322.0,0.0,3322.0,0
2023-08-03,3299.0,3299.0,3299.0,3299.0,0.0,3299.0,0
2023-08-04,3285.0,3285.0,3285.0,3285.0,0.0,3285.0,0
2023-08-07,3298.0,3298.0,3298.0,3298.0,0.0,3298.0,0
2023-08-08,3180.0,3180.0,3180.0,3180.0,0.0,3180.0,0
2023-08-09,3167.0,3167.0,3167.0,3167.0,0.0,3167.0,0
2023-08-10,3171.0,3171.0,3171.0,3171.0,0.0,3171.0,0
2023-08-11,3172.0,3172.0,3172.0,3172.0,0.0,3172.0,0
2023-08-14,3207.0,3207.0,3207.0,3207.0,0.0,3207.0,0
2023-08-15,3250.0,3250.0,3250.0,3250.0,0.0,3250.0,0
2023-08-16,3268.0,3268.0,3268.0,3268.0,0.0,3268.0,0
2023-08-17,3295.0,3295.0,3295.0,3295.0,0.0,3295.0,0
2023-08-18,3277.0,3277.0,3277.0,3277.0,0.0,3277.0,0
2023-08-21,3286.0,3286.0,3286.0,3286.0,0.0,3286.0,0
2023-08-22,3269.0,3269.0,3269.0,3269.0,0.0,3269.0,0
2023-08-23,3270.0,3270.0,3270.0,3270.0,0.0,3270.0,0
2023-08-24,3267.0,3267.0,3267.0,3267.0,0.0,3267.0,0
2023-08-25,3301.0,3301.0,3301.0,3301.0,0.0,3301.0,0
2023-08-28,3325.0,3325.0,3325.0,3325.0,0.0,3325.0,0
2023-08-29,3410.0,3410.0,3410.0,3410.0,0.0,3410.0,0
2023-08-30,3465.0,3465.0,3465.0,3465.0,0.0,3465.0,0
2023-08-31,3468.0,3468.0,3440.0,3440.0,3.0,3468.0,3
2023-09-01,3401.0,3401.0,3401.0,3401.0,0.0,3401.0,0
2023-09-05,3442.0,3442.0,3442.0,3442.0,0.0,3442.0,0
2023-09-06,3442.0,3442.0,3442.0,3442.0,0.0,3442.0,0
2023-09-07,3407.0,3407.0,3407.0,3407.0,0.0,3407.0,0
2023-09-08,3442.0,3442.0,3442.0,3442.0,0.0,3442.0,0
2023-09-11,3452.0,3452.0,3452.0,3452.0,0.0,3452.0,0
2023-09-12,3451.0,3451.0,3451.0,3451.0,0.0,3451.0,0
2023-09-13,3496.0,3496.0,3496.0,3496.0,0.0,3496.0,0
2023-09-14,3499.0,3499.0,3499.0,3499.0,0.0,3499.0,0
2023-09-15,3527.0,3527.0,3527.0,3527.0,0.0,3527.0,0
2023-09-18,3439.0,3439.0,3439.0,3439.0,0.0,3439.0,0
2023-09-19,3419.0,3419.0,3419.0,3419.0,0.0,3419.0,0
2023-09-20,3384.0,3384.0,3384.0,3384.0,0.0,3384.0,0
2023-09-21,3364.0,3364.0,3364.0,3364.0,0.0,3364.0,0
2023-09-22,3371.0,3371.0,3371.0,3371.0,0.0,3371.0,0
2023-09-25,3308.0,3308.0,3308.0,3308.0,0.0,3308.0,0
2023-09-26,3305.0,3305.0,3305.0,3305.0,0.0,3305.0,0
2023-09-27,3230.0,3230.0,3230.0,3230.0,0.0,3230.0,0
2023-09-28,3277.0,3277.0,3277.0,3277.0,0.0,3277.0,0
2023-09-29,3234.0,3234.0,3234.0,3234.0,0.0,3234.0,0
2023-10-02,3307.0,3307.0,3307.0,3307.0,0.0,3307.0,0
2023-10-03,3240.0,3249.0,3240.0,3249.0,1.0,3240.0,1
2023-10-04,3269.0,3269.0,3269.0,3269.0,0.0,3269.0,0
2023-10-05,3250.0,3250.0,3250.0,3250.0,0.0,3250.0,0
2023-10-06,3295.0,3295.0,3295.0,3295.0,0.0,3295.0,0
2023-10-09,3273.0,3276.0,3273.0,3276.0,1.0,3273.0,1
2023-10-10,3293.0,3293.0,3293.0,3293.0,0.0,3293.0,0
