,Cost of hedging,RF EU 1m,RF US 1m
7/1/2025,0.002065,0.00157692,0.003641667
6/1/2025,0.001926,0.001607083,0.003533333
5/1/2025,0.001894,0.001747417,0.0036
4/1/2025,0.001759,0.001865583,0.0036
3/1/2025,0.001641,0.002000833,0.0036
2/1/2025,0.001470,0.002171417,0.0036
1/1/2025,0.001354,0.00232925,0.0037
12/1/2024,0.001345,0.002405,0.0038
11/1/2024,0.001370,0.002555333,0.0039
10/1/2024,0.001429,0.00267125,0.0041
9/1/2024,0.001352,0.002865083,0.0042
8/1/2024,0.001586,0.00299725,0.0046
7/1/2024,0.001552,0.003014583,0.0046
6/1/2024,0.001521,0.003028917,0.0046
5/1/2024,0.001402,0.003181417,0.0046
4/1/2024,0.001357,0.00320975,0.0046
3/1/2024,0.001382,0.003210083,0.0046
2/1/2024,0.001351,0.00322375,0.0046
1/1/2024,0.001393,0.003224167,0.0046
12/1/2023,0.001401,0.003216167,0.0046
11/1/2023,0.001408,0.003200583,0.0046
10/1/2023,0.001424,0.0032175,0.0046
9/1/2023,0.001477,0.003131417,0.0046
8/1/2023,0.001594,0.0030225,0.0046
7/1/2023,0.001601,0.002890833,0.0045
6/1/2023,0.001548,0.002785417,0.0043
5/1/2023,0.001952,0.002622833,0.0046
4/1/2023,0.001014,0.002461333,0.0035
3/1/2023,0.001483,0.00225825,0.0037
2/1/2023,0.001893,0.001974,0.0039
1/1/2023,0.002116,0.001651,0.0038
12/1/2022,0.001813,0.001436917,0.0033
11/1/2022,0.002039,0.001185917,0.0032
10/1/2022,0.002004,0.000762667,0.0028
9/1/2022,0.001697,0.00047825,0.0022
8/1/2022,0.001881,1.86667E-05,0.0019
7/1/2022,0.001797,-0.000255333,0.0015
6/1/2022,0.001321,-0.00043725,0.0009
5/1/2022,0.000938,-0.00045475,0.0005
4/1/2022,0.000706,-0.00044775,0.0003
3/1/2022,0.000604,-0.000453667,0.0002
2/1/2022,0.000494,-0.000460917,0.0000
1/1/2022,0.000512,-0.00047075,0.0000
12/1/2021,0.000530,-0.000496917,0.0000
11/1/2021,0.000530,-0.000471167,0.0001
10/1/2021,0.000517,-0.000467,0.0001
9/1/2021,0.000506,-0.000464667,0.0000
8/1/2021,0.000500,-0.00046675,0.0000
7/1/2021,0.000505,-0.0004635,0.0000
6/1/2021,0.000487,-0.000462167,0.0000
5/1/2021,0.000473,-0.000464917,0.0000
4/1/2021,0.000479,-0.0004625,0.0000
3/1/2021,0.000478,-0.000461167,0.0000
2/1/2021,0.000495,-0.000461167,0.0000
1/1/2021,0.000535,-0.000468417,0.0001
12/1/2020,0.000534,-0.00046725,0.0001
11/1/2020,0.000526,-0.000451167,0.0001
10/1/2020,0.000524,-0.00044875,0.0001
9/1/2020,0.000510,-0.00043475,0.0001
8/1/2020,0.000498,-0.000431083,0.0001
7/1/2020,0.000516,-0.000424,0.0001
6/1/2020,0.000519,-0.00041075,0.0001
5/1/2020,0.000470,-0.000386917,0.0001
4/1/2020,0.000448,-0.00035675,0.0001
3/1/2020,0.000706,-0.000398083,0.0003
2/1/2020,0.001711,-0.00039425,0.0013
1/1/2020,0.001656,-0.00038075,0.0013
12/1/2019,0.001669,-0.000377417,0.0013
11/1/2019,0.001692,-0.000375,0.0013
10/1/2019,0.001821,-0.000379583,0.0014
9/1/2019,0.002032,-0.0003735,0.0017
8/1/2019,0.002066,-0.000341333,0.0017
7/1/2019,0.002121,-0.00032925,0.0018
6/1/2019,0.002171,-0.000320667,0.0019
5/1/2019,0.002308,-0.0003075,0.0020
4/1/2019,0.002331,-0.000306083,0.0020
3/1/2019,0.002348,-0.00030625,0.0020
2/1/2019,0.002331,-0.000306417,0.0020
1/1/2019,0.002305,-0.000305333,0.0020
12/1/2018,0.002281,-0.000305917,0.0020
11/1/2018,0.002174,-0.000307333,0.0019
10/1/2018,0.002116,-0.000308083,0.0018
9/1/2018,0.002009,-0.000309167,0.0017
8/1/2018,0.001925,-0.000308,0.0016
7/1/2018,0.001883,-0.000308083,0.0016
6/1/2018,0.001817,-0.000308583,0.0015
5/1/2018,0.001734,-0.000309,0.0014
4/1/2018,0.001693,-0.00030975,0.0014
3/1/2018,0.001676,-0.000308833,0.0014
2/1/2018,0.001458,-0.000308,0.0012
1/1/2018,0.001391,-0.000307333,0.0011
