"ClientAccountID","CurrencyPrimary","Symbol","Description","Conid","SecurityID","ListingExchange","TradeID","Multiplier","Strike","Expiry","Put/Call","TradeDate","Quantity","TradePrice","IBCommission","IBCommissionCurrency","CostBasis","FifoPnlRealized","IBOrderID","TransactionID","IBExecID","OrderTime","FXRateToBase","AssetClass","SubCategory","ISIN","FIGI","UnderlyingConid","UnderlyingSymbol","UnderlyingSecurityID","UnderlyingListingExchange","Issuer","IssuerCountryCode","ReportDate","DateTime","SettleDateTarget","TransactionType","Exchange","TradeMoney","Proceeds","NetCash","ClosePrice","Open/CloseIndicator","Notes/Codes","Buy/Sell","BrokerageOrderID","ExtExecID","OpenDateTime","HoldingPeriodDateTime","LevelOfDetail","OrderType"
"U15721173","","","","","","","","","","","","","36","","-99.2951124","","","","","","","","","FUT","","","","","","","","","","20250212","","","","","","597366.4368","","","","","","","","","","ASSET_SUMMARY",""
"U15721173","GBP","RH5","R 27MAR25","712829602","","ICEEU","","1000","","20250327","","20250212","-5","92.712","-8.5","GBP","-465908.5","-2357","","","","","","FUT","","","BBG01NJH8CJ5","13062318","R","","","","","20250212","","20250213","","ICEEU","-463560","463560","1301.5","","","","SELL","","","","","SYMBOL_SUMMARY",""
"U15721173","GBP","RH5","R 27MAR25","712829602","","ICEEU","","1000","","20250327","","20250212","-5","92.712","-8.5","GBP","-465908.5","-2357","796466053","","","20250211;081826","1.1985","FUT","","","BBG01NJH8CJ5","13062318","R","","","","","20250212","20250212;083001","20250213","","","-463560","463560","1301.5","92.45","C","C;P","SELL","","","","","ORDER","STP"
"U15721173","GBP","RH5","R 27MAR25","712829602","","ICEEU","1078851128","1000","","20250327","","20250212","-2","92.71","-3.4","GBP","-186363.4","-946.8","796466053","4967654083","0000dd80.67ac3476.01.01","20250211;081826","1.1985","FUT","","","BBG01NJH8CJ5","13062318","R","","","","","20250212","20250212;083001","20250213","ExchTrade","ICEEU","-185420","185420","516.6","92.45","C","P","SELL","01155124.0000e2da.679c60a5.0009","7797725.27000000265448.S","","","EXECUTION","STP"
"U15721173","GBP","RH5","R 27MAR25","712829602","","ICEEU","","1000","","20250327","","20250212","2","93.1817","","","186363.4","-946.8","","4955566584","","","1.1985","FUT","","","BBG01NJH8CJ5","13062318","R","","","","","20250212","20250212;083001","","","ICEEU","","","","","C","ST","SELL","","","20250203;044239","20250203;044239","CLOSED_LOT",""
"U15721173","GBP","RH5","R 27MAR25","712829602","","ICEEU","1078851133","1000","","20250327","","20250212","-2","92.71","-3.4","GBP","-186363.4","-946.8","796466053","4967654085","0000dd80.67ac3477.01.01","20250211;081826","1.1985","FUT","","","BBG01NJH8CJ5","13062318","R","","","","","20250212","20250212;083001","20250213","ExchTrade","ICEEU","-185420","185420","516.6","92.45","C","P","SELL","01155124.0000e2da.679c60a5.0009","7797725.27000000265471.S","","","EXECUTION","STP"
"U15721173","GBP","RH5","R 27MAR25","712829602","","ICEEU","","1000","","20250327","","20250212","2","93.1817","","","186363.4","-946.8","","4955566584","","","1.1985","FUT","","","BBG01NJH8CJ5","13062318","R","","","","","20250212","20250212;083001","","","ICEEU","","","","","C","ST","SELL","","","20250203;044239","20250203;044239","CLOSED_LOT",""
"U15721173","GBP","RH5","R 27MAR25","712829602","","ICEEU","1078851193","1000","","20250327","","20250212","-1","92.72","-1.7","GBP","-93181.7","-463.4","796466053","4967654113","0000dd80.67ac3475.01.01","20250211;081826","1.1985","FUT","","","BBG01NJH8CJ5","13062318","R","","","","","20250212","20250212;083001","20250213","ExchTrade","ICEEU","-92720","92720","268.3","92.45","C","P","SELL","01155124.0000e2da.679c60a5.0009","7797725.27000000265447.S","","","EXECUTION","STP"
"U15721173","GBP","RH5","R 27MAR25","712829602","","ICEEU","","1000","","20250327","","20250212","1","93.1817","","","93181.7","-463.4","","4955566584","","","1.1985","FUT","","","BBG01NJH8CJ5","13062318","R","","","","","20250212","20250212;083001","","","ICEEU","","","","","C","ST","SELL","","","20250203;044239","20250203;044239","CLOSED_LOT",""
"U15721173","USD","HEJ5","HE 16APR25","659523018","","CME","","40000","","20250416","","20250212","16","0.940953125","-47.52","USD","602257.52","0","","","","","","FUT","","","BBG01JPCSXV6","32612382","HE","","","","","20250212","","20250213","","CME","602210","-602210","1422.48","","","","BUY","","","","","SYMBOL_SUMMARY",""
"U15721173","USD","HEJ5","HE 16APR25","659523018","","CME","","40000","","20250416","","20250212","16","0.940953125","-47.52","USD","602257.52","0","796519127","","","20250212;042335","0.96312","FUT","","","BBG01JPCSXV6","32612382","HE","","","","","20250212","20250212;093306","20250213","","","602210","-602210","1422.48","0.94325","O","O;P","BUY","","","","","ORDER","STP"
"U15721173","USD","HEJ5","HE 16APR25","659523018","","CME","1078913337","40000","","20250416","","20250212","3","0.94075","-8.91","USD","112898.91","0","796519127","4967809837","0001012a.67ac1b3e.01.01","20250212;042335","0.96312","FUT","","","BBG01JPCSXV6","32612382","HE","","","","","20250212","20250212;093306","20250213","ExchTrade","CME","112890","-112890","291.09","0.94325","O","P","BUY","01155124.0000e2da.67ac3263.0001","20131.42000659.7011272812793.806","","","EXECUTION","STP"
