symbol,name,assetClass
ZT,2Y T-Note,Rates
EUR,Euro/Usd,Forex
MXP,Mexican Peso,Forex
GBP.CHF,GBP.CHF,Forex
DAX,DAX,Eqty Idx
YM,Dow Jones,Eqty Idx
RY,Euro/Yen,Forex
XINA50,FTSE China 50,Eqty Idx
K200,KOSPI 200,Eqty Idx
GBP,Gbp/Usd,Forex
DX,Dollar Index,Forex
BMW,BMW,Equity
KE,KC HRW Wheat,Comdty
SB,Sugar No. 11,Comdty
SXAP,STOXX 600 Auto,Eqty Idx
SGXNK,SGX Nikkei 225,Eqty Idx
ZL,Soybean Oil,Comdty
RS,Canola,Comdty
ZC,Corn,Comdty
MNQ,Nasdaq 100,Eqty Idx
DBA,Invesco DB Agric.,Comdty
ALV,Allianz,Equity
D,Robusta Coffee,Comdty
SI,Silver,Comdty
HE,Lean Hogs,Comdty
HG,Copper,Comdty
LXS,Lanxess AG,Equity
ZW,Chicago SRW Wheat,Comdty
R,Long Gilt,Rates
ZS,Soybean,Comdty
ZN,10Y T-Note,Rates
EMA,Corn / Mais,Comdty
SX7E,Euro STOXX Banks,Eqty Idx
MGC,Gold,Comdty
ESTX50,Euro STOXX50,Eqty Idx
KER,Kering SA,Equity
CT,Cotton No.2,Comdty
TOPX,TOPIX (JPY),Eqty Idx
CL,Crude Oil,Comdty
FTMIB,FTSE MIB,Eqty Idx
L,Loews Corp,Equity
ZM,Soybean Meal,Comdty
ZF,5Y T-Note,Rates
SRG,SNAM SPA,Equity
ATO,ATMOS Energy Corp,Equity
MDAX, Call Turbo-Option on MDAX,Eqty Idx
USD,USD.CNH,Forex
SOFR3,SOFR 3M,Rates
ES,E-mini S&P 500,Eqty Idx
NEM,Newmont Corp,Equity
CHF,Swiss Franc,Forex
MES, E-mini S&P500,Eqty Idx
