,Status,Currency,FX,Symbol,Local Symbol,Name,Asset Class,Position,Contracts,Risk (EUR),Risk NLV (bps),Rlzd PnL (EUR),UnRlzd PnL (EUR),Exposure (EUR),Expos. NLV (%),Stops,ATR 30D,ATR 30D (%),multiplier,Last Price,ConID
0,open,EUR,1.0,SRG,SRG, SNAM SPA,Equity,LONG,50000.0,11818.382500000007,17.7429435127176,0.0,2299.18,240818.3825,3.6154075716550196,"P: 4.58, Q: 50000, Dist: -4.91%",,,1.0,4.81636765,14075063
1,open,USD,1.080845,L,Ln,Loews Corp,Equity,LONG,4000.0,10439.016695270839,15.672100945497942,0.0,9882.96,340736.1453307366,5.115473440925093,"P: 89.75, Q: 2000, Dist: -2.52% | P: 88.75, Q: 2000, Dist: -3.61%",,,1.0,92.07073975,120552103
2,working,USD,1.080845,CL,CLN5,Crude Oil,Comdty,SHORT,0.0,17208.757962520063,25.835516869844287,0.0,0.0,0.0,0.0,"P: 63.65, Q: 6.0, Dist: 9.72%",1.273,0.01805673758865248,1000.0,70.5,304037456
3,working,USD,1.080845,ZS,ZSX5,Soybean,Comdty,SHORT,0.0,19984.36408550717,30.002535719819175,0.0,0.0,0.0,0.0,"P: 990.0, Q: 18.0, Dist: 4.14%",11.533333333333333,0.011167594609860405,50.0,1032.75,526262864
4,working,USD,1.080845,ZM,ZMZ5, Soybean Meal,Comdty,LONG,0.0,20817.045922403304,31.252641374811642,0.0,0.0,0.0,0.0,"P: 335.6, Q: 18.0, Dist: 9.14%",3.850000000000006,0.012520325203252051,100.0,307.5,532513428
5,working,USD,1.080845,SB,SBK5,Sugar No. 11,Comdty,LONG,0.0,20641.62761543054,30.989285783493262,0.0,0.0,0.0,0.0,"P: 20.41, Q: 24.0, Dist: 6.64%",0.47766666666666674,0.02495646116335772,1120.0,19.14,565301283
6,working,EUR,1.0,DAX,FDXM JUN 25,DAX,Eqty Idx,SHORT,0.0,8070.0,12.115495005143972,0.0,0.0,0.0,0.0,"P: 22178.0, Q: 2.0, Dist: 2.38%",473.3333333333333,0.020834250333788166,5.0,22719.0,568953467
7,open,USD,1.080845,MGC,MGCM5,Gold,Comdty,LONG,6.0,6289.523474688787,9.442464714043094,2146.9186856,6876.78,175584.8433401644,2.6360561244941123,"P: 3049.7, Q: 6, Dist: -3.58%",31.629999999999974,0.009999999999999992,10.0,3163.0,639786536
8,open,USD,1.080845,D,RCK5,Robusta Coffee,Comdty,SHORT,6.0,7549.648654524935,11.334291271931695,0.0,-8118.6,294436.2975264723,4.4203735960533574,"P: 5440.0, Q: 6, Dist: -2.56%",152.83333333333334,0.028814731020613375,10.0,5304.0,656391483
9,open,USD,1.080845,ZF,ZFM5, 5Y T-Note,Rates,LONG,26.0,11181.934042346664,16.78744312737303,0.0,3210.48,2607551.8460093723,39.14718880542812,"P: 107.9921875, Q: 13, Dist: -0.37% | P: 107.875, Q: 13, Dist: -0.48%",0.371875,0.0034306306306306307,1000.0,108.3984375,732487391
