,Status,Currency,FX,Symbol,Local Symbol,Name,Asset Class,Position,Contracts,Risk (EUR),Risk (bps),Rlzd PnL (EUR),Rlzd PnL (bps),UnRlzdPnL(EUR),UnRlzdPnL(bps),Tot PnL (EUR),Tot PnL (bps),Exposure (EUR),Expos. (%),Stop or Trigger,ATR 30D,ATR 30D (%),multiplier,Last Price,ConID
0,open,USD,1.14991,NEM,NEMn,Newmont Corp,Equity,LONG,1200.0,3182.856171352534,4.774613129993889,2805.8907648,4.209126069699118,6325.225452426711,9.488491741206955,9131.11621722671,13.697617810906072,59065.49046447113,0.886043387192555,"P: 54.05, Q: 600, Dist: 4.51% | P: 53.05, Q: 600, Dist: 6.27%",,,1.0,56.59999845,120551943
1,open,CNH,8.41475,USD,USD.CNH,USD.CNH,Forex,LONG,1200000.0,11730.32353902387,17.596697360251632,0.0,0.0,-10731.187498143141,-16.097890061833226,-10731.187498143141,-16.097890061833226,1043490.0311952227,15.6534286682683,"P: 7.25, Q: 600000, Dist: 0.92% | P: 7.22, Q: 600000, Dist: 1.33%",,,1.0,7.31725645,230949979
2,open,USD,1.14991,CL,CLN5,Crude Oil,Comdty,SHORT,4.0,347818.52492803783,521.7637262166367,0.0,0.0,-1721.4216764790287,-2.582310382966567,-1721.4216764790287,-2.582310382966567,218347.52284961432,3.2754384533071597,"P: 65.2, Q: 6, Dist: 3.87% | P: 64.96, Q: 4, Dist: 3.49%",1.9470000000000007,0.031018002230364834,1000.0,62.77,304037456
3,open,EUR,1.0,MDAX,VP1FYE, Call Turbo-Option on MDAX,Eqty Idx,LONG,2000.0,8489.9998,12.735876940835745,3584.38,5.3769403609635935,3824.19,5.73668013965968,7408.57,11.113620500623272,8489.9998,0.12735876940835744,,,,0.001,4.2449999,488641260
4,working,USD,1.14991,ZS,ZSX5,Soybean,Comdty,LONG,0.0,20175.4919950257,30.265322652830214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"P: 1081.0, Q: 16, Dist: 4.77%",13.616666666666667,0.01319764154753251,50.0,1031.75,526262864
5,open,USD,1.14991,ZM,ZMN5,Soybean Meal,Comdty,LONG,4.0,6957.066205181269,10.43631815614834,0.0,0.0,-436.53851170961207,-0.6548528735029187,-436.53851170961207,-0.6548528735029187,105051.69969823725,1.5758840415784008,"P: 282.0, Q: 4, Dist: 6.62%",4.3933333333333335,0.014547461368653423,100.0,302.0,532513423
6,working,USD,1.14991,ZL,ZLZ5,Soybean Oil,Comdty,LONG,0.0,21914.758546320994,32.87440219186727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"P: 49.8, Q: 10, Dist: 3.56%",1.0679999999999992,0.02220835932626324,600.0,48.09,532513462
7,working,USD,1.14991,NZD,6NM5,,,LONG,0.0,19827.638684766654,29.743506745022827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"P: 0.594, Q: 38, Dist: 1.4%",0.006688333333333329,0.011111111111111105,100000.0,0.60195,672770480
8,working,USD,1.14991,MBT,MBTK5,,,LONG,0.0,16836.100216538685,25.255889937879004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"P: 89965.0, Q: 44, Dist: 0.65%",4026.1666666666665,0.04504549862012382,0.1,89380.0,745205730
9,working,KRW,1638.3236672236967,FLKTB,675M,10-Y Korea Treasury Bond,Rates,LONG,0.0,5957.308799999994,8.936578747075801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"P: 121.25, Q: 8, Dist: 0.34%",0.750333333333334,0.006209312589650231,1000000.0,120.84,748823959
