"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,090741,CME ,00,090 ,  511191,  264455,   20708,  128036,   26389,  182304,    5528,   14835,   88898,   21209,   18526,   20202,      37,  479016,  466924,   32175,   44267,   76860,    8672,    7234,   89951,   -2329,   10217,   -2308,   -3377,   -9628,  -11474,   -1486,   -5083,      37,   77686,   78946,    -826,   -2086,  100.0,   51.7,    4.1,   25.0,    5.2,   35.7,    1.1,    2.9,   17.4,    4.1,    3.6,    4.0,    0.0,   93.7,   91.3,    6.3,    8.7,    138,     11,      5,     12,     11,     35,     10,     11,     45,     18,     10,      9,.,     65,    114,    68.1,    27.9,    76.8,    44.0,    50.0,    19.2,    55.0,    29.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,092741,CME ,00,092 ,   89077,   47459,    2855,     702,   11352,   41363,     443,   18936,   16014,    2160,     888,       0,       0,   81939,   63536,    7138,   25541,  -22962,   -9393,    2855,  -16432,   -2719,    5997,     432,   15485,     144,   -8682,     288,   -6565,       0,  -21020,  -22250,   -1942,    -712,  100.0,   53.3,    3.2,    0.8,   12.7,   46.4,    0.5,   21.3,   18.0,    2.4,    1.0,    0.0,    0.0,   92.0,   71.3,    8.0,   28.7,     62,      7,.,.,.,     15,.,     14,     19,      6,.,      0,      0,     32,     42,    49.3,    27.3,    70.7,    39.7,    49.3,    26.8,    70.6,    39.2,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,096742,CME ,00,096 ,  221368,   37084,   22786,   13232,   37237,   95398,    2634,   79168,   27219,   24276,    1589,    4569,       0,  195220,  190114,   26148,   31254, -122675,  -17778,  -33065,  -61411,  -14689,     870,   -5121,    7169,   -5484,  -15422,  -13724,   -1251,     -11, -120986, -120894,   -1689,   -1781,  100.0,   16.8,   10.3,    6.0,   16.8,   43.1,    1.2,   35.8,   12.3,   11.0,    0.7,    2.1,    0.0,   88.2,   85.9,   11.8,   14.1,    111,      7,      5,      6,      7,     31,     12,     27,     27,     16,.,      5,      0,     63,     82,    31.3,    26.1,    49.1,    41.2,    30.3,    23.8,    45.0,    35.7,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,097741,CME ,00,097 ,  215607,    8164,   18297,    4970,   46653,   51767,    7363,   20143,   65069,   21383,   65242,    3393,    4876,  178794,  177118,   36813,   38489,  -87421,  -28262,  -56534,  -29966,   -3641,    6456,    -703,   -7537,    8115,  -15675,    -642,     278,    1489,  -84937,  -86539,   -2484,    -882,  100.0,    3.8,    8.5,    2.3,   21.6,   24.0,    3.4,    9.3,   30.2,    9.9,   30.3,    1.6,    2.3,   82.9,   82.1,   17.1,   17.9,    124,      7,      8,      5,     19,     19,     11,     18,     35,     15,     12,      6,      4,     71,     88,    36.4,    21.9,    47.1,    35.3,    35.2,    21.0,    44.5,    30.7,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","Combined"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,099741,CME ,00,099 ,  696365,   22252,  171223,   26910,  358177,  169338,   36966,   58211,  119982,   85793,   24959,   21499,    7194,  620463,  638904,   75902,   57461, -142877,  -62395,  -55746,  -49225,    1781,    1577,   -3408,    1927,   -5578,   -7703,   -6254,   -8300,    -500, -125776, -128882,  -17101,  -13995,  100.0,    3.2,   24.6,    3.9,   51.4,   24.3,    5.3,    8.4,   17.2,   12.3,    3.6,    3.1,    1.0,   89.1,   91.7,   10.9,    8.3,    306,     11,     17,     13,     96,     50,     49,     42,     56,     37,     17,     16,      6,    212,    199,    17.2,    27.0,    29.2,    40.0,    14.7,    25.1,    23.2,    34.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","Combined"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,232741,CME ,00,232 ,  186233,   88139,    1212,    1503,   25717,   87192,    7484,   17763,   43216,   10822,   10005,    2345,       4,  161436,  153777,   24797,   32456,  -65615,   37332,  -35355,  -35065,  -21459,    5389,   -3010,   -9162,    8497,   -3858,  -26239,     379,      -5,  -61467,  -63028,   -4148,   -2587,  100.0,   47.3,    0.7,    0.8,   13.8,   46.8,    4.0,    9.5,   23.2,    5.8,    5.4,    1.3,    0.0,   86.7,   82.6,   13.3,   17.4,    108,     12,.,      6,     15,     20,     13,     16,     31,     13,      9,.,.,     67,     74,    39.4,    30.8,    54.1,    43.5,    39.1,    29.3,    52.8,    41.5,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","Combined"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,299741,CME ,00,099 ,   30631,     451,   13214,       0,   15379,    7248,    1000,    1202,    2734,      10,       0,       0,       0,   18042,   24206,   12589,    6425,   -3832,   -1504,    3446,     -51,    -736,    -760,      -6,     -39,   -4714,      -5,       0,       0,       0,   -2341,   -2090,   -1491,   -1742,  100.0,    1.5,   43.1,    0.0,   50.2,   23.7,    3.3,    3.9,    8.9,    0.0,    0.0,    0.0,    0.0,   58.9,   79.0,   41.1,   21.0,     24,.,.,      0,     13,.,      5,.,      4,.,      0,      0,      0,     17,     13,    27.9,    66.8,    42.6,    75.8,    27.5,    66.8,    40.9,    75.7,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","Combined"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,095741,CME ,00,095 ,  137046,   12308,    3662,      21,   46285,   36847,    9550,   50362,   48650,   13477,    1291,   18823,       4,  133298,  131034,    3748,    6012,  -40868,  -10600,  -10145,   -4585,    8043,    3042,       2,   -7347,  -13288,  -16246,    -148,    9808,   -5591,  -36473,  -37004,   -4395,   -3864,  100.0,    9.0,    2.7,    0.0,   33.8,   26.9,    7.0,   36.7,   35.5,    9.8,    0.9,   13.7,    0.0,   97.3,   95.6,    2.7,    4.4,    142,      4,      7,.,     12,     26,      9,     31,     40,     15,      6,     16,.,     66,    102,    32.6,    31.6,    55.9,    47.4,    31.2,    30.7,    52.2,    44.3,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","Combined"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,102741,CME ,00,102 ,   77962,   26229,    1953,    7721,   25475,   46297,      15,    7790,   14494,     346,    8028,    3395,     255,   75859,   74476,    2103,    3486,    7130,    3577,     720,    4037,    3879,    3287,       0,   -4348,   -1696,    -455,     361,     558,     255,    7306,    6706,    -176,     424,  100.0,   33.6,    2.5,    9.9,   32.7,   59.4,    0.0,   10.0,   18.6,    0.4,   10.3,    4.4,    0.3,   97.3,   95.5,    2.7,    4.5,    109,      6,      5,.,      7,     15,.,     15,     34,.,     13,     12,.,     45,     70,    54.8,    59.1,    73.5,    69.2,    53.1,    52.7,    65.7,    60.4,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","Combined"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,112741,CME ,00,112 ,   81000,   53441,     867,      35,   12597,   45537,     358,    9402,   22221,     416,    1767,    4766,      15,   78031,   74215,    2969,    6785,  -17099,    6642,   -9546,   -9228,     308,    4713,      12,   -5416,     858,   -3699,   -5164,     169,       0,  -16545,  -16721,    -554,    -378,  100.0,   66.0,    1.1,    0.0,   15.6,   56.2,    0.4,   11.6,   27.4,    0.5,    2.2,    5.9,    0.0,   96.3,   91.6,    3.7,    8.4,    101,      5,.,.,      8,     24,      4,     17,     33,      5,      5,      7,.,     41,     71,    57.5,    30.9,    81.5,    48.2,    57.5,    30.9,    81.4,    48.0,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","Combined"
